Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
405-3-32826,Acoustical Guitar Solo,Waltz,Calatayud,,Union Musical Espanola,3,
405-1-32825,Acoustical Guitar Solo,36 Caprice Op. 20,Legnani,Carfagna-Gangi,Guitar Solo Publication [36 Caprice Op. 20],1,(play one)
405-1-32824,Acoustical Guitar Solo,Frog Galliard,Dowland,,Guitar Solo Publication,1,
405-3-32823,Acoustical Guitar Solo,Oasis Express,Ogawa,,Frederick Harris Music Co. [RCM Bridges Preperatory Book],3,
405-2-36051,Acoustical Guitar Solo,Trois Toadas Bresiliennes,Machado,,Editions Henry Lemoine,2,(play one)
405-2-36048,Acoustical Guitar Solo,Blues for J.D.,York,,Seven Centers Publishing,2,
405-2-36046,Acoustical Guitar Solo,Seven in Essence,York,,Majian Music [Seven in Essence],2,(play one)
405-2-36045,Acoustical Guitar Solo,"Minuet, March, Musette or Prelude",Bach,Zohn,Les Productions D'Oz [30 Baroque Miniatures],2,(play one)
405-2-36049,Acoustical Guitar Solo,Solo Pieces for the Young Guitarist,Morel,,Mel Bay [Solo Pieces for the Young Guitarist],2,(play one)
405-2-36050,Acoustical Guitar Solo,Suite del Sur,Morel,,Peermusic Classical,2,(play one mvt)
405-2-36047,Acoustical Guitar Solo,Six Not So Easy Pieces,York,,Seven Centers Publishing [Six Not So Easy Pieces],2,(play one)
405-3-36044,Acoustical Guitar Solo,Six Easy Pieces,York,,Seven Centers Publishing [Six Easy Pieces],3,(play one)
405-1-16859,Acoustical Guitar Solo,Granada,Albeniz,Barueco,"Belwin, Inc [Isaac Albeniz suite Espanola Op. 47];Theodore Presser Company",1,
405-1-16860,Acoustical Guitar Solo,Mallorca,Albeniz,Byzantine,Schott Company [Six Pieces],1,
405-1-16861,Acoustical Guitar Solo,Rumores de la Caleta,Albeniz,Byzantine,Schott Company [Six Pieces],1,
405-1-16864,Acoustical Guitar Solo,"Suite in a minor, BWV 995",Bach,Koonce,Neil A. Kjos Music Company [The Solo Lute Works of Johann Sebastian Bach],1,(play one mvt)
405-1-16866,Acoustical Guitar Solo,Danza Caracteristica,Brouwer,,Schott Company [The Solo Lute Works of Johann Sebastian Bach],1,
405-1-16868,Acoustical Guitar Solo,"Jesu, Joy of Man's Desiring",Bach,Snyder,"Alfred Music Company, Inc. [Masterworks];Alfred Music Company, Inc. [Wedding Music: Selected Favorites Transcribed for Guitar]",1,
405-1-16869,Acoustical Guitar Solo,"Prelude in d minor, BWV 999",Bach,Koonce,Neil A. Kjos Music Company,1,
405-1-16870,Acoustical Guitar Solo,"Sarabande, Gigue, BWV 997 (from Suite in a minor)",Bach,Koonce,Neil A. Kjos Music Company [The Solo Lute Works of Johann Sebastian Bach],1,(play one of the five mvts)
405-1-16871,Acoustical Guitar Solo,Etudes Simples Part 3 and 4,Brouwer,,Max Eschig,1,(play two)
405-1-16872,Acoustical Guitar Solo,Two Studies,Carulli,Casseus,"Ashley [Selected Masterpieces for Classic Guitar, vol. 1]",1,(play one)
405-1-16873,Acoustical Guitar Solo,3 Sonatas,Cimarosa,Bream/Casseus,"Faber Music, Ltd.",1,(play one)
405-1-16875,Acoustical Guitar Solo,Prelude and Allegro,de Murcia,Pujol,Max Eschig,1,
405-1-16876,Acoustical Guitar Solo,Tombeau De M. Mouton,de Visce,Noad,Amsco Publications [The Baroque Guitar],1,(Allemande)
405-1-16884,Acoustical Guitar Solo,Sound of Bells,Guimares,,"Belwin, Inc",1,
405-1-16885,Acoustical Guitar Solo,Sarabande and Variations,Handel,Noad,Amsco Publications [The Baroque Guitar],1,
405-1-16863,Acoustical Guitar Solo,Canco del Lladre,Anon. or Trad.,Llobet,Union Musical Espanola,1,
405-1-16886,Acoustical Guitar Solo,Serenata Espanola,Malats,Abloniz,Edizioni Berben,1,
405-1-16888,Acoustical Guitar Solo,Preambulo,Torroba,Segovia,Schott Company [Pieces Caracteristiques],1,
405-1-16889,Acoustical Guitar Solo,Suite Castellana,Torroba,Segovia,Schott Company,1,(play one mvt)
405-1-16890,Acoustical Guitar Solo,Fantasia,Mudarra,Noad,Amsco Publications [The Renaissance Guitar],1,
405-1-16891,Acoustical Guitar Solo,Romanze (from Grand Sonata in A Major),Paganini,Meyerriecks,"Belwin, Inc",1,
405-1-16892,Acoustical Guitar Solo,12 Preludes,Ponce,Segovia,Schott Company,1,play any 2
405-1-16893,Acoustical Guitar Solo,3 Canciones Populares Mexicanas,Ponce,Segovia,Schott Company,1,(play one)
405-1-16894,Acoustical Guitar Solo,Scherzino Mexicano,Ponce,Ramos,Peer/Southern Organization,1,
405-1-16895,Acoustical Guitar Solo,Valse,Ponce,Segovia,Schott Company,1,
405-1-16896,Acoustical Guitar Solo,Passacaglia,Roncalli,Noad,Amsco Publications [The Baroque Guitar],1,
405-1-16898,Acoustical Guitar Solo,Allegro,Scarlatti,Noad,Amsco Publications [The Baroque Guitar],1,
405-1-16901,Acoustical Guitar Solo,Andante Largo,Sor,Noad,Amsco Publications [The Classical Guitar],1,
405-1-16902,Acoustical Guitar Solo,Rondo (from Grand Sonata Op. 22),Sor,Noad,Amsco Publications [The Classical Guitar],1,
405-1-16903,Acoustical Guitar Solo,Twenty Studies,Sor,Segovia,Marks Music Corporation,1,"(play one: 9, 12, 13, 15, 17, 20)"
405-1-16904,Acoustical Guitar Solo,Variations on La Folia,Sor,Noad,Amsco Publications [The Classical Guitar],1,"(play Theme and all 4 variations, omit the Minuet)"
405-1-16906,Acoustical Guitar Solo,Maria,Tarrega,Savio,"Ricordi & Company, Inc. [Doce Composiciones]",1,
405-1-16907,Acoustical Guitar Solo,Marietta,Tarrega,Savio,"Ricordi & Company, Inc. [Doce Composiciones]",1,
405-1-16909,Acoustical Guitar Solo,12 Studies,Villa-Lobos,,Max Eschig,1,(play one)
