Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
208-1-10915,Alto Clarinet Solo,Darkwood,Bennett,,"Carl Fischer, Inc.",1,
208-1-10917,Alto Clarinet Solo,Chorale Varie,d'Indy,,Durand,1,
208-1-10921,Alto Clarinet Solo,Evening Fantasy,Miller,,"Belwin, Inc",1,
208-1-10925,Alto Clarinet Solo,"Long Long Ago, Fantasie Op. 12",Ritter,Shanley,Southern Music Company,1,
208-1-10926,Alto Clarinet Solo,Praeludium,Schmutz,,"Carl Fischer, Inc.",1,
208-2-10927,Alto Clarinet Solo,Arioso,Bach,Kent,"Carl Fischer, Inc.",2,
208-2-10928,Alto Clarinet Solo,Panda Dance,Barnard,,"Belwin, Inc",2,
208-2-10929,Alto Clarinet Solo,Adagietto (from L'Arlesienne),Bizet,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10930,Alto Clarinet Solo,Gigue,Corelli,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10931,Alto Clarinet Solo,Sicilienne Op. 78,Faure,Davis,"Western International Music, Inc.",2,
208-2-10932,Alto Clarinet Solo,Air (from Orpheus),Gluck,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10933,Alto Clarinet Solo,Jota Aragonesa,Hoffmann,,"Boosey & Hawkes, Inc.",2,
208-2-10934,Alto Clarinet Solo,Mood of the Hills,Kesnar,,"Cundy-Bettoney Company, Inc.",2,
208-2-10935,Alto Clarinet Solo,Plasir d'Amour,Martini,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10936,Alto Clarinet Solo,Solo (from String Quartet K. 465),Mozart,Willaman,Jack Spratt Music Publishers,2,
208-2-10937,Alto Clarinet Solo,Arietta,Presser,,Tenuto Publications,2,
208-2-10938,Alto Clarinet Solo,Rigaudon,Rameau,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10939,Alto Clarinet Solo,Sarabande,Reed,,Piedmont,2,
208-2-10940,Alto Clarinet Solo,Song of the East,Rimsky Korsakov,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10941,Alto Clarinet Solo,Spring in the Forest,Schaefer,,Fillmore Music House,2,
208-2-10942,Alto Clarinet Solo,Einsame Blumen,Schuman,,Jack Spratt Music Publishers,2,
208-2-10943,Alto Clarinet Solo,Prelude No. 7,Shostakovich,Davis,"Western International Music, Inc.",2,
208-2-10944,Alto Clarinet Solo,Reverie,Skolnik,,Tenuto Publications,2,
208-2-10945,Alto Clarinet Solo,A Waltz Dream,Strauss,Harris,Ludwig Music Publishing Company,2,
208-2-10946,Alto Clarinet Solo,Berceuse (from The Firebird),Stravinsky,,"Edition Musicus-New York, Inc. [Concert Album for Alto Clarinet and Piano]",2,
208-2-10947,Alto Clarinet Solo,Serenade,Toselli,,Boston Music Company,2,
208-2-10948,Alto Clarinet Solo,Barcarolle,Trowbridge,,"Composers Press, Inc., Opus Music",2,
208-2-10949,Alto Clarinet Solo,Clarinata,Whitney,,Jack Spratt Music Publishers,2,
208-2-10950,Alto Clarinet Solo,Melancholy,Whitney,,Jack Spratt Music Publishers,2,
208-3-10951,Alto Clarinet Solo,Country Dance,Anon. or Trad.,Goldberg,"Belwin, Inc",3,
