Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
212-1-11095,Alto Saxophone Solo,Gigue,Aubert,Maganini/Clark,"Edition Musicus-New York, Inc.",1,
212-1-11100,Alto Saxophone Solo,Suite No. III,Bach,Londeix,Lemoine Music Company,1,(unaccomp) (play two mvts - Bouree I & II count as one mvt)
212-1-11097,Alto Saxophone Solo,Sonata No. 4,Bach,Mule,Alphonse Leduc,1,(play 3 mvts; Menuetto 1 & 2 count as one mvt)
212-1-11101,Alto Saxophone Solo,Sonata,Bedard,,Dobberman-Yppan,1,(play two mvts)
212-1-11103,Alto Saxophone Solo,Caprice en Forme de Valse,Bonneau,,Alphonse Leduc,1,(unaccomp)
212-1-11104,Alto Saxophone Solo,Concerto,Bonneau,,Alphonse Leduc,1,(play one mvt)
212-1-11105,Alto Saxophone Solo,Divertimento,Boutry,,Alphonse Leduc,1,(play mvt 1 plus mvt 2 or 3)
212-2-11163,Alto Saxophone Solo,Aria,Bozza,,Alphonse Leduc,2,
212-1-11108,Alto Saxophone Solo,Improvisation et Caprice,Bozza,,Alphonse Leduc,1,(unaccomp)
212-1-11107,Alto Saxophone Solo,Impromptu et Danse,Bozza,,Alphonse Leduc,1,
212-1-11109,Alto Saxophone Solo,Introduction Dance and Furioso,Couf,,"Belwin, Inc",1,(unaccomp)
212-1-11110,Alto Saxophone Solo,Concerto,Creston,,"G. Schirmer, Inc.",1,(play one mvt) NMR:(play 1 & 2 OR 2 & 3)
212-1-11111,Alto Saxophone Solo,Sonata Op. 19,Creston,,Shawnee Press,1,(play one mvt)
212-1-11112,Alto Saxophone Solo,Rhapsodie,Debussy,,Durand,1,
212-1-11113,Alto Saxophone Solo,Syrinx,Debussy,Londiex,Jobert,1,(unaccomp)
212-1-11114,Alto Saxophone Solo,Concerto,Dubois,,Alphonse Leduc,1,(play one mvt)
212-1-11115,Alto Saxophone Solo,Divertissement,Dubois,,Alphonse Leduc,1,(play mvt 1 or 3)
212-1-11116,Alto Saxophone Solo,Alla Gitana,Dukas,,Alphonse Leduc,1,
212-1-11117,Alto Saxophone Solo,Sonata,Eccles,Rascher,"Elkan-Vogel Company, Inc.;Theodore Presser Company",1,"(play mvts 1, 2, & 4)"
212-2-11118,Alto Saxophone Solo,Sonata,Fasch,Rascher,McGinnis & Marx,2,(play two mvts)
212-1-11119,Alto Saxophone Solo,Rhapsody for Solo Saxophone,Frackenpohl,,"Kendor Music, Inc.",1,(play all) (unaccomp)
212-1-11120,Alto Saxophone Solo,Concerto in Eb Op. 109,Glazounov,,Alphonse Leduc,1,(perform begining to square 22) NMR:(play all & CUT piano interludes)
212-1-11121,Alto Saxophone Solo,Adagio and Allegro (from Sonata No. 1),Handel,Gee,Southern Music Company,1,
212-1-11122,Alto Saxophone Solo,Sonata No. IV,Handel,Mule,Alphonse Leduc,1,(play three mvts)
212-1-11125,Alto Saxophone Solo,Sonata No. V,Handel,Ramsay,Medici Music Press,1,(play all)
212-1-11123,Alto Saxophone Solo,Sonata No. III,Handel,Rascher,Chappell Music Company,1,(play three mvts)
212-1-11124,Alto Saxophone Solo,Sonata No. XIII,Handel,Rascher,Theodore Presser Company,1,(play three mvts)
212-1-11126,Alto Saxophone Solo,Duo,Hartley,,Tenuto Publications,1,(play all) NMR:(play all)
212-1-11127,Alto Saxophone Solo,Petite Suite,Hartley,,Crescendo Music Sales Company,1,(play three mvts) (unaccomp)
212-1-11128,Alto Saxophone Solo,Diversion,Heiden,,Etoile Music Inc.,1,
212-1-11129,Alto Saxophone Solo,Sonata,Heiden,,Schott Company,1,(play one mvt)
212-1-11130,Alto Saxophone Solo,Slavonic Fantasy,Heumann,Voxman,"Rubank, Inc.",1,
212-1-11131,Alto Saxophone Solo,Concertino da Camera,Ibert,,Alphonse Leduc,1,(play one mvt)
212-1-11132,Alto Saxophone Solo,Sonata,Jacobi,,"Bourne, Co.",1,(play two mvts)
212-1-11133,Alto Saxophone Solo,"23 Caprices for Flute, arr. for Saxophone",Karg-Elert,Ford,Southern Music Company,1,(play two caprices)
212-1-11135,Alto Saxophone Solo,Sonata,Lunde,,Southern Music Company,1,(play mvt 1 or mvts 2 & 3)
212-1-11136,Alto Saxophone Solo,Tableaux de Provence,Maurice,,Lemoine Music Company,1,(play three mvts)
212-1-11137,Alto Saxophone Solo,Scaramouche,Milhaud,,"Salabert, Inc.",1,(play mvts 1 & 2 or 2 & 3)
212-1-11138,Alto Saxophone Solo,Sonata,Muczynski,,"G. Schirmer, Inc.",1,(play one mvt)
212-1-11140,Alto Saxophone Solo,Concertante,Paladilhe,Voxman,"Rubank, Inc.",1,
212-1-11141,Alto Saxophone Solo,Tango Etudes,Piazzolla,Delangle,Edition Lemoine,1,(play one) (unaccomp)
212-1-11142,Alto Saxophone Solo,Sonata No. 5,Platti,Hervig,"Rubank, Inc.",1,(play all)
212-1-11143,Alto Saxophone Solo,Tosca Fantasy,Puccini,Hermann,Valhalla Music Press,1,
212-1-11145,Alto Saxophone Solo,Variations,Rossini,Schmidt,"Western International Music, Inc.",1,(play all)
212-1-11147,Alto Saxophone Solo,Three Romances,Schumann,Hemke,Southern Music Company,1,(play two mvts)
212-2-11148,Alto Saxophone Solo,"Fantasiestucke (Fantasy Piece Op. 73, No. 3",Schumann,Teal,"G. Schirmer, Inc. [Solos For The Alto Saxophone Player]",2,
212-1-11149,Alto Saxophone Solo,Fleurs d'un Songe,Succari,,Alphonse Leduc,1,
212-1-11150,Alto Saxophone Solo,Concerto,Tate,,Oxford University Press,1,"(play mvt 1, 2, OR 4)"
212-2-11096,Alto Saxophone Solo,Sicilienne and Allegro,Bach,Teal,"G. Schirmer, Inc. [Solos For The Alto Saxophone Player]",2,
212-1-11151,Alto Saxophone Solo,Sonate,Telemann,Londiex,Alphonse Leduc,1,(play two mvts)
212-1-11152,Alto Saxophone Solo,Concerto,Tomasi,,Alphonse Leduc,1,NMR:(play one mvt)
