Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
100-1-15200,Band,La Volta,Byrd,Fenske,Daehn Publications,1,
100-1-15198,Band,Theme and Variations,Broege,,Manhattan Beach Music,1,
100-1-15194,Band,Allegretto (from Symphony No. 7),Beethoven,Court,Curnow Music,1,
100-1-15193,Band,Bartok Suite,Bartok,Clark,"Belwin, Inc",1,
100-1-15247,Band,Folk Trilogy,Bartok,McGinty,Queenwood Publications,1,
100-2-15192,Band,Chorale and Fugue in F Major,Bach,Daehn,Daehn Publications,2,(Chorale only)
100-1-15246,Band,Chorale and Variation,Bach,McGinty,Queenwood Publications,1,
100-1-15202,Band,Danse Pavane,Cacavas,,"Bourne, Co.",1,
100-1-15203,Band,Canadian Sketches,Curnow,,Curnow Music,1,
100-1-15204,Band,Irish Legends,Curnow,,"Hal Leonard Music, Inc.",1,
100-2-15205,Band,Korean Folk Rhapsody,Curnow,,"Hal Leonard Music, Inc.",2,
100-1-15208,Band,Nottingham Castle,Daehn,,Daehn Publications,1,
100-1-15209,Band,English Folk Suite,Del Borgo,,"Hal Leonard Music, Inc.",1,
100-1-32047,Band,Skylight,Hodges,,"Alfred Music Company, Inc.",1,
100-1-15211,Band,A Flemish Carol,Anon. or Trad.,Del Borgo,"Kendor Music, Inc.",1,
100-1-15212,Band,Renaissance Couplet,Jaquet,Del Borgo,"Kendor Music, Inc.",1,
100-1-15213,Band,Orlando Suite,DiLasso,DeHaan,De Haske Publications,1,(play mvt 2 plus one other mvt)
100-1-15214,Band,Early English Suite,Duncombe,Finlayson,"Boosey & Hawkes, Inc.",1,"(play mvts 1 & 4, plus one other mvt)"
100-1-15215,Band,Amazing Grace,Edmondson,,Queenwood Publications,1,
100-2-15216,Band,Three English Folk Songs,Edmondson,,C.L. Barnhouse Company,2,
100-2-15217,Band,Three Scottish Folk Songs,Edmondson,,C.L. Barnhouse Company,2,
100-3-15218,Band,Air for Band,Erickson,,"Bourne, Co.",3,
100-2-15219,Band,Norwegian Folk Song Suite,Erickson,,"Bourne, Co.",2,
100-1-15221,Band,Cantabile,Finlayson,,"Boosey & Hawkes, Inc.",1,
100-1-15222,Band,Prelude and March,Frackenpohl,,Shawnee Press,1,
100-1-15223,Band,Russian Sailor's Dance,Gliere,Williams,"Alfred Music Company, Inc.",1,
100-1-15224,Band,Courtly Festival,Purcell,Gordon,"Belwin, Inc",1,
100-1-15225,Band,American Folk Tune Adventure,Gorham,,Wingert/Jones,1,
100-2-15226,Band,Kentucky 1800,Grundman,,"Boosey & Hawkes, Inc.",2,
100-1-15227,Band,Little English Suite,Grundman,,"Boosey & Hawkes, Inc.",1,(play two contrasting mvts)
100-1-15228,Band,A Suite of Baroque Dances,Handel,Kinyon,"Alfred Music Company, Inc.",1,
100-1-15229,Band,Fughetta,Handel,Conley,"Boosey & Hawkes, Inc.",1,
100-2-15230,Band,Japanese Festival,Hilliard,,"Carl Fischer, Inc.",2,
100-1-15231,Band,In The Bleak Midwinter,Holst,Bullock,"Belwin, Inc",1,
100-1-15233,Band,Shalom Chaverim,Johnson,,Curnow Music,1,
100-2-15236,Band,Shenandoah Valley,Kinyon,,"Alfred Music Company, Inc.",2,
100-1-15237,Band,Wildwind Overture,Kinyon,,"Alfred Music Company, Inc.",1,
100-1-15239,Band,"Fanfare, Ode and Festival",Margolis,,Manhattan Beach Music,1,(play two mvts)
100-1-15240,Band,Prelude and March,Margolis,,Manhattan Beach Music,1,
100-2-15242,Band,"The Stars Asleep, The Break of Day",Margolis,,Manhattan Beach Music,2,
100-1-15244,Band,All The Pretty Little Horses,McGinty,,Queenwood Publications,1,
100-1-15245,Band,Atlantis,McGinty,,"Hal Leonard Music, Inc.",1,
