Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
214-1-11347,Baritone Saxophone Solo,Sonata,Anderson,,Southern Music Company,1,(play two mvts)
214-1-11348,Baritone Saxophone Solo,Variations on Carnival of Venice,Arban,Schmidt/Davis,"Western International Music, Inc.",1,
214-1-11350,Baritone Saxophone Solo,Gavottes,Bach,Mule,Alphonse Leduc,1,(alto sax)
214-1-11353,Baritone Saxophone Solo,Sonata,Caravan,,Ethos,1,(play two mvts)
214-1-11354,Baritone Saxophone Solo,Suite,Corelli,Dishinger,Medici Music Press,1,
214-1-11355,Baritone Saxophone Solo,Variations on a Theme of Robert Schumann,Davis,,Southern Music Company,1,
214-1-11356,Baritone Saxophone Solo,Canzona,Frangkiser,,"Belwin, Inc",1,
214-1-11357,Baritone Saxophone Solo,Romance,Giovannini,,Southern Music Company,1,
214-1-11358,Baritone Saxophone Solo,Sicilienne et Gigue,Handel,Mule,Alphonse Leduc,1,(alto sax)
214-1-11359,Baritone Saxophone Solo,Little Suite for Baritone Saxophone,Hartley,,Dorn Publishing Co.,1,
214-1-11360,Baritone Saxophone Solo,Sonata for Baritone Saxophone,Hartley,,Dorn Publishing Co.,1,
214-1-11361,Baritone Saxophone Solo,Aria,Ibert,,Alphonse Leduc,1,
214-1-11362,Baritone Saxophone Solo,Recitative and Rondino,Koepke,,"Rubank, Inc.",1,
214-1-11363,Baritone Saxophone Solo,"Undercurrent, Theme and Variations",Long,,"Rubank, Inc.",1,
214-1-11364,Baritone Saxophone Solo,Andante and Allegro (from Sonata in G),Marcello,Voxman,"Rubank, Inc.",1,
214-1-11365,Baritone Saxophone Solo,Concerto in Bb K. 191,Mozart,,"Edition Musicus-New York, Inc.",1,(play one mvt)
214-1-11367,Baritone Saxophone Solo,Sonata for Baritone Saxophone and Piano,Schmidt,,"Western International Music, Inc.;Avant Music Company",1,(play all) NMR:(play all)
214-1-11368,Baritone Saxophone Solo,Allegro Moderato (from the Arpeggione Son),Schubert,Davis,"Western International Music, Inc.",1,
214-1-11369,Baritone Saxophone Solo,Three Pieces (from Album for the Young),Schumann,Davis,"Western International Music, Inc.",1,(play all)
214-1-11370,Baritone Saxophone Solo,Septieme Solo de Concert,Singelee,Ronkin,Roncorp Inc.,1,
214-2-11372,Baritone Saxophone Solo,"Fugue XXI (from The Well-Tempered Clavier, Book II)",Bach,Davis,"Western International Music, Inc.",2,
214-2-11371,Baritone Saxophone Solo,Air on a G String,Bach,Ramsey,Medici Music Press,2,
214-2-11373,Baritone Saxophone Solo,Rondo (from Sonata in F Major Op. 17),Beethoven,,"Edition Musicus-New York, Inc.",2,(alto sax)
214-2-11374,Baritone Saxophone Solo,Prelude No. 6,Chopin,Davis,"Western International Music, Inc.",2,
214-2-11375,Baritone Saxophone Solo,Chartreuse,Cofield,,"Rubank, Inc.",2,(alto sax)
214-2-11376,Baritone Saxophone Solo,Gigue,Corelli,Maganini,"Edition Musicus-New York, Inc.",2,(alto sax)
214-2-11377,Baritone Saxophone Solo,Sarabande and Gigue,Corelli,Voxman,"Rubank, Inc.",2,
214-2-11378,Baritone Saxophone Solo,Pavane Op. 50,Faure,Ramsey,Medici Music Press,2,
214-2-11379,Baritone Saxophone Solo,Russian Sailor's Dance,Gliere,Hurrell,"Rubank, Inc.",2,
214-2-11380,Baritone Saxophone Solo,Tambourin (from Iphigenia in Aulis),Gluck,Rascher,"Belwin, Inc",2,(alto sax)
214-2-11381,Baritone Saxophone Solo,Tambourin,Gossec,Ramsey,Medici Music Press,2,
214-2-11382,Baritone Saxophone Solo,Hornpipe,Handel,Rascher,"Belwin, Inc",2,
214-2-11383,Baritone Saxophone Solo,Scene Forestal,Johnson,,"Rubank, Inc.",2,
214-2-11384,Baritone Saxophone Solo,Allegretto,Mozart,Dishinger,Medici Music Press,2,
214-2-11385,Baritone Saxophone Solo,Contest Etude No. 1,Ostransky,,"Rubank, Inc.",2,
214-2-11386,Baritone Saxophone Solo,Variations on a Theme by Schumann,Ostransky,,"Rubank, Inc.",2,
214-2-11387,Baritone Saxophone Solo,Crepuscule,Pares,Judy,"Rubank, Inc.",2,
214-2-11388,Baritone Saxophone Solo,La Villageoise,Rameau,Scarmolin,Ludwig Music Publishing Company,2,(alto sax)
214-2-11389,Baritone Saxophone Solo,Rondoletto,Schmidt,,"Western International Music, Inc.",2,
214-2-11390,Baritone Saxophone Solo,Three Pieces (from Album for the Young),Schumann,Davis,"Western International Music, Inc.",2,(play mvts 1 & 2 or 2 & 3)
214-2-11391,Baritone Saxophone Solo,Impromptu,Tchaikovsky,Seay,Jack Spratt Music Publishers,2,(Eb sax)
214-3-11392,Baritone Saxophone Solo,Menuet in G,Bach,Dishinger,Medici Music Press,3,
214-3-11393,Baritone Saxophone Solo,Musette (from Anna Magdalena Notebook),Bach,Dishinger,Medici Music Press,3,
214-3-11394,Baritone Saxophone Solo,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,3,
214-3-11395,Baritone Saxophone Solo,Etude Op. 10 No. 3,Chopin,Dishinger,Medici Music Press,3,
214-3-11396,Baritone Saxophone Solo,Walzer,Grieg,Rascher,"Belwin, Inc",3,
214-3-11397,Baritone Saxophone Solo,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,3,
214-3-11398,Baritone Saxophone Solo,Gavotte in Rondeau,Lully,Post,Medici Music Press,3,
214-3-11399,Baritone Saxophone Solo,Reverie Op. 85 No. 1,Mendelssohn,Dishinger,Medici Music Press,3,
214-3-11400,Baritone Saxophone Solo,Aria (from The Magic Flute),Mozart,Rascher,"Belwin, Inc [Classic Festival Solos Book 2]",3,
214-3-11401,Baritone Saxophone Solo,Menuetto (from Divertimento No. 1),Mozart,Voxman,"Rubank, Inc.",3,
214-3-11402,Baritone Saxophone Solo,Waltz (from La Perichole),Offenbach,Buchtel,Neil A. Kjos Music Company,3,(alto sax)
214-3-11403,Baritone Saxophone Solo,Gavotte and Hornpipe,Purcell,Dishinger,Medici Music Press,3,
214-3-11404,Baritone Saxophone Solo,Saraband,Purcell,Kaplan,Jack Spratt Music Publishers,3,(alto sax)
214-3-11405,Baritone Saxophone Solo,Barcarolle and Scherzetto,Siennicki,,Ludwig Music Publishing Company,3,
214-3-11406,Baritone Saxophone Solo,Allegretto Waltz,Solomon,,Southern Music Company,3,
214-3-11407,Baritone Saxophone Solo,Rain,Vivaldi,,"Edition Musicus-New York, Inc.",3,(alto sax)
214-3-11408,Baritone Saxophone Solo,Forty Fathoms,Walters,,"Rubank, Inc.",3,
214-3-11346,Baritone Saxophone Solo,Rondeau (from The Fairie Queen),Purcell,Hunt/Rascher,"Belwin, Inc",3,
214-1-26420,Baritone Saxophone Solo,Sonata in F Major,Handel,Ramsey,Medici Music Press,1,(play 1 & 2)
214-2-26421,Baritone Saxophone Solo,Sonata in F Major,Handel,Dishinger,Medici Music Press,2,(play mvts 1 or 4)
214-1-26422,Baritone Saxophone Solo,Piece en Forme de Habanera,Ravel,Ramsey,Medici Music Press,1,
214-2-30543,Baritone Saxophone Solo,"Cinquieme Solo De Concert, Op. 91",Singelee,,Roncorp Inc.,2,
214-1-30545,Baritone Saxophone Solo,"Sonata Op. 1, No. 6",Marcello,Smith,BRS Music,1,
214-1-32386,Baritone Saxophone Solo,Suite No. 1 for Unaccompanied Cello,Bach,Kasprzyk,Southern Music Company,1,(unaccomp)(play any 4 mvts)
214-1-32387,Baritone Saxophone Solo,Suite No. 3 for Unaccompanied Cello,Bach,Kasprzyk,Southern Music Company,1,(unaccomp)(play any 4 mvts)
214-1-32388,Baritone Saxophone Solo,Suite No. 4 for Unaccompanied Cello,Bach,,Southern Music Company,1,(unaccomp)(play any 4 mvts)
214-1-32389,Baritone Saxophone Solo,Premiere Solo: Allegretto et Allegro,Demersseman,Wehage,Musik Fabrik Music Publishing,1,
214-1-32390,Baritone Saxophone Solo,Sonata,Eccles,Rascher,Theodore Presser Company,1,"(play mvts 1, 2 & 4)"
214-1-32391,Baritone Saxophone Solo,Sonata in A Major,Franck,Oxford,Dorn Publishing Co.,1,(play mvts 1 & 2 or mvts 3 & 4)
214-1-32392,Baritone Saxophone Solo,Sonata,Heiden,,Schott Company,1,(play one mvt)
214-1-32393,Baritone Saxophone Solo,Fable,Krzywicki,,Tenuto Publications,1,
214-1-32394,Baritone Saxophone Solo,Crazy Rag,Matitia,,Lemoine Music Company,1,
214-1-32395,Baritone Saxophone Solo,Moto Perpetuo,Paganini,Simonson,Dorn Publishing Co.,1,
214-1-37232,Baritone Saxophone Solo,Fusion Suite,McMichael,,C. Alan Publications,1,(play two mvts)
214-1-37233,Baritone Saxophone Solo,Hiraeth,Nishimura,,Murphy Music Press,1,
214-1-37234,Baritone Saxophone Solo,Le Grand Tango,Piazzolla,Heisler,Edizioni Berben,1,
214-1-37235,Baritone Saxophone Solo,As I Am,Banks,,steven-banks.com,1,
214-1-37236,Baritone Saxophone Solo,Elégie Op. 24,Faure,Stevens,SAXpress,1,
214-1-37237,Baritone Saxophone Solo,Concerto,Hass,,Murphy Music Press,1,(play one mvt)
214-3-38463,Baritone Saxophone Solo,Adelita,Tarre,,Lost Key Music,3,
