Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
209-1-10978,Bass Clarinet Solo,Ballade,Bozza,,Southern Music Company,1,
209-1-10980,Bass Clarinet Solo,Andante and Allegro,Desportes,,Southern Music Company,1,
209-1-10982,Bass Clarinet Solo,Sonata,Fasch,,McGinnis & Marx,1,(play 1 & 2 or 3 & 4)
209-1-10984,Bass Clarinet Solo,"Sonata No. I, II, or III",Galliard,Kreiselman,McGinnis & Marx,1,(play one)
209-1-10983,Bass Clarinet Solo,Adagio and Allegro,Galliard,Merriman,Southern Music Company,1,
209-2-10991,Bass Clarinet Solo,Haitian Dance,Reed,,Piedmont,2,
209-1-10990,Bass Clarinet Solo,Introduction and March,Rarig,,"Western International Music, Inc.",1,
209-2-10995,Bass Clarinet Solo,Lamento,Bassi,Voxman,"Rubank, Inc.",2,
209-2-10996,Bass Clarinet Solo,Largo and Allegro,Boni,Voxman,"Rubank, Inc.",2,
209-2-10997,Bass Clarinet Solo,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,2,
209-2-10998,Bass Clarinet Solo,Orientale,Cui,Leonard,"Belwin, Inc",2,
209-2-11000,Bass Clarinet Solo,Norwegian Dance,Grieg,,"Cundy-Bettoney Company, Inc.",2,
209-2-11001,Bass Clarinet Solo,Andante and Bourree,Handel,Ayres,C.L. Barnhouse Company,2,
209-2-11002,Bass Clarinet Solo,Largo and Bourree,Handel,Merriman,C.L. Barnhouse Company,2,
209-2-11003,Bass Clarinet Solo,Andante (from Concerto),Haydn,Treutel,Jack Spratt Music Publishers,2,
209-2-11004,Bass Clarinet Solo,Woody Contrasts,Johnson,,"Rubank, Inc.",2,
209-2-11005,Bass Clarinet Solo,Aquamarine,Karel,,"Boosey & Hawkes, Inc.",2,
209-2-11006,Bass Clarinet Solo,A Clown Festival,Kesnar,,"Cundy-Bettoney Company, Inc.",2,
209-2-11007,Bass Clarinet Solo,The Buffoon,Koepke,,"Rubank, Inc.",2,
209-2-11008,Bass Clarinet Solo,Vignette,Koepke,,"Rubank, Inc.",2,
209-2-11009,Bass Clarinet Solo,Sarabande and Gigue,Lully,Kaplan,Jack Spratt Music Publishers,2,
209-2-11010,Bass Clarinet Solo,Intermezzo,Macbeth,,"Cundy-Bettoney Company, Inc.",2,
209-2-11012,Bass Clarinet Solo,Autumn Song,Ostransky,,"Rubank, Inc.",2,
209-2-11013,Bass Clarinet Solo,March Comique,Ostransky,,"Rubank, Inc.",2,
209-2-11014,Bass Clarinet Solo,Romance and Troika,Prokofiev,Hummel/Voxman,"Rubank, Inc. [Concert and Contest Collection]",2,
209-2-11015,Bass Clarinet Solo,Guaracha,Reed,,Piedmont,2,
209-2-11016,Bass Clarinet Solo,Song of India,Rimsky-Korsakov,Buchtel,Neil A. Kjos Music Company,2,
209-2-11017,Bass Clarinet Solo,International Folk Suite,Schwartz,,Southern Music Company,2,(play all)
209-2-11018,Bass Clarinet Solo,Barcarolle,Trowbridge,,"Composers Press, Inc., Opus Music",2,
209-2-11019,Bass Clarinet Solo,Sleeping Beauty,Tchaikovsky,Davis,"Rubank, Inc.",2,
209-1-11020,Bass Clarinet Solo,Sonata No. 6,Vivaldi,Ayres,C.L. Barnhouse Company,1,(play mvts 3 & 4)
209-2-11021,Bass Clarinet Solo,Andante (from Concerto in Bb Major),Beon,Voxman,"Rubank, Inc. [Concert and Contest Collection]",2,
209-3-11023,Bass Clarinet Solo,Menuet in G,Bach,Dishinger,Medici Music Press,3,
209-3-11024,Bass Clarinet Solo,Musette,Bach,Dishinger,Medici Music Press,3,
209-3-11025,Bass Clarinet Solo,Two Hungarian songs,Bartok,Porter,"Belwin, Inc",3,
209-3-11027,Bass Clarinet Solo,Canzonetta,de Fesch,Kaplan,Jack Spratt Music Publishers,3,
209-3-11028,Bass Clarinet Solo,Novelette,Erickson,Goldberg,"Belwin, Inc",3,
209-3-11029,Bass Clarinet Solo,Romance Melody,Glinka,Shuman,Jack Spratt Music Publishers,3,
209-3-11026,Bass Clarinet Solo,Brahms Variations,Brahms,Goldberg,"Belwin, Inc",3,
209-3-11030,Bass Clarinet Solo,Bouree and Menuet,Hasse,Ayres,C.L. Barnhouse Company,3,
209-3-11022,Bass Clarinet Solo,The Foggy Dew,Anon. or Trad.,Hummel,"Rubank, Inc.",3,
209-3-11031,Bass Clarinet Solo,Gavotte in Rondeau,Lully,Post,Medici Music Press,3,
209-3-11032,Bass Clarinet Solo,Reverie (from Song Without Words Op. 85 No. 1),Mendelssohn,Dishinger,Medici Music Press,3,
209-3-11033,Bass Clarinet Solo,In the Garden,Monroe,Isaac,"Carl Fischer, Inc.",3,
209-3-11034,Bass Clarinet Solo,The Old Castle,Moussorgsky,Goldberg,"Belwin, Inc",3,
