Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
306-1-30025,Bass Trombone Solo,Trilogy,Dossett,,Warwick Music UK,1,(Play mvt 1 and 2 or mvt 2 and 3)
306-1-25326,Bass Trombone Solo,Adagio and Allegro,Schumann,Yeo,"G. Schirmer, Inc. [Trombone Essentials]",1,
306-2-25364,Bass Trombone Solo,Canzone,Frescobladi,Koopman,Warwick Music UK,2,
306-2-25365,Bass Trombone Solo,Ride of the Valkyries,Wagner,Uber,"Kendor Music, Inc.",2,
306-1-13327,Bass Trombone Solo,Suites,Bach,Marsteller,Southern Music Company,1,(unaccompanied) (play two contrasting mvts from one suite)
306-1-13330,Bass Trombone Solo,Allegro et Finale,Bozza,,Alphonse Leduc,1,
306-1-13331,Bass Trombone Solo,New Orleans,Bozza,,Alphonse Leduc,1,
306-1-13332,Bass Trombone Solo,Theme Varie,Bozza,,Alphonse Leduc,1,
306-1-13333,Bass Trombone Solo,Fantasie Concertante,Casterede,,Alphonse Leduc,1,(play all) NMR:(play all)
306-1-13334,Bass Trombone Solo,Sonatine,Casterede,,Alphonse Leduc,1,(for french tuba) (play mvts 1 & 2 or 2 & 3)
306-1-13335,Bass Trombone Solo,Deux Danses,Defaye,Knaub,Alphonse Leduc,1,(play one)
306-1-13336,Bass Trombone Solo,Ballade for Bass Trombone,Ewazen,,International Trombone Association Press,1,(play all) NMR:(play all)
306-1-13337,Bass Trombone Solo,Concerto for Bass Trombone,Ewazen,,International Trombone Association Press,1,(play mvts 1 & 2 or 2 & 3) NMR:(play mvts 1 & 2 or 2 & 3)
306-1-13338,Bass Trombone Solo,Rhapsody for Bass Trombone,Ewazen,,International Trombone Association Press,1,(play mvts 1 & 2 or 2 & 3) NMR:(play mvts 1 & 2 or 2 & 3)
306-1-13340,Bass Trombone Solo,"Canzoni per Basso Solo, Volumes 1 and 2",Frescobaldi,,Ludwig Doblinger,1,(play any two)
306-1-37311,Bass Trombone Solo,Concerto for Bass Trombone with Piano Accompaniment,Raum,,Cherry Classics,1,
306-1-37310,Bass Trombone Solo,Romanza and Scherzo for Bass Trombone and Piano,Pierce,,Cherry Classics,1,
306-1-13345,Bass Trombone Solo,Sonata in One Movement,Grantham,,International Trombone Association Press,1,
306-1-13346,Bass Trombone Solo,Sonata Breve,Hartley,,Theodore Presser Company,1,(unaccomp)
306-1-13347,Bass Trombone Solo,Suite for Unaccompanied Tuba,Hartley,,Schott Company,1,(unaccomp)
306-1-13349,Bass Trombone Solo,Meditation,Hidas,,"Boosey & Hawkes, Inc.",1,(unaccomp)
306-1-13350,Bass Trombone Solo,Drei leichte Stucke,Hindemith,,Schott Company,1,
306-1-13351,Bass Trombone Solo,Trigger Treat,Hoffman,,Southern Music Company,1,
306-1-13352,Bass Trombone Solo,Cameos,Jacob,,"Edizioni Berben;Emerson Editions;Boosey & Hawkes, Inc.",1,"(play four mvts, omit mvt 3 or 4)"
306-1-13354,Bass Trombone Solo,Allegro Maestoso,Koetsier,Bachman,Reif,1,
306-1-13355,Bass Trombone Solo,"Introduction, Romance et Allegro",Lantier,,Lemoine Music Company,1,(play all) NMR:(play all)
306-1-13356,Bass Trombone Solo,Two Fantasy Pieces Op. 48,Lassen,,Ensemble Publications,1,
306-1-13357,Bass Trombone Solo,Concerto in One Movement,Lebedev,Ostrander,"Edition Musicus-New York, Inc.;Hofmeister",1,
306-1-13359,Bass Trombone Solo,Concertino Basso,Lieb,,"Carl Fischer, Inc.",1,
306-1-13360,Bass Trombone Solo,Sonata,McCarty,,Ensemble Publications,1,(play mvts 1 & 2 or 2 & 3)
306-1-13362,Bass Trombone Solo,"Praeludium, Chorale, Variations and Fugue",Mueller,,"Edition Musicus-New York, Inc.",1,
306-1-13363,Bass Trombone Solo,Concerto,Nelhybel,,Southern Music Company,1,(play one mvt)
306-1-13364,Bass Trombone Solo,Concerto,Pilss,,Robert King,1,
306-1-13365,Bass Trombone Solo,Air et Final,Planel,,Alphonse Leduc,1,
306-1-13367,Bass Trombone Solo,Three Folktales,Presser,,Tenuto Publications,1,(unaccomp) (play mvts 1 & 2 or 2 & 3)
306-1-37307,Bass Trombone Solo,Vital Signs of Planet Earth,Gillingham,,C. Alan Publications,1,(play one mvt)
306-1-13369,Bass Trombone Solo,JW Music,Risher,,Wehr's Music House,1,(play mvts 1 & 2 or 3 & 4)
306-1-13370,Bass Trombone Solo,Barcarolle et Chanson Bachique for Bass Trombone or Tuba,Semler,Collery,Alphonse Leduc,1,
306-1-13372,Bass Trombone Solo,Concerto for Bass Trombone,Spillman,,"Edition Musicus-New York, Inc.",1,
306-1-13373,Bass Trombone Solo,Two Songs for Tuba,Spillman,,"Edition Musicus-New York, Inc.",1,(play both)
306-1-13374,Bass Trombone Solo,Sonatina,Stevens,,Peer/Southern Organization,1,(use tuba part) (play mvts 1 & 2 or 2 & 3)
306-1-13376,Bass Trombone Solo,Fantasia Op 57,Tuthill,,Ensemble Publications,1,
306-1-13377,Bass Trombone Solo,Skylines for Solo Bass Trombone or Tuba and Piano Op. 296,Uber,,Hidalgo Music,1,
306-1-13378,Bass Trombone Solo,Six Studies in English Folksong,Vaughan Williams,Wagner,Galaxy Music Corporation,1,(tuba edition) (play four)
306-1-13379,Bass Trombone Solo,Concerto for Bass Tuba,Vaughan Williams,,Oxford University Press,1,(play mvts 1 & 2)
306-1-13381,Bass Trombone Solo,Dance and Aria,White,,Kagarice Brass Editions,1,(play mvts 1 & 2 or 3 & 4)
306-1-13383,Bass Trombone Solo,Tetra Ergon,White,,The Brass Press,1,(play mvts 1 & 2 or 3 & 4)
306-1-13382,Bass Trombone Solo,Sonatina,White,,Warwick Music UK,1,(play mvts 1 & 2 or 2 & 3)
306-1-13384,Bass Trombone Solo,Sonata for Bass Trombone,Wilder,,"Margun Music, Inc.",1,"(play mvts 1, 2 & 3 or 1, 4 & 5) NMR:(play mvts 1, 2 & 3 or 1, 4 & 5)"
306-2-13385,Bass Trombone Solo,Fantasia,Bartolomeo,,Philharmusica Corp.,2,
306-2-13388,Bass Trombone Solo,"Canzoni per Basso Solo, Volumes 1 and 2",Frescobaldi,,Ludwig Doblinger,2,(play one)
306-1-37309,Bass Trombone Solo,"Pavane, Op. 50 for Tuba or Bass Trombone and Piano",Faure,Sauer,Cherry Classics,1,
306-1-37308,Bass Trombone Solo,Clair de Lune from Suite Bergamasque for Tuba or Bass Trombone and Piano,Debussy,Sauer,Cherry Classics,1,
306-2-13392,Bass Trombone Solo,Lied,Gotkovsky,,Editions Robert Martin,2,
306-2-13395,Bass Trombone Solo,Drei leichte Stucke,Hindemith,,Schott Company,2,(play one mvt)
306-2-13397,Bass Trombone Solo,Sonata,McCarty,,Ensemble Publications,2,(play mvt 1 or 2)
306-2-13398,Bass Trombone Solo,Dramatique,Solomon,,Southern Music Company,2,
306-2-13399,Bass Trombone Solo,Andante Op. 64,Tcherepnin,,BeLaieff,2,(play tuba part)
306-1-29884,Bass Trombone Solo,Concerto in Bb,Albinoni,Slokar,Unkown,1,
306-2-29886,Bass Trombone Solo,Way Down Blues,Armitage,,EMR,2,
306-1-29887,Bass Trombone Solo,Four Serious Songs,Brahms,Little,Kagarice Brass Editions,1,(play any 2 mvts)
306-1-29888,Bass Trombone Solo,Five Songs,Brahms,Little,Southern Music Publishing Company,1,(play any 3 mvts)
306-1-29889,Bass Trombone Solo,Stereograms,Brubeck,,Southern Music Company,1,(Play two mvts)
306-1-29890,Bass Trombone Solo,Sonate No. 7,Corelli,Chevaillier,International Music Diffusion,1,
306-1-29891,Bass Trombone Solo,Concertino (Bb),David,,Zimmerman,1,(play mvts 1 & 2 or play mvts 2 & 3)
306-2-29893,Bass Trombone Solo,Trilogy,Dossett,,Warwick Music UK,2,(Play mvt 2 only)
306-1-29894,Bass Trombone Solo,Theme and Variations,Dvarionas,,Reif,1,
306-1-29895,Bass Trombone Solo,Variations on Dona Nobis Pacem,Fetter,,Fet,1,(unaccompanied)
306-1-29896,Bass Trombone Solo,Bass Lines,Fetter,,Fet,1,(play Spain mvt only)(unaccompanied)
306-1-29897,Bass Trombone Solo,Tuba Concerto,Gregson,,Novello Publications Inc.,1,(play mvts 1 & 2 only)
306-2-29899,Bass Trombone Solo,Suite,Haddad,,Shawnee Press,2,(play mvt 1 or 3)
306-1-29900,Bass Trombone Solo,Rhapsody,Hidas,,EDMB,1,
306-1-29901,Bass Trombone Solo,Concerto in Five Short movements,Kazik,,Kagarice Brass Editions,1,(play mvts 1 & 2 or mvts 4 & 5)
306-1-29902,Bass Trombone Solo,Concertantes Allegro (Tuba),Lebedev,,Hofmeister,1,
306-1-29904,Bass Trombone Solo,Concertino in F,Sachse,Goss,Reif;Zimmerman,1,
306-1-29906,Bass Trombone Solo,Sonata in f minor,Telemann,Mortimer,EMR,1,
306-1-13344,Bass Trombone Solo,Concerto,George,,Accura Music,1,(play all) NMR:(play all)
306-1-32435,Bass Trombone Solo,Canto II,Adler,,Oxford University Press,1,
306-1-32436,Bass Trombone Solo,Elegy,Bartles,,Sam Fox Publishing Company,1,
306-1-32437,Bass Trombone Solo,Sagittarius 2,Bolter,,Air-ev Productions,1,(play all) NMR:(play all)
306-1-32438,Bass Trombone Solo,Deux Danses,Defaye,Knaub,Alphonse Leduc,1,
306-1-32439,Bass Trombone Solo,Concertino,Ewazen,,International Trombone Association Press,1,
306-1-32440,Bass Trombone Solo,Sonata,Gillingham,,International Trombone Association Press,1,(play mvts 1 & 2 or pmvts 2 & 3) NMR:(play mvts 1 & 2 or 2 & 3)
306-1-32441,Bass Trombone Solo,Morceau Symphonique,Guilmant,Bachman,"Alfred Music Company, Inc.",1,(in Bb)
306-1-32442,Bass Trombone Solo,Suite,Haddad,,Shawnee Press,1,
306-1-32443,Bass Trombone Solo,The Big Horn,Hoffman,,Southern Music Company,1,
306-1-32444,Bass Trombone Solo,Concerto (SubZero),Schnyder,,Schott Company,1,(play mvt 1 or play mvts 2 & 3) NMR:(play mvt 1 or play mvts 2 & 3)
306-1-37306,Bass Trombone Solo,Elegy,Gillingham,,C. Alan Publications,1,
306-1-32446,Bass Trombone Solo,Concerto,Williams,,"Hal Leonard Music, Inc.",1,(written for tuba)
306-1-37312,Bass Trombone Solo,Sonata for Bass Trombone and Piano,Schmitz,,Cherry Classics,1,(play 1st & 2nd OR 2nd & 3rd)
306-1-37313,Bass Trombone Solo,Three Negro Spirituals for Bass Trombone & Piano,Spiritual,Markey,Cherry Classics,1,(play two mvts)
306-1-37314,Bass Trombone Solo,Concertino for Trombone with F attachment,Wilborn,,Wehr's Music House,1,
306-1-37315,Bass Trombone Solo,Six Sonatas for Bass Trombone or Tuba and Piano,Galliard,Everett,Potenza Music,1,(play one sonata)
306-2-37316,Bass Trombone Solo,Six Sonatas for Bass Trombone or Tuba and Piano,Galliard,Everett,Potenza Music,2,(play two contrasting mvts from same Sonata)
306-2-37317,Bass Trombone Solo,24 Concert Pieces - Bass Trombone,Edwards,,Hornbone Press [24 Concert Pieces - Bass Trombone],2,"(play one; choose from 7, 8, 9, 11, 13, 14, 19, 20, 21, 23, OR 24) (play low octave when it splits)"
306-3-37318,Bass Trombone Solo,24 Concert Pieces - Bass Trombone,Edwards,,Hornbone Press [24 Concert Pieces - Bass Trombone],3,"(play one; choose from 1, 5, OR 6) (play low octave when it splits)"
