Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
205-1-10548,Bassoon Solo,Concerto in Bb,Bach,,Sikorski,1,(play one mvt)
205-1-10551,Bassoon Solo,Es ist Vollbracht,Bach,Schoenbach,"G. Schirmer, Inc. [Solos for the Bassoon Player]",1,
205-1-10549,Bassoon Solo,Concerto per fagotto in Mib maggiore,Bach,Zaszkaliczky,Editio Musica,1,(play 1 mvt)
205-1-10550,Bassoon Solo,Concerto per fagotto in Sib maggiore,Bach,Fodor,Editio Musica,1,(play 1 mvt)
205-1-10552,Bassoon Solo,Adagio,Beethoven,Schoenbach,"G. Schirmer, Inc. [Solos for the Bassoon Player]",1,
205-1-10553,Bassoon Solo,Three Sonatas,Bertoli,,Any Publisher,1,(play any one ENTIRE sonata)
205-1-10555,Bassoon Solo,Premier Solo,Bourdeau,Voxman,"Rubank, Inc.",1,
205-1-10556,Bassoon Solo,Sonata,Cascarino,,Southern Music Company,1,(play mvts 1 & 2 OR 2 & 3) NMR:(play all)
205-1-10558,Bassoon Solo,Suite,Corelli,Dishinger,Medici Music Press,1,
205-1-10557,Bassoon Solo,Sonata in b minor,Corelli,Sharrow,International Music Company,1,(play two contrasting mvts)
205-1-10559,Bassoon Solo,Concertino,David,Voxman,"Rubank, Inc.",1,NMR:(play all)
205-1-10560,Bassoon Solo,Variations on a Theme of Robert Schumann,Davis,,Southern Music Company,1,
205-1-10561,Bassoon Solo,Sonata in g minor,Eccles,Sharrow,International Music Company,1,(play two contrasting mvts)
205-1-10562,Bassoon Solo,Concerto in C,Eichner,Thomas,Medici Music Press,1,(play one mvt)
205-1-10563,Bassoon Solo,Suite,Faith,,Southern Music Company,1,
205-1-10564,Bassoon Solo,Sonata in C Major,Fasch,,Universal Editions,1,(play two constrasting mvts)
205-1-10565,Bassoon Solo,Sonata,Fasch,Klitz,McGinnis & Marx,1,(play two contrasting mvts)
205-1-10567,Bassoon Solo,Sicilienne Op. 78,Faure,Davis,"Western International Music, Inc.",1,
