Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
243-1-11799,Bb Clarinet Quartet,Rondo (from Sonata Pathetique),Beethoven,,"Cundy-Bettoney Company, Inc.",1,
243-1-11800,Bb Clarinet Quartet,Prelude and Scherzo,Bennett,,"Carl Fischer, Inc.",1,
243-2-11801,Bb Clarinet Quartet,Dance Creole,Chaminade,Debueris,"Belwin, Inc",2,
243-1-11802,Bb Clarinet Quartet,French Suite,Desportes,,Southern Music Company,1,(play four mvts)
243-1-11804,Bb Clarinet Quartet,Pastorale and Dance,Donato,,"G. Schirmer, Inc.",1,(play all)
243-1-11805,Bb Clarinet Quartet,Larghetto and Scherzo,Dont,Waln,Neil A. Kjos Music Company,1,
243-1-11806,Bb Clarinet Quartet,Quartet,Dubois,,Alphonse Leduc,1,(play mvt 1 & two other mvts)
243-1-11807,Bb Clarinet Quartet,Clarinet Quartet No. 1,Endresen,,"Belwin, Inc",1,
243-1-11808,Bb Clarinet Quartet,Suite in Folk Style,Goeb,,Associated Music Publishers Inc.,1,(play two mvts)
243-1-11809,Bb Clarinet Quartet,Four Conversations,Green,,Associated Music Publishers Inc.,1,
243-1-11810,Bb Clarinet Quartet,Rondo Presto,Haydn,Lancelot,Billaudot,1,
243-1-11811,Bb Clarinet Quartet,Celebration Suite,Heim,,"Kendor Music, Inc.",1,
243-1-11812,Bb Clarinet Quartet,"Scherzetto, Pavane and Gopak",Jacob,,Emerson Editions,1,(play all)
243-1-11813,Bb Clarinet Quartet,Allegro con Spirito,Kuhlau,Tustin,C.L. Barnhouse Company,1,
243-1-11814,Bb Clarinet Quartet,Allegro Moderato (from Quartet Op. 107),Lachner,Voxman/Block,Southern Music Company,1,
243-1-11816,Bb Clarinet Quartet,On a Pastoral Theme,McKay,,Theodore Presser Company,1,
243-1-11817,Bb Clarinet Quartet,Two Promenades,McKay,,C.L. Barnhouse Company,1,
243-1-11815,Bb Clarinet Quartet,American Sketches,McKay,,C.L. Barnhouse Company,1,
243-1-11818,Bb Clarinet Quartet,Canzonetta,Mendelssohn,Debueris,"Belwin, Inc",1,
243-1-11819,Bb Clarinet Quartet,Prelude and Scherzo Op. 20,Miller,,"Belwin, Inc",1,
243-1-11820,Bb Clarinet Quartet,Excerpt (from Sonata No. 10),Mozart,Toll,"Cundy-Bettoney Company, Inc.",1,
243-1-11821,Bb Clarinet Quartet,Chamber Music,Owen,,Avant Music Company,1,(play mvt 1 plus one other mvt)
243-1-11822,Bb Clarinet Quartet,Suite for Equal Clarinets,Smith,,C.L. Barnhouse Company,1,(play all)
243-1-11823,Bb Clarinet Quartet,Suite for Four Clarinets,Smith,,Wingert/Jones,1,(play all)
243-1-11824,Bb Clarinet Quartet,Chase of the Centaurs,Walker,,C.L. Barnhouse Company,1,
243-1-11825,Bb Clarinet Quartet,Grand Quartet,Waterson,Andraud,Southern Music Company,1,"(play mvt 1, 3 or 4)"
243-1-11826,Bb Clarinet Quartet,Roulade,Whitney,,"Carl Fischer, Inc.",1,
243-2-11827,Bb Clarinet Quartet,Fugue (from The Spirit Helpeth),Bach,Dishinger,Medici Music Press,2,
243-2-11828,Bb Clarinet Quartet,Kyrie (from The Mass in F Major),Bach,Dishinger,Medici Music Press,2,
243-2-11829,Bb Clarinet Quartet,Kyrie in G,Bach,Dishinger,Medici Music Press,2,
243-2-11830,Bb Clarinet Quartet,Andante and Minuetto,Bochsa/Schmidt,Voxman,"Rubank, Inc.",2,
243-2-11831,Bb Clarinet Quartet,Andante (from Quartet in D Op. 60 No. 2),Bohne,Voxman,"Rubank, Inc.",2,
243-2-11832,Bb Clarinet Quartet,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,2,
243-2-11833,Bb Clarinet Quartet,Rowland,Byrd,Dishinger,Medici Music Press,2,
243-2-11834,Bb Clarinet Quartet,Sarabanda and Gavotta,Corelli,Johnson,"Rubank, Inc.",2,(play all)
243-2-11835,Bb Clarinet Quartet,Larghetto and Scherzo,Dont,Waln,Neil A. Kjos Music Company,2,(play one mvt)
243-2-11836,Bb Clarinet Quartet,Gavotte (from Contrasts),Elgar,Dishinger,Medici Music Press,2,
243-2-11837,Bb Clarinet Quartet,Bagatelle,Grundman,,"Boosey & Hawkes, Inc.",2,
243-2-11838,Bb Clarinet Quartet,Bourree (from Water Music Suite),Handel,Barr,"Belwin, Inc",2,
243-2-11839,Bb Clarinet Quartet,Serenade,Haydn,Debueris,"Belwin, Inc",2,
243-2-11840,Bb Clarinet Quartet,Chanson: To Yonder Lovely Grove,Janequin,Dishinger,Medici Music Press,2,
243-2-11841,Bb Clarinet Quartet,From Uncle Remus (from Woodland Sketches),MacDowell,Johnson,"Rubank, Inc.",2,
243-2-11842,Bb Clarinet Quartet,Canzona (from Canzoni a 4 Voci),Maschera,Dishinger,Medici Music Press,2,
243-2-11843,Bb Clarinet Quartet,On the Boulevard,McKay,,C.L. Barnhouse Company,2,
243-2-11844,Bb Clarinet Quartet,Song and Dance,McKay,,C.L. Barnhouse Company,2,(play all)
243-2-11845,Bb Clarinet Quartet,A Joyous Song,Mendelssohn,Whitney,"G. Schirmer, Inc.",2,
243-2-11846,Bb Clarinet Quartet,Finale K. 385,Mozart,McLeod,"Kendor Music, Inc.",2,
243-2-11849,Bb Clarinet Quartet,Serenade,Mozart,Neufeld/Lurie,"Western International Music, Inc.",2,(play two mvts)
243-2-11848,Bb Clarinet Quartet,Minuetto (from Piano Sonata K. 282),Mozart,Seay,Jack Spratt Music Publishers,2,
243-2-11847,Bb Clarinet Quartet,Menuetto,Mozart,Voxman/Block,Southern Music Company,2,
243-2-11850,Bb Clarinet Quartet,Sounds of the Sea,Roden,,C.L. Barnhouse Company,2,
243-2-11851,Bb Clarinet Quartet,Four of a Kind,Scarmolin,,C.L. Barnhouse Company,2,
243-2-11852,Bb Clarinet Quartet,Menuetto (from Quartet Op. 76 No. 4),Haydn,Seay,Jack Spratt Music Publishers [Gotham Collection of Clarinet Quartets],2,
243-2-11853,Bb Clarinet Quartet,Suite for Four Clarinets,Smith,,Wingert/Jones,2,(play two mvts)
243-2-11854,Bb Clarinet Quartet,Andante,"Stamitz, C",Kesnar,"Cundy-Bettoney Company, Inc.",2,
243-2-11855,Bb Clarinet Quartet,Dance Suite,Susato,Voxman/Block,Southern Music Company,2,(play all)
243-2-11856,Bb Clarinet Quartet,Pollywog's Lake Talk,Ulman,,Medici Music Press,2,
243-2-11857,Bb Clarinet Quartet,Andante,Bochsa,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-11858,Bb Clarinet Quartet,Masquerade,Walker,,C.L. Barnhouse Company,2,
243-2-11859,Bb Clarinet Quartet,Valse Scherzo,Walker,,C.L. Barnhouse Company,2,
243-2-11860,Bb Clarinet Quartet,Grand Quartet,Waterson,Andraud,Southern Music Company,2,(play mvt 2)
243-3-11861,Bb Clarinet Quartet,Two Dances (from Comus),Arne,Barr,"Belwin, Inc",3,(play one mvt)
243-3-11862,Bb Clarinet Quartet,Menuet in G,Bach,Dishinger,Medici Music Press,3,
243-3-11863,Bb Clarinet Quartet,Pavana,Byrd,Skolnik,Southern Music Company,3,
243-3-11864,Bb Clarinet Quartet,First Book of Clarinet Quartets,Cacavas,,Southern Music Company,3,(play one)
243-3-11865,Bb Clarinet Quartet,Impressions,Cacavas,,Southern Music Company,3,
243-3-11866,Bb Clarinet Quartet,His Humour,Farnaby,Dishinger,Medici Music Press,3,
243-3-11867,Bb Clarinet Quartet,Galliard and Courante,Frescobaldi,Johnson,"Rubank, Inc.",3,(play all)
243-3-11868,Bb Clarinet Quartet,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,3,
243-3-11869,Bb Clarinet Quartet,Bourree (A French Dance),Handel,Dishinger,Medici Music Press,3,
243-3-11870,Bb Clarinet Quartet,Sarabande,Handel,Liegl,"Carl Fischer, Inc.",3,
243-3-11871,Bb Clarinet Quartet,Clarinet Symphony,Anon. or Trad.,Holmes,"Rubank, Inc.",3,(play two of # 1-11)
243-3-11872,Bb Clarinet Quartet,Bach Chorales,Anon. or Trad.,Johnson,"Rubank, Inc.",3,
243-3-11873,Bb Clarinet Quartet,At an Old Trysting Place,MacDowell,Harris,Ludwig Music Publishing Company [Woodland Sketches],3,
243-3-11874,Bb Clarinet Quartet,To a Wild Rose,MacDowell,Harris,Ludwig Music Publishing Company [Woodland Sketches],3,
243-3-11875,Bb Clarinet Quartet,Two Tone Poems,MacDowell,McKay,C.L. Barnhouse Company,3,
243-3-11876,Bb Clarinet Quartet,Madrigal: Madonna mia gentil,Marenzio,Dishinger,Medici Music Press,3,
243-3-11877,Bb Clarinet Quartet,Contrasts,Morley,Schaeffer,Pro-Art Publications,3,
243-3-11878,Bb Clarinet Quartet,Menuetto,Mozart,Gee,Pro-Art Publications,3,
243-3-11879,Bb Clarinet Quartet,Quartet in G,Norden,McCathren,C.L. Barnhouse Company,3,
243-3-11880,Bb Clarinet Quartet,Alleluia and Choral,Palestrina/Mendelssohn,Skornicka,"Belwin, Inc",3,
243-3-11881,Bb Clarinet Quartet,Gavotte (from Harpsichord Suite No. 5),Purcell,Vedeski/Dishinger,Medici Music Press,3,
243-3-11882,Bb Clarinet Quartet,"Rigaudon (from Pieces de Clavecin, 1724)",Rameau,Dishinger,Medici Music Press,3,
243-3-11883,Bb Clarinet Quartet,Aria and Minuet,Scarlatti,Johnson,"Rubank, Inc.",3,
243-3-11884,Bb Clarinet Quartet,Andante,Scharwenka,Liegl,"Carl Fischer, Inc.",3,
243-3-11885,Bb Clarinet Quartet,A Winter's Willow,Vaughan Williams,Dishinger,Medici Music Press,3,
243-1-11911,Bb Clarinet Quartet,Three Divertissments,Tomasi,,Alphonse Leduc,1,(play two mvts)
243-2-23452,Bb Clarinet Quartet,Ballet Egyptian,Luigini,Seay,Jack Spratt Music Publishers [Gotham Collection of Clarinet Quartets],2,
243-2-23453,Bb Clarinet Quartet,Ave Verum Corpus (from Motet K. 618),Mozart,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23454,Bb Clarinet Quartet,"Chorale, In Thee Have I Trusted, Lord",Bach,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23455,Bb Clarinet Quartet,Equale No. 1,Mendelssohn,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23456,Bb Clarinet Quartet,Finale (from Quartet in G Op. 64),Bohne,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23457,Bb Clarinet Quartet,Holidays (from Grandfather's Book Op. 64),Gretchanikoff,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23458,Bb Clarinet Quartet,Hunter's Round,Artot,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23459,Bb Clarinet Quartet,Minuetto Op. 15,Schmidt,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23460,Bb Clarinet Quartet,Oxen Minuet,Haydn,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23461,Bb Clarinet Quartet,Polka,Bohemian,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23462,Bb Clarinet Quartet,Prayer (from Hansel and Gretel),Humperdinck,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
243-2-23463,Bb Clarinet Quartet,Rustic Dance,Bohemian,Voxman,"Rubank, Inc. [Ensemble Classics for Clarinet Quartets, Book I]",2,(must also play one additional selection from this collection)
