Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
235-1-11643,Bb Clarinet Trio,Allegro (from Trio Op. 87),Beethoven,Bierschenk,Southern Music Company,1,
235-1-11644,Bb Clarinet Trio,Grand Trio Op. 8,Bouffil,,"Cundy-Bettoney Company, Inc.",1,(play two mvts)
235-1-11645,Bb Clarinet Trio,Trio No. 6 Op. 8 No. 3,Bouffil,,Alphonse Leduc,1,(play mvt 1 or 4 plus one other mvt)
235-1-11646,Bb Clarinet Trio,Trio Op. 7 No. 1,Bouffil,,"Cundy-Bettoney Company, Inc.;Billaudot",1,
235-1-11647,Bb Clarinet Trio,Trio Op. 7 No. 2,Bouffil,,"Cundy-Bettoney Company, Inc.;Billaudot",1,(play two mvts)
235-1-11648,Bb Clarinet Trio,Trio Op. 7 No. 3,Bouffil,,"Cundy-Bettoney Company, Inc.;Billaudot",1,
235-1-11649,Bb Clarinet Trio,Legend of the Unicorn,Cichy,,"Kendor Music, Inc.",1,
235-1-11650,Bb Clarinet Trio,Woodwind Revels,Endresen,,"Rubank, Inc.",1,
235-1-11651,Bb Clarinet Trio,Sonatine pour Trois Clarinettes,Gerber,,Amadeus Verlag,1,
235-1-11653,Bb Clarinet Trio,Five Miniatures,Halloran,,Southern Music Company,1,
235-1-11654,Bb Clarinet Trio,Sonata in D Major,Handel,Coopersmith/La Rue,Mercury Music Corporation,1,(play two mvts)
235-1-11655,Bb Clarinet Trio,Sinfonia,Heim,,Shawnee Press,1,(play all)
235-1-11657,Bb Clarinet Trio,Trio Op. 24,Kummer,,"Cundy-Bettoney Company, Inc.",1,(play two mvts)
235-1-11658,Bb Clarinet Trio,Trio Op. 53,Kummer,,"Cundy-Bettoney Company, Inc.",1,(play two mvts)
235-1-11659,Bb Clarinet Trio,Trio Op. 59,Kummer,,"Cundy-Bettoney Company, Inc.",1,(play all)
235-1-11660,Bb Clarinet Trio,Divertissement No. 2,Mozart,Poulteau,Alphonse Leduc,1,"(play one Menuetto, & two other mvts)"
235-1-11661,Bb Clarinet Trio,Three Short Dialogues,Polk,,Shawnee Press,1,
235-1-11662,Bb Clarinet Trio,Three Rounds,Presser,,Tenuto Publications,1,
235-1-11663,Bb Clarinet Trio,Serenade,Starer,,Southern Music Publishing Company,1,
235-1-11664,Bb Clarinet Trio,Five Pieces for Three Clarinets Op. 112,Takacs,,Universal Editions,1,"(play three from # 1, 2, 4, or 5)"
235-1-11665,Bb Clarinet Trio,Ballet Suite,Townsend,,C.F. Peters Corporation,1,(play three mvts)
235-1-11666,Bb Clarinet Trio,Scherzo,Tuthill,,"Carl Fischer, Inc.",1,
235-1-11669,Bb Clarinet Trio,Second Grand Trio Concertante,Waterson,,"J&W Chester, Ltd.",1,(play one mvt)
235-2-11670,Bb Clarinet Trio,Allegro,Bella,Voxman/Block,Southern Music Company,2,
235-2-11672,Bb Clarinet Trio,Woodwind Moods,Endresen,,"Rubank, Inc.",2,
235-2-11674,Bb Clarinet Trio,Suite for Three Clarinets,Faber,Hunt,Schott Company,2,(play mvt 1 plus two other mvts)
235-2-11675,Bb Clarinet Trio,Gavotte (from Don Juan),Gluck,Brandenburg,"Carl Fischer, Inc.",2,
235-2-11677,Bb Clarinet Trio,Bourree,Handel,Brandenburg,"Carl Fischer, Inc.",2,
235-2-11678,Bb Clarinet Trio,Four Easy Trios,Harvey,,Schott Company,2,(play two)
235-2-11679,Bb Clarinet Trio,Minuet and Allegro di Molto,Haydn,Voxman/Block,Southern Music Company,2,(play all)
235-2-11680,Bb Clarinet Trio,Allegro Op. 133 No. 5,Hook,Voxman/Block,Southern Music Company,2,
235-1-11656,Bb Clarinet Trio,Variations in F on a Theme de Pleyel,Krommer,,Edition Kneusslin Basel,1,
235-2-11684,Bb Clarinet Trio,Rondo,Mozart,Bierschenk,Southern Music Company,2,
235-2-11685,Bb Clarinet Trio,Sonatina No. 1,Mozart,McLeod,"Kendor Music, Inc.",2,(play three mvts)
235-2-11686,Bb Clarinet Trio,Sonatina No. 2,Mozart,McLeod,"Kendor Music, Inc.",2,(play three mvts)
235-2-11687,Bb Clarinet Trio,Sonatina No. 3,Mozart,McLeod,"Kendor Music, Inc.",2,
235-2-11683,Bb Clarinet Trio,Larghetto and Allegro,Mozart,Voxman /Block,Southern Music Company,2,
235-2-11688,Bb Clarinet Trio,Pastorale and Scherzo,Ostransky,,"Rubank, Inc.",2,
235-2-11689,Bb Clarinet Trio,Sketches of Youth,Reid,,"Kendor Music, Inc.",2,
235-2-11691,Bb Clarinet Trio,"Five Movements (from Concerto Grosso No. 8, Christmas Concerto)",Corelli,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-11690,Bb Clarinet Trio,Ala Breve (from Sonata a tre No. 6),Handel,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-11692,Bb Clarinet Trio,Gavotte,Martini,Stouffer,"Kendor Music, Inc. [Six for Three]",2,(must also play Menuet or vivace from this collection)
235-2-11693,Bb Clarinet Trio,Andantino and Allegro Molto,Streben,Voxman/Block,Southern Music Company,2,(play all)
235-2-11696,Bb Clarinet Trio,Moderato,Anon. or Trad.,Weston,Schott Company [Eight Clarinet Trios of the 18th Century],2,(must also play one additional selection from this collection)
235-2-11694,Bb Clarinet Trio,Adagio (from Trio Op. 87),Beethoven,Voxman,"Rubank, Inc. [Chamber Music for Three Clarinets, Vol. II]",2,(must also play one additional selection from this collection)
235-3-11697,Bb Clarinet Trio,Allegretto (from Trio Op. 2),Beethoven,Harris,"Cundy-Bettoney Company, Inc.",3,
235-3-11698,Bb Clarinet Trio,Trios (from the Spanish Renaissance),Biggs,,Consort Press,3,(play two)
235-3-11699,Bb Clarinet Trio,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,3,
235-3-11703,Bb Clarinet Trio,Miniatures for 3 Clarinets,Gretchaninoff,Lester,"JTL Publications, G. Scott Music Publishing Co.",3,(play two mvts)
235-3-11705,Bb Clarinet Trio,Sketches for Three,Kabalevsky,Lester,"JTL Publications, G. Scott Music Publishing Co.",3,(play two mvts)
235-3-11706,Bb Clarinet Trio,Evensong,Koepke,,"Rubank, Inc.",3,
235-3-11707,Bb Clarinet Trio,Minuet and Trio,Mozart,Ostling,"Belwin, Inc",3,
235-3-11708,Bb Clarinet Trio,Air and Tarantella,Olivadoti,,"Rubank, Inc.",3,
235-3-11709,Bb Clarinet Trio,Chaconne in g minor,Purcell,Maganini,"Edition Musicus-New York, Inc.",3,
235-3-11712,Bb Clarinet Trio,Andantino,Sor,Dishinger,Medici Music Press,3,
235-3-11713,Bb Clarinet Trio,English Dance,Ditters,Stouffer,"Kendor Music, Inc. [Six for Three]",3,
235-3-11714,Bb Clarinet Trio,Fughetta,Handel,Stuart,Shawnee Press [Clarinet Classics],3,
235-1-11652,Bb Clarinet Trio,Second Suite for Three Clarinets,Graupner,,Schott Company,1,(play mvt 2 plus three other mvts)
235-2-11676,Bb Clarinet Trio,Second Suite for Three Clarinets,Graupner,,Schott Company,2,(play any three mvts)
235-3-11702,Bb Clarinet Trio,Second Suite for Three Clarinets,Graupner,,Schott Company,3,(play two mvts)
235-1-11667,Bb Clarinet Trio,Trio in Bb,Walker,,"Belwin, Inc",1,(play three mvts)
235-2-11695,Bb Clarinet Trio,Trio in Bb,Walker,,"Belwin, Inc",2,(play two mvts)
235-1-11668,Bb Clarinet Trio,First Grand Trio,Waterson,,"J&W Chester, Ltd.",1,(play Largo & Allegro con Brio or play con Molto Sostenuto & Allegro)
235-2-11671,Bb Clarinet Trio,Passepied,Delibes,Giovannini,RBC Publications,2,
235-2-11673,Bb Clarinet Trio,Brightonshire Hornpipe,Engebretson,,MPC,2,
235-3-11704,Bb Clarinet Trio,Madrigal,Isaac,Schmidt,"Western International Music, Inc.",3,
235-3-11700,Bb Clarinet Trio,Sailor's Worksong,Engebretson,,MPC,3,
235-3-11701,Bb Clarinet Trio,Wiegenlied,Engebretson,,MPC,3,
235-2-23381,Bb Clarinet Trio,Menuetto (from Concerto Grosso No. 5,Handel,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23382,Bb Clarinet Trio,Air (from Cantata No. 128),Bach,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23383,Bb Clarinet Trio,Anglaise (from French Suite No. 3),Bach,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23384,Bb Clarinet Trio,"Gigue La Babet (from Pieces de Clavecin, Book I)",Couperin,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23385,Bb Clarinet Trio,"Gavotte Les Moissonneurs (from Pieces de Clavecin, Book II)",Couperin,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23386,Bb Clarinet Trio,"Rigaudon (from Nouvelle Suite de Pieces de Clavecin, Book II)",Rameau,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23387,Bb Clarinet Trio,"Menuet (from Nouvelle Suite de Pieces de Clavecin, Book III)",Rameau,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23388,Bb Clarinet Trio,Allegro (from Sonata a tre Op. 1 No. 1),Corelli,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23389,Bb Clarinet Trio,Sonata No. 55 for Clavicembalo,Scarlatti,Rosenthal,Piedmont [Clarinet Trios 18th Century],2,(must also play two additional selections from this collection)
235-2-23390,Bb Clarinet Trio,Two Movements (from 12 Sonatas),Purcell,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23391,Bb Clarinet Trio,"Rigaudon (from Nouvelles Suites de Pieces de Clavecin, Book I)",Couperin,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23392,Bb Clarinet Trio,"Rondeau (from Nouvelles Suites de Pieces de Clavecin, Book II)",Rameau,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23393,Bb Clarinet Trio,Gavotte (from Iphigenie en Aulide),Gluck,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23394,Bb Clarinet Trio,Minuet and Trio (from String Quartet),Haydn,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23395,Bb Clarinet Trio,German Dance (from K. 605),Mozart,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23396,Bb Clarinet Trio,Contre Dances,Beethoven,Rosenthal,Piedmont [Clarinet Trios from Corelli to Beethoven],2,(must also play one additional selection from this collection)
235-2-23397,Bb Clarinet Trio,Menuet,Handel,Stouffer,"Kendor Music, Inc. [Six for Three]",2,(must also play Gavotte or Vivace from this collection)
