Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
344-1-13924,Brass Quartet,Fuga V,Bach,Mehl,Edition Kunzelman USA,1,"(2 tpt, 2 tbn)"
344-1-13925,Brass Quartet,Fugue in Db,Bach,Taylor,Fillmore Music House,1,"(2 tpt, 2 tbn)"
344-1-13926,Brass Quartet,Fugue in g minor,Bach,Taylor,Fillmore Music House,1,"(2 tpt, 2 tbn)"
344-1-13927,Brass Quartet,Two Fantasias,Banchieri,King,Robert King,1,"(2 tpt, 2 tbn)"
344-1-13928,Brass Quartet,Chorus of the Jugglers (from Benvenuto Cellini),Berlioz,Ostrander,"Edition Musicus-New York, Inc.",1,"(2 tpt, 2 tbn)"
344-1-13929,Brass Quartet,Sellinger's Round,Byrd,Weinberg,Southern Music Company,1,"(2 tpt, 2 tbn)"
344-1-13930,Brass Quartet,Partita,Dittersdorf,Koch,Barenreiter/Verlag,1,"(2 tpt, 2 tbn)/(play mvts 1,2, & 4)"
344-1-34673,Brass Quartet,A Palestrina Triptych,Palestrina,Pappas,JPM Music Publications,1,"(tpt, tpt OR hn, trb OR euph, euph OR tuba)"
344-1-13932,Brass Quartet,Quartet for Brass Instruments,Frackenpohl,,Robert King,1,"(2 tpt, 2 tbn)/(play two mvts)"
344-1-13933,Brass Quartet,Canzon Seconda,Frescobaldi,Smith,C.L. Barnhouse Company,1,"(2 tpt, 2 tbn)"
344-1-13934,Brass Quartet,Canzoni 1 and 2,Gabrielli,,Musica Rara,1,"(2 tpt, 2 tbn)/(play one)"
344-1-13935,Brass Quartet,Toccata,Haines,,Robert King,1,"(2 tpt, 2 tbn)"
344-1-13936,Brass Quartet,Morgenmusik,Hindemith,,Schott Company,1,"(2 tpt, 2 tbn)/(play all)"
344-1-13938,Brass Quartet,Music of the Middle Ages,Anon. or Trad.,Maganini,Qunito Maganini,1,"(2 tpt, 2 tbn)"
344-1-13939,Brass Quartet,Canzona,Maschera,Lotzenhiser,"Carl Fischer, Inc.",1,"(2 tpt, 2 tbn)"
344-1-13940,Brass Quartet,Pastiche,Miller,,Southern Music Company,1,"(2 tpt, 2 tbn)/(play mvts 1 & 6, plus two other mvts)"
344-1-13941,Brass Quartet,Fugue,Mozart,King,Robert King,1,"(2 tpt, 2 tbn)"
344-1-13942,Brass Quartet,When the Saints Go Marching In,Niehaus,,"Kendor Music, Inc.",1,"(2 tpt, 2 tbn)"
344-1-13943,Brass Quartet,Suite for Brass Quartet,Sanders,,Robert King,1,"(2 tpt, 2 tbn)/(play mvt 1 & 3)"
344-1-13944,Brass Quartet,Three Pieces for Brass Quartet,Schumann,Frackenpohl,"Kendor Music, Inc.",1,"(2 tpt, 2 tbn)"
344-1-13945,Brass Quartet,Quatuor,Simon,,Robert King,1,"(2 tpt, 2 tbn)/(play mvt 1 or 4, plus one other mvt)"
344-1-13946,Brass Quartet,"March, Chorale, and Fugue",Werle,,"Edition Musicus-New York, Inc.",1,"(2 tpt, 2 tbn) (omit March)"
344-1-13947,Brass Quartet,Brass Quartet No. 1,Whitney,,"Carl Fischer, Inc.",1,"(2 tpt, 2 tbn)/(play mvt 1 or 3)"
344-2-13948,Brass Quartet,Bist Du Bei Mir,Bach,Fitzgerald,Theodore Presser Company,2,"(2 tpt, 2 tbn)"
344-2-13950,Brass Quartet,Fuga IX,Bach,Mehl,Edition Kunzelman USA,2,"(2 tpt, 2 tbn)"
344-2-13951,Brass Quartet,Virga Jesse,Bruckner,Guenther,Southern Music Company,2,"(2 tpt, 2 tbn)"
344-2-13952,Brass Quartet,Chanson and Madrigal,di Lasso,Houseknecht,Southern Music Company,2,"(2 tpt, 2 tbn)"
344-2-13953,Brass Quartet,Toccata,Frescobaldi,Schmidt,"Western International Music, Inc.",2,"(2 tpt, 2 tbn)"
344-2-13956,Brass Quartet,Ricercar del Sesto Tuono,Gabrieli,,Musica Rara,2,"(2 tpt, 2 tbn)"
344-2-13955,Brass Quartet,Ricercar del Duodecimo Tuono,Gabrieli,Backhaus,Trigram Music Inc.,2,"(2 tpt, 2 tbn)"
344-2-13954,Brass Quartet,Ricercar,Gabrieli,Smith,"Edition Musicus-New York, Inc.",2,"(2 tpt, 2 tbn)"
344-2-13957,Brass Quartet,In Modo Religioso,Glazounow,Voxman,"Rubank, Inc.",2,"(2 tpt, 2 tbn)"
344-2-13958,Brass Quartet,Bourree and Minuet,Handel,King,Robert King,2,"(2 tpt, 2 tbn)"
344-2-13959,Brass Quartet,March and Gavotte,Handel,King,Robert King,2,"(2 tpt, 2 tbn)"
344-2-13960,Brass Quartet,The Game,Kabalevsky,Lester,"JTL Publications, G. Scott Music Publishing Co.",2,"(2 tpt, 2 tbn)"
344-2-13961,Brass Quartet,Two Dances,Kabelevsky,Lester,"JTL Publications, G. Scott Music Publishing Co.",2,"(2 tpt, 2 tbn)"
344-2-13962,Brass Quartet,Interlude,McKay,,C.L. Barnhouse Company,2,"(2 tpt, 2 tbn)"
344-2-13963,Brass Quartet,In the Village,Moussorgsky,Lester,"JTL Publications, G. Scott Music Publishing Co.",2,"(2 tpt, 2 tbn)"
344-2-13964,Brass Quartet,Two Magnificats,Pachelbel,King,Robert King,2,"(2 tpt, 2 tbn)/(play one)"
344-2-13965,Brass Quartet,Two Trumpet Tunes and Ayre,Purcell,Corley,Robert King,2,"(2 tpt, 2 tbn)"
344-2-13966,Brass Quartet,Sonata No. 7,Reiche,,Robert King,2,"(2 tpt, 2 tbn)"
344-2-13967,Brass Quartet,Passacaglia,Rossini,Wienandt,Southern Music Company,2,"(2 tpt, 2 tbn)"
344-2-13968,Brass Quartet,Schumannesque,Schumann,Lester,"JTL Publications, G. Scott Music Publishing Co.",2,"(2 tpt, 2 tbn)"
344-2-13969,Brass Quartet,A Joyous Prelude,Spears,,Southern Music Company,2,"(2 tpt, 2 tbn)"
344-2-13970,Brass Quartet,Three Dances,Susato,King,Robert King,2,"(2 tpt, 2 tbn)"
344-2-13971,Brass Quartet,Prelude and Rondo,Whear,,C.L. Barnhouse Company,2,"(2 tpt, 2 tbn)"
344-2-13972,Brass Quartet,Brass Quartet No. 1,Whitney,,"Carl Fischer, Inc.",2,"(2 tpt, 2 tbn)/(play mvt 2)"
344-3-13973,Brass Quartet,Twenty-Two Chorales,Bach,,Robert King,3,"(2 tpt, 2 tbn)/(play two)"
344-3-13974,Brass Quartet,Nature's Praise of God,Beethoven,Voxman,"Rubank, Inc. [Ensemble Classics, Book II]",3,"(2 tpt, 2 tbn)"
344-3-13975,Brass Quartet,The Hunter,Brahms,Voxman,"Rubank, Inc. [Ensemble Classics, Book II]",3,"(2 tpt, 2 tbn)"
344-3-13976,Brass Quartet,Aura Lee,Anon. or Trad.,Christensen/Dunn,Neil A. Kjos Music Company,3,"(2 tpt, 2 tbn)"
344-3-13977,Brass Quartet,Seven Moods and Dances,de Haan,,"J&W Chester, Ltd.",3,"(2 tpt, 2 tbn)/(play two mvts)"
