Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
351-1-25374,Brass Quintet,A Suite of 17th Century Dances,Anon. or Trad.,Mase,Bal,1,
351-1-25375,Brass Quintet,Three Madrigals (from The Triumphs of Oriana for Brass Quintet),Anon. or Trad.,Ordunio,"Wimbledon Music, Inc.",1,
351-1-34308,Brass Quintet,Arise!,Maslanka,,Maslanka Press,1,
351-1-25378,Brass Quintet,Pop Suite #4,Frackenpohl,,"Kendor Music, Inc.",1,
351-2-25379,Brass Quintet,Honor and Arms (from Samson),Handel,Rowe,"Kendor Music, Inc.",2,
351-1-25380,Brass Quintet,Judas Maccabeus Suite,Handel,Haislip,Trigram Music Inc.,1,
351-1-25381,Brass Quintet,Alexander's Ragtime Band,Berlin,McLeod,"Kendor Music, Inc.",1,
351-1-25382,Brass Quintet,"The Well-Tempered Brass Quintet, Vol IV",Bach,Baldwin,Trigram Music Inc.,1,(play any two mvts)
351-2-25383,Brass Quintet,Three Chorale Preludes: #1,Bach,Cooper,Trigram Music Inc.,2,
351-2-25384,Brass Quintet,Three Chorale Preludes: #2,Bach,Cooper,Trigram Music Inc.,2,
351-1-25385,Brass Quintet,King Porter Stomp,Morton,Frackenpohl,"Kendor Music, Inc.",1,
351-2-25386,Brass Quintet,Allejuia for Brass Quintet,Mozart,Cooper,Trigram Music Inc.,2,
351-1-25387,Brass Quintet,Sir Brass,Niehaus,,"Kendor Music, Inc.",1,
351-1-25388,Brass Quintet,Greensleeves (What Child is This?),Anon. or Trad.,Haislip,Trigram Music Inc.,1,
351-1-25389,Brass Quintet,Madrigal,Marenzio,Rager,Great Works Publishing,1,
351-2-25391,Brass Quintet,La Quete,Beauvarlet-Charpentier,Fabert,International Music Diffusion,2,
351-2-25392,Brass Quintet,Missolonghi,Lagoanere,Fabert,International Music Diffusion;International Music Company,2,
351-1-25395,Brass Quintet,Largo and Finale (from New World),Dvorak,Blahnik,"Alliance Publications, Inc.",1,(Must be performed as a QUINTET) (MUST BE PERFORMED WITHOUT PERCUSSION)
351-1-14211,Brass Quintet,Sonata (from Die Bankelsangerlieder),Anon. or Trad.,,Robert King,1,
351-1-14212,Brass Quintet,Quintet for Brass,Arnold,,Paterson's Publications,1,(play one mvt)
351-1-14213,Brass Quintet,Arioso (from Cantate No. 156),Bach,Dean,Ludwig Music Publishing Company,1,
351-1-14220,Brass Quintet,Prelude and Fugue (from Eight Little Fugues),Bach,Dishinger,Medici Music Press,1,(play Fugue)
351-1-14223,Brass Quintet,Kyrie in F,Bach,Dishinger,Medici Music Press,1,
351-1-14217,Brass Quintet,Contrapunctus IX,Bach,Glasel,Chamber Music Library,1,"(2 tpt, hn, tbn or eup, tba)"
