Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
360-1-14376,Brass Sextet,Bartok for Brass,Bartok,Siekmann,C.L. Barnhouse Company,1,
360-1-14377,Brass Sextet,Chanty,Bloch,Landes,"G. Schirmer, Inc.",1,
360-1-14378,Brass Sextet,The Earle of Oxford's Marche,Byrd,Walters,"Rubank, Inc. [Brass Recital for Brass Sextet]",1,(perform ONLY as a SEXTET)
360-1-14379,Brass Sextet,Canzone No. 4,Gabrieli,Hurrell,"Rubank, Inc. [Brass Recital for Brass Sextet]",1,(perform ONLY as a SEXTET)
360-1-14380,Brass Sextet,Russian Sailor's Dance,Gliere,Siekmann,C.L. Barnhouse Company,1,
360-1-14381,Brass Sextet,Two Sixteenth Century Flemish Songs,Anon. or Trad.,Haas,"Templeton Publishing Company, Inc.",1,
360-1-14382,Brass Sextet,Prelude Romantique,Johnson,,"Carl Fischer, Inc.",1,
360-1-14383,Brass Sextet,Sonatina,Kabalevsky,Barnes,Ludwig Music Publishing Company,1,
360-1-14386,Brass Sextet,Second Fantasy in F Major,McKay,,C.L. Barnhouse Company,1,
360-1-14387,Brass Sextet,"Joseph in Egypt, Overture",Mehul,Finch,"Carl Fischer, Inc.",1,
360-1-14388,Brass Sextet,Prelude and Fugue,Mendelssohn,Barnes,Ludwig Music Publishing Company,1,(play Fugue)
360-1-14389,Brass Sextet,Autumn Moods,Meyers,,"Composers Press, Inc., Opus Music",1,
360-1-14391,Brass Sextet,March and Fanfare,Purcell,Barnes,Ludwig Music Publishing Company,1,
360-1-14392,Brass Sextet,Fantasy Sketch,Schmutz,,"Carl Fischer, Inc.",1,
360-1-14393,Brass Sextet,Four Pieces for Brass Sextet,Simon,Voxman,"Rubank, Inc.",1,
360-1-14394,Brass Sextet,Second Suite,Weiner,,Southern Music Company,1,
360-2-14395,Brass Sextet,Cordoba,Albeniz,Walters,"Rubank, Inc. [Brass Recital for Brass Sextet]",2,(perform ONLY as a SEXTET)
360-2-14397,Brass Sextet,March (from the Opera Fidelio),Beethoven,Holmes,C.L. Barnhouse Company,2,
360-2-14396,Brass Sextet,Chorale and March,Beethoven,Lotzenhiser,"Rubank, Inc.",2,
360-2-14398,Brass Sextet,Ecce Sacerdos,Bruckner,Johnson,"Rubank, Inc. [Brass Recital for Brass Sextet]",2,(perform ONLY as a SEXTET)
360-2-14399,Brass Sextet,Prelude and Chorale,Busch,,"Carl Fischer, Inc.",2,
360-2-14400,Brass Sextet,A Day of Joy,Dvorak,Hurrell,"Rubank, Inc. [Brass Recital for Brass Sextet]",2,(perform ONLY as a SEXTET)
360-2-14401,Brass Sextet,March,Handel,,Concord Music Publishing Company,2,
360-2-14402,Brass Sextet,Scherzo,Koepke,,"Rubank, Inc.",2,
360-2-14403,Brass Sextet,Music for King Charles II,Locke,,Robert King,2,(play both mvts)
360-2-14404,Brass Sextet,Concert Prelude,McKay,,C.L. Barnhouse Company,2,
360-2-14405,Brass Sextet,Fantasy,McKay,,C.L. Barnhouse Company,2,
360-2-14406,Brass Sextet,Moods in Contrast,McKay,,C.L. Barnhouse Company,2,
360-2-14407,Brass Sextet,Narrative Sketch,McKay,,C.L. Barnhouse Company,2,
360-2-14408,Brass Sextet,Panel in Oil Color,McKay,,C.L. Barnhouse Company,2,
360-2-14409,Brass Sextet,Romantic Mural,McKay,,C.L. Barnhouse Company,2,
360-2-14410,Brass Sextet,Prelude and Fugue,Mendelssohn,Barnes,Ludwig Music Publishing Company,2,(play Prelude)
360-2-14411,Brass Sextet,Prelude (A Dream I've Had),Osmon,,Southern Music Company,2,
360-2-14412,Brass Sextet,Sourwood Mountain,Anon. or Trad.,Ostling,"Belwin, Inc",2,
360-2-14413,Brass Sextet,Passacaglia and Scherzo,Ostransky,,"Rubank, Inc.",2,
360-2-14414,Brass Sextet,Suite for Brass Sextet,Ostransky,,"Rubank, Inc.",2,
360-2-14415,Brass Sextet,"Exaltabo Te, Domine",Palestrina,Wise,"Western International Music, Inc.",2,
360-2-14417,Brass Sextet,Trumpet Tune and Air,Purcell,Brown,"Rubank, Inc.",2,
360-2-14416,Brass Sextet,Fantasia on One Note,Purcell,Maganini,"Edition Musicus-New York, Inc.",2,
360-2-14418,Brass Sextet,Marche Petite,Walker,,C.L. Barnhouse Company,2,
360-3-14420,Brass Sextet,Four Chorales for Brass Sextet,Bach,Johnson,"Rubank, Inc.",3,(play all)
360-3-14419,Brass Sextet,Contrasts by Bach,Bach,Ostling,"Belwin, Inc",3,(play one mvt)
360-3-14421,Brass Sextet,"Wake, Awake, A Voice is Calling",Bach,Findlay,"Cundy-Bettoney Company, Inc. [The Junior Brass Choir]",3,
360-3-14422,Brass Sextet,Joy of Thy Salvation,Brahms,Wise,Pro-Art Publications,3,
360-3-14423,Brass Sextet,Marche Romaine,Gounod,Ostling,"Belwin, Inc",3,
360-3-14424,Brass Sextet,Three Marches of American Revolutionary Days,Anon. or Trad.,Hodgson,Concord Music Publishing Company,3,
360-3-14425,Brass Sextet,Tone Sketch,Johnson,,"Rubank, Inc.",3,
360-3-14426,Brass Sextet,Woodland Sketches,McDowell,Johnson,"Rubank, Inc.",3,(play one mvt)
360-3-14427,Brass Sextet,Nocturno (from A Midsummer Night's Dream),Mendelssohn,Findlay,"Cundy-Bettoney Company, Inc. [The Junior Brass Choir]",3,
360-3-14428,Brass Sextet,Two Western Songs,Milford,,Great Works Publishing,3,
360-3-14429,Brass Sextet,Four Pieces for Brass Sextet,Simon,Voxman,"Rubank, Inc.",3,(play mvt 2 or 4)
360-3-14430,Brass Sextet,Prayer,Wagner,Trinkhaus,Witmark & Sons,3,
360-1-26709,Brass Sextet,Five for Six,Jan Pavel,,"Alliance Publications, Inc.",1,"(play mvts 1, 3, 5 & 2 or 4)"
360-2-26710,Brass Sextet,Two Civil War Songs,Hall,,Great Works Publishing,2,
360-1-29620,Brass Sextet,Diversions for Brass Sextet,White,,Ludwig Music Publishing Company,1,"(play 1 & 2 or 2 & 3) (2 tpt, hrn, 2 tbn, tba)"
360-1-29951,Brass Sextet,Three Movements for Brass Sextet,Wilborn,,Grand Mesa Music Publishers,1,(play mvts 1 & 3)
360-2-29952,Brass Sextet,Three Movements for Brass Sextet,Wilborn,,Grand Mesa Music Publishers,2,(play mvt 2 & one other mvt)
360-3-29953,Brass Sextet,Three Movements for Brass Sextet,Wilborn,,Grand Mesa Music Publishers,3,(play mvt 2 only)
360-2-36119,Brass Sextet,Brass Escapades,Langenfeld,,JPM Music Publications,2,(any published combination)
360-1-38666,Brass Sextet,The Damnation of Faust Hungarian March,Berlioz,Steber,MKT Music Publications,1,"(2 tpt, hn, trb, euph, tuba)"
360-2-38667,Brass Sextet,Beati quorum via,Stanford,Chidester,www.trumpetensemblemusic.com,2,"(2 tpt, hn, trb, euph, tuba)"
360-1-40028,Brass Sextet,Pas Redouble,Saint-Saens,Patterson,Merlin Patterson Music,1,
