Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
334-1-13592,Brass Trio,"Fanfare, Gigue and March",Barker,,"Kendor Music, Inc.",1,"(tpt, tpt or hn, tbn)"
334-1-13595,Brass Trio,Three Chorale Preludes,Brahms,Frackenpohl,"Kendor Music, Inc.",1,"(play mvt 1 & 2 or 1 & 3) (tpt, hn, tbn or eup)"
334-1-13596,Brass Trio,Sonata da Chiesa Op. 1 No. 3,Corelli,Wojcik,Neil A. Kjos Music Company,1,"(play mvts 1, 2, & 4 or 2, 3, & 4) (tpt, hn, tbn)"
334-1-13597,Brass Trio,Two Fantasias,Gibbons,Rosenthal,"Western International Music, Inc.",1,"(2 tpt, tbn)"
334-1-13598,Brass Trio,Suite for Brass Trio,Handel,Rosenthal,"Western International Music, Inc.",1,"(play mvt 3, plus two other mvts)"
334-1-13599,Brass Trio,Tower Music,Israel,,Theodore Presser Company,1,"(2 eup, tba)"
334-1-13601,Brass Trio,Sonata No. 4,Pergolesi,Schmidt/Rosenthal,"Western International Music, Inc.",1,"(tpt, hn, bass tbn) (play all)"
334-1-13602,Brass Trio,Sonata,Poulenc,,"J&W Chester, Ltd.",1,"(tpt, hn, tbn)"
334-1-13604,Brass Trio,Sonata,Scarlatti,Schmidt,"Western International Music, Inc.",1,"(2 tpt, tbn)"
334-1-13605,Brass Trio,Chamber Music for Three Brass and Piano,Schmidt,,"Western International Music, Inc.",1,"(tpt, hn, tbn)"
334-1-13606,Brass Trio,Sonatina,Schmidt,,"Western International Music, Inc.",1,"(hn, tbn, tba)"
334-1-13608,Brass Trio,Dance Suite,Snyder,,"Western International Music, Inc.",1,"(tpt, hn, bass tbn)"
334-1-13609,Brass Trio,Triangles,Uber,,"Kendor Music, Inc.",1,"(play mvts 1 & 2 or 2 & 3) (tpt, hn, tbn)"
334-2-13611,Brass Trio,Ode to Joy,Beethoven,Conley,"Kendor Music, Inc.",2,"(tpt, hn, tbn)"
334-2-13613,Brass Trio,The Earl of Oxford's Marche,Byrd,Dishinger,Medici Music Press,2,"(2 tpt, tbn)"
334-2-13614,Brass Trio,Miniatures,Coe,,Oxford University Press,2,"(tpt, hn, tbn)"
334-2-13617,Brass Trio,Motet: Cantate Domino,di Lasso,Schmidt,"Western International Music, Inc.",2,"(tpt, hn, tbn; or 2 eup & tba)"
334-2-13618,Brass Trio,Little Suite,Donahue,,"JTL Publications, G. Scott Music Publishing Co.",2,"(tpt, hn, tbn)"
334-2-13619,Brass Trio,Two Fantasias,Gibbons,Rosenthal,"Western International Music, Inc.",2,"(play either) (2 tpt, tbn)"
334-2-13621,Brass Trio,Suite for Brass Trio,Handel,Frackenpohl,"Kendor Music, Inc.",2,"(tpt, hn or tpt, tbn)"
334-2-13622,Brass Trio,Fantasy No. II,Hovhaness,,C.F. Peters Corporation,2,"(tpt, hn, tbn)"
334-2-13623,Brass Trio,Scherzo and Trio,Kaplan,,Medici Music Press,2,"(tpt, hn, tbn)"
334-2-13627,Brass Trio,Intrada and Laudabo Nomen Dei,Schwadron,,"Western International Music, Inc.",2,"(tpt, hn, tbn or eup)"
334-3-13628,Brass Trio,Allein Gott In Der Hoh' Sei Ehr',Armsdorf,French,Southern Music Company,3,"(tpt, hn or tpt, tbn or eup or hn)"
334-3-13629,Brass Trio,Menuet in G (from Anna Magdalena Bach Notebook),Bach,Dishinger,Medici Music Press,3,"(tpt, hn, tbn)"
334-3-13630,Brass Trio,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,3,"(tpt, hn, tbn)"
334-3-13631,Brass Trio,Three Pieces,Lester,,"JTL Publications, G. Scott Music Publishing Co.",3,"(2 tpt, tbn)"
334-3-13632,Brass Trio,"Rigaudon (from Pieces de Clavecin, 1724)",Rameau,Dishinger,Medici Music Press,3,"(tpt, hn, tbn)"
334-1-29611,Brass Trio,Fugue #3 in C BWV 848,Bach,Dishinger,Medici Music Press,1,"(tpt, hn, tbn)"
334-1-29612,Brass Trio,Fughetta (from Prelude and Fughetta BWV 900),Bach,Dishinger,Medici Music Press,1,"(tpt, hn, tbn)"
334-1-29613,Brass Trio,Fugue (from Sonata in C BWV 966),Bach,Dishinger,Medici Music Press,1,"(tpt, hn, tbn)"
334-2-29614,Brass Trio,"Ich ruf' zu dir, Heer Jesu Christ 639",Bach,Dishinger,Medici Music Press,2,"(tpt, hn, tbn)"
