Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
470-1-17814,Cello Choir,Brandenburg Concerto No. 6,Bach,,Simrock,1,QUINTET
470-1-17816,Cello Choir,Fugue for Six Cellos,Bunting,,Oxford University Press,1,SEXTET
470-1-17818,Cello Choir,Six Canciones Populares Espanolas,De Falla,Kunzelmann,C.F. Peters Corporation,1,SEXTET (play one)
470-1-17819,Cello Choir,Silent Woods Op. 68,Dvorak,,Simrock,1,QUINTET
470-1-17820,Cello Choir,Libera Me,Faure,Mooney,National Cello Institute,1,NONET
470-1-17821,Cello Choir,Pie Jesu,Faure,Mooney,National Cello Institute,1,NONET
470-1-17824,Cello Choir,Holberg Suite,Grieg,Kunzelmann,Luck's Music Library,1,SEXTET (play one)
470-1-17830,Cello Choir,The Old Castle,Moussorgsky,Mooney,National Cello Institute,1,SEXTET
470-1-17831,Cello Choir,Adagio for five Celli K. 411,Mozart,Conable,Latham Music Enterprises,1,QUINTET
470-2-17842,Cello Choir,Three Bach Cello Transcriptions,Bach,Mathews,Ludwig Music Publishing Company [Three Bach Cello Transcriptions],2,"QUINTET (play Sicut Locutus Est OR Jesu, Joy of Man's Desiring)"
470-2-17843,Cello Choir,"Minuet, No. 3",Boccherini,,Stainer & Bell,2,QUINTET
470-3-17861,Cello Choir,Three Bach Cello Transcriptions,Bach,Mathews,Ludwig Music Publishing Company [Three Bach Cello Transcriptions],3,QUINTET (play Minuet No. 1)
470-1-28720,Cello Choir,Hoy Mondongo,O'Brien,,Latham Music Enterprises,1,SEXTET
470-1-39655,Cello Choir,Sarabande from Holberg Suite,Grieg,Berdine,Latham Music Enterprises,1,QUINTET
