Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
275-1-12208,Clarinet Choir,Suite Number One,Harmon,,"Western International Music, Inc.",1,"(3 b-flat cl, alto cl, bass cl)"
275-2-12240,Clarinet Choir,Fugue No. 10,Bach,Dishinger,Medici Music Press,2,"(4 cl, bass cl)"
275-2-12245,Clarinet Choir,Two Spanish Renaissance Works,Anon. or Trad.,Dishinger,Medici Music Press,2,"(4 cl, bass cl)"
275-3-12270,Clarinet Choir,Fugue in d minor,Bach,Dishinger,Medici Music Press,3,"(4 cl, bass cl)"
275-3-12277,Clarinet Choir,Two Spanish Renaissance Works,Anon. or Trad.,Dishinger,Medici Music Press,3,"(4 b-flat cl, bass cl) (play one mvt)"
275-1-12342,Clarinet Choir,Allegro (from Concerto No. 1 in c minor),Bach,Schmidt/Davis,"Western International Music, Inc.",1,"(4 b-flat cl, alto cl, bass cl)"
275-1-12343,Clarinet Choir,Praeludium,Buxtehude,Heim,"Western International Music, Inc.",1,"(3 b-flat cl, alto cl, bass cl, Eb or b-flat contrabass cl)"
275-1-12344,Clarinet Choir,Church Sonata,Corelli,Thornton,Southern Music Company,1,"(play three mvts) (3 b-flat clarinets - divisi, alto, bass, Eb contrabass) (Printed score instrumentation must be followed)"
275-1-12345,Clarinet Choir,"Slavonic Dance, Op. 46, No. 1",Dvorak,Scott,RBC Publications,1,"(Eb cl (opt), 4 b-flat cl, Eb alto cl (subsitute for cl 4), Bb bass cl, Eb or Bb contrabass cl)"
275-1-12346,Clarinet Choir,Pavanne Op. 50,Faure,Lester,"JTL Publications, G. Scott Music Publishing Co.",1,"(6 b-flat cl, alto cl, 2 bass cl, b-flat or Eb contrabass cl)"
275-1-12347,Clarinet Choir,Prelude and Allegro,Frackenpohl,,Shawnee Press,1,"(Eb cl, 3 b-flat cl, alto cl, Eb contralto cl, bass cl, b-flat contrabass cl)"
275-1-12348,Clarinet Choir,Sarabande and Allegro,Handel,Voxman,"Rubank, Inc.",1,"(4 b-flat cl, b-flat bass cl; or 3 b-flat cl, alto cl, bass cl)"
275-1-12349,Clarinet Choir,Divertimento No. 1,Haydn,Hindsley,Southern Music Company,1,"(5 b-flat cl, 2 bass cl, Eb or b-flat contrabass cl)"
275-1-12350,Clarinet Choir,Suite for Clarinet Choir,Hutchison,,"Kendor Music, Inc.",1,"(play mvts 1 & 3) (3 b-flat cl, alto cl, bass cl, Eb contabass cl)"
275-1-12351,Clarinet Choir,Sextet for Clarinets,Hyman,,Eastlake Music,1,"(3 b-flat cl, bass cl or alto cl, b-flat contrabass cl)"
275-1-12352,Clarinet Choir,Elegy and Dance,Karel,,"LeBlanc Publications, Inc.",1,"(Eb cl, 8 b-flat cl, 2 alto cl, 2 b-flat bass cl, Eb contralto cl, b-flat contrabass cl)"
275-1-12353,Clarinet Choir,Now Thank We All Our God,Karg-Elert,Heim,"Kendor Music, Inc.",1,"(Eb cl, 6 b-flat cl, 2 alto cl, bass cl, Eb contralto cl (opt))"
