Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
207-2-37137,Bb Clarinet Solo,"Baermann Etude (Opus 63, No. 22)",Baermann,Gee,"Kendor Music, Inc.",2,
207-2-37135,Bb Clarinet Solo,"Rondo from the Pathetique Sonata (Themes from Movement III, No. I, Op. 13)",Beethoven,Yasinitsky,"Kendor Music, Inc.",2,
207-2-37136,Bb Clarinet Solo,"Adagio from the Pathetique Sonata (Themes from Movement II, No. 8, Op. 13)",Beethoven,Yasinitsky,"Kendor Music, Inc.",2,
207-1-32249,Bb Clarinet Solo,Three Pieces for Clarinet and Piano,D'Rivera,,"Boosey & Hawkes, Inc.",1,(play any two)
206-2-10705,Eb Clarinet Solo,Adagio and Allegro,Handel,Gee/Rousseau,Southern Music Company;Wingert/Jones,2,
206-2-10707,Eb Clarinet Solo,Scene Sylvan,Johnson,,"Rubank, Inc.",2,
206-2-10708,Eb Clarinet Solo,Andante and Allegro,Marcello,Voxman,"Rubank, Inc.",2,
206-2-10709,Eb Clarinet Solo,Adagio,Mozart,Harris,"Cundy-Bettoney Company, Inc.",2,
206-2-10710,Eb Clarinet Solo,Solo (from String Quartet),Mozart,Willaman,Jack Spratt Music Publishers,2,
206-2-10711,Eb Clarinet Solo,Hoedown,Reed,,Piedmont,2,
206-2-10712,Eb Clarinet Solo,March Variations,Reed,,Piedmont,2,
206-2-10713,Eb Clarinet Solo,Allegro Spiritoso,Senaille,Gee,Southern Music Company,2,
206-2-10714,Eb Clarinet Solo,Canzonetta,Tchaikovsky,Cailliet,Southern Music Company,2,
206-2-10715,Eb Clarinet Solo,Melancholy,Whitney,,Jack Spratt Music Publishers,2,
206-3-10716,Eb Clarinet Solo,Arioso (from Cantata No. 156),Bach,Kent,"Carl Fischer, Inc.",3,
206-3-10717,Eb Clarinet Solo,Arietta and Scherzo,Koepke,,"Rubank, Inc.",3,
206-3-10718,Eb Clarinet Solo,Aria,Neukomm,Kaplan,Jack Spratt Music Publishers,3,
206-3-10719,Eb Clarinet Solo,Eight bel Canto Songs,Phillips,,Shawnee Press,3,(play one)
206-1-10702,Eb Clarinet Solo,"Long Long Ago, Fantasie Op.12",Ritter,Shanley,Southern Music Company,1,
207-1-10722,Bb Clarinet Solo,Sonatina,Arnold,,Lengnick,1,(play any two mvts)
207-1-32248,Bb Clarinet Solo,Premiere Sonate in c minor,Devienne,,Edition Lemoine,1,(play one mvt)
207-1-10727,Bb Clarinet Solo,Sonata,Bernstein,,"Witmark & Sons;Boosey & Hawkes, Inc.",1,(play any mvt)
207-1-32247,Bb Clarinet Solo,Deuxieme Sonate in Eb,Devienne,,Leduc;Editiones Musicales TransAtlantiques,1,(play one mvt)
207-1-10729,Bb Clarinet Solo,Fantasie Italienne,Bozza,,Alphonse Leduc,1,
207-1-10730,Bb Clarinet Solo,First Sonata Op. 120 No. 1,Brahms,Simon,"G. Schirmer, Inc. [Masterworks for Clarinet and Piano];Southern Music Company;Carl Fischer, Inc.",1,"(play mvt 1 or any two mvts from 2, 3 or 4)"
207-1-32246,Bb Clarinet Solo,Fantasie Italienne,Delmas,,Gerard Billaudot Edition,1,
207-1-10732,Bb Clarinet Solo,Adagio/Tarantella,Cavallini,Armato/Giamperi,"Carl Fischer, Inc. [Recital Clarinetist];Southern Music Company;Ricordi & Company, Inc.",1,
207-1-10733,Bb Clarinet Solo,Festival Solo,Collis,,"Boosey & Hawkes, Inc.",1,
207-1-10734,Bb Clarinet Solo,Melodie et Scherzetto Op. 68,Coquard,Bonade,Southern Music Company [Sixteen Grand Solos de Concert],1,
207-1-32245,Bb Clarinet Solo,Pastorale Cevenole,Cahuzac,,Gerard Billaudot Edition,1,
207-1-10739,Bb Clarinet Solo,Concerto in Bb Op. 11 No. 3,Crusell,Balassa/Weston/Hite/Knox,Universal Editions;Southern Music Company,1,(play mvt 1 or 3)
207-1-10738,Bb Clarinet Solo,Concerto in f minor Op. 5,Crusell,Michaels/Weston,Sikorski;Universal Editions,1,(play mvt 1 or 3)
207-1-10740,Bb Clarinet Solo,Sonate in Bb,Danzi,Balassa,Schott Company,1,(play mvt 1 or 3)
207-1-10741,Bb Clarinet Solo,Premiere Rhapsodie,Debussy,,"Durand;Southern Music Company;G. Henle Verlag/USA, Inc.",1,(play all) NMR:(play all)
207-1-32244,Bb Clarinet Solo,Arlequin,Cahuzac,,Gerard Billaudot Edition,1,(unaccomp)
207-1-10743,Bb Clarinet Solo,Seven Pieces for Solo clarinet,Doran,,"Western International Music, Inc.",1,(play four mvts)
207-1-10744,Bb Clarinet Solo,Selanka,Fibich,,Ludwig Music Publishing Company,1,(Pastorale)
207-1-10745,Bb Clarinet Solo,Five Bagatelles,Finzi,,"Boosey & Hawkes, Inc.",1,(play two mvts including either mvt 1 or mvt 5)
207-1-32243,Bb Clarinet Solo,Suite for Solo Clarinet in D Op. 37a,Busch,,Amadeus Verlag,1,"(unaccomp)(play mvt 2, 3 or 4)"
207-1-10748,Bb Clarinet Solo,Sarabande et Allegro,Grovlez,,Alphonse Leduc,1,
207-1-32242,Bb Clarinet Solo,Duo Op. 15 in Eb Major,Burgmuller,Lebermann,Schott Company,1,
207-1-10750,Bb Clarinet Solo,Sonata,Hindemith,,Schott Company,1,(play any two mvts) NMR:(play all)
207-1-10751,Bb Clarinet Solo,Concerto in Bb,Hoffmeister,Copland,Schott Company,1,(play mvt 1)
207-1-10752,Bb Clarinet Solo,Andantino,Jeanjean,Bonade,Southern Music Company [Sixteen Grand Solos de Concert],1,
207-1-10755,Bb Clarinet Solo,Scherzo Brilliante,Jeanjean,Bonade,Southern Music Company [Sixteen Grand Solos de Concert],1,(also pub separately)
207-1-10753,Bb Clarinet Solo,Arabesques,Jeanjean,,"Alfred Music Company, Inc.",1,
207-1-10756,Bb Clarinet Solo,Concerto in Eb,Krommer,Portnoy,Southern Music Company,1,(play mvt 1 or 3)
207-1-10757,Bb Clarinet Solo,Andante and Allegro Op. 102,LeFevre,Cailliet,Southern Music Company,1,(play one mvt)
207-1-10758,Bb Clarinet Solo,Fantaisie Caprice Op. 118,LeFevre,Bonade,Southern Music Company,1,(also pub separately)
207-1-10760,Bb Clarinet Solo,Sonata I,LeFevre,Dobree,Schott Company,1,(play all)
207-1-10761,Bb Clarinet Solo,Dance Preludes,Lutoslawski,,"J&W Chester, Ltd.",1,"(play mvts 1, 2, 3 or play mvts 3, 4, 5) NMR:(play all)"
207-1-10762,Bb Clarinet Solo,First Fantaisie,Marty,Bonade,Southern Music Company [Sixteen Grand Solos de Concert],1,(also pub separately)
207-1-32241,Bb Clarinet Solo,Bucolique,Bozza,,Leduc,1,
207-1-10765,Bb Clarinet Solo,Sonatine,Milhaud,,Durand,1,(play any two mvts) NMR:(play any two mvts)
207-1-10766,Bb Clarinet Solo,Solo de Concours,Moquet,Armato,"Carl Fischer, Inc. [Recital Clarinetist];Alphonse Leduc",1,
207-1-10767,Bb Clarinet Solo,Concerto in Bb K. 622,Mozart,,"Boosey & Hawkes, Inc.;Cundy-Bettoney Company, Inc.;G. Schirmer, Inc.;Southern Music Company",1,(play any mvt on Bb or A clarinet)
207-1-10768,Bb Clarinet Solo,Rhapsody for Clarinet,Osborne,,C.F. Peters Corporation,1,(unaccomp)
207-1-10769,Bb Clarinet Solo,Canzonetta Op. 19,Pierne,Bonade,Southern Music Company [Sixteen Grand Solos de Concert],1,(also pub separately)
207-1-10770,Bb Clarinet Solo,Sonata,Poulenc,,"J&W Chester, Ltd.;Hal Leonard Music, Inc.",1,(play mvt 1 or 3)
207-1-32240,Bb Clarinet Solo,Lied,Berio,,Universal Editions,1,(unaccomp)
207-1-10772,Bb Clarinet Solo,Petite Piece,Quet,,Southern Music Company,1,
207-1-10773,Bb Clarinet Solo,Solo de Concours,Rabaud,Armato/Dahm,"Carl Fischer, Inc. [Recital Clarinetist];Edition Musicus-New York, Inc.;Alphonse Leduc",1,
207-1-32239,Bb Clarinet Solo,Concertino,Bencriscutto,,Neil A. Kjos Music Company,1,
207-1-10777,Bb Clarinet Solo,"Long Long Ago, Fantasie Op. 12",Ritter,Shanley,Southern Music Company,1,
207-1-10778,Bb Clarinet Solo,"Introduction, Theme and Variations",Rossini,Hite/Glazer,Oxford University Press;Southern Music Company,1,(play all) NMR:(play all)
207-1-10780,Bb Clarinet Solo,Sonatina Op. 27,Rozsa,,Rongwen Bros. Music Company,1,(play any one mvt)(unaccomp) NMR:(play any one mvt)
207-1-10781,Bb Clarinet Solo,Sonata Op. 167,Saint-Saens,,Durand;Excelcia,1,(play two mvts including either mvts 1 or 4)
207-1-10783,Bb Clarinet Solo,Fantasy Pieces Op. 73,Schumann,Simon/Armato/UrText,"G. Schirmer, Inc. [Masterworks for Clarinet and Piano];Carl Fischer, Inc. [Recital Clarinetist];G. Henle Verlag/USA, Inc.",1,(play two mvts)
207-1-10784,Bb Clarinet Solo,Five Pieces,Smith,,European American,1,(play any two mvts or mvt 5 alone) (unaccomp) NMR:(play any two mvts or mvt 5 alone)
207-2-10785,Bb Clarinet Solo,Adagio (from Concerto I Op. 26),Spohr,Christmann,"G. Schirmer, Inc. [Solos for the Clarinet Player]",2,
207-1-10786,Bb Clarinet Solo,Fantasy and Variations,Spohr,Glazer,Southern Music Company,1,
207-1-10787,Bb Clarinet Solo,Concerto No. 3 in Bb,"Stamitz, C",Wojciechowski,C.F. Peters Corporation,1,(play mvt 1 or 3)
207-1-10788,Bb Clarinet Solo,Clarinet Concerto in Bb Major,"Stamitz, J",Smith,Schott Company,1,(play mvt 1 or 3)
207-1-10789,Bb Clarinet Solo,Concerto in Bb Major,"Stamitz, J",Gradenwitz,Music Corporation of America,1,(play mvt 1 or 3)
207-1-10790,Bb Clarinet Solo,Concerto in Eb,"Stamitz, C",Christmann,"G. Schirmer, Inc.",1,(play mvt 1)
207-1-10791,Bb Clarinet Solo,Concerto in Fa Maggiore,"Stamitz, C",Nagy,Editio Musica Budapest,1,(play mvt 1 or 3)
207-1-10792,Bb Clarinet Solo,Three Intermezzi,Stanford,,"J&W Chester, Ltd.",1,(play two mvts)
207-1-10793,Bb Clarinet Solo,Elegy,Starer,,"Hal Leonard Music, Inc.",1,
