Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
210-1-11060,Contra Bass Clarinet Solo,Lamento,Bassi,,"Rubank, Inc.",1,(Bb Contra-bass)
210-1-11061,Contra Bass Clarinet Solo,Darkwood,Bennett,,"Carl Fischer, Inc.",1,(Eb Contra-alto))
210-1-11062,Contra Bass Clarinet Solo,Deepwood,Bennett,,"Carl Fischer, Inc.",1,(Bb Contra-bass)
210-1-11064,Contra Bass Clarinet Solo,Punchinello,Hermann,,"Educational Music Service, Inc.",1,(Bb Contra-bass)
210-1-11065,Contra Bass Clarinet Solo,Mood of the Hills,Kesnar,,"Cundy-Bettoney Company, Inc.",1,(Eb Contra-alto)
210-1-11067,Contra Bass Clarinet Solo,Afro,Reed,,Piedmont,1,(Eb or b-flat)
210-1-11068,Contra Bass Clarinet Solo,Scherzo Fantastique,Reed,,Piedmont,1,(Eb Contra-alto or Bb Contra-bass)
210-1-11069,Contra Bass Clarinet Solo,"Long Long Ago, Fantasie Op. 12",Ritter,Shanley,Southern Music Company,1,(Eb Contra-alto or Bb Contra-bass)
210-1-11070,Contra Bass Clarinet Solo,Sonatina,Schmidt,,"Western International Music, Inc.",1,(Eb Contra-alto)
210-2-11072,Contra Bass Clarinet Solo,Largo and Allegro,Boni,Voxman,"Rubank, Inc.",2,"(b-flat, for bass clarinet)"
210-2-11073,Contra Bass Clarinet Solo,Contrasts,Johnson,Woody,"Rubank, Inc.",2,"(b-flat, for bass clarinet)"
210-2-11074,Contra Bass Clarinet Solo,A Clown Festival,Kesnar,,"Cundy-Bettoney Company, Inc.",2,"(b-flat, for bass clarinet)"
210-2-11075,Contra Bass Clarinet Solo,Sonata in a minor,Marcello,Hite,Southern Music Company,2,(play mvt 1 or mvts 2 & 3)
210-2-11076,Contra Bass Clarinet Solo,Nocturne and Burlesca,Parris,,Henri Elkan,2,"(b-flat, for bass clarinet)"
210-2-11077,Contra Bass Clarinet Solo,Arietta,Presser,,Theodore Presser Company,2,"(Eb, for alto clarinet)"
210-2-11078,Contra Bass Clarinet Solo,Reverie,Skolnik,,Theodore Presser Company,2,"(Eb, for alto clarinet)"
210-2-11079,Contra Bass Clarinet Solo,A Waltz Dream,Strauss,Harris,Ludwig Music Publishing Company,2,"(Eb, for alto clarinet or b-flat for bass clarinet)"
210-3-11080,Contra Bass Clarinet Solo,Gavotte in Rondeau,Lully,Post,Medici Music Press,3,"(b-flat, for bass clarinet)"
210-1-32332,Contra Bass Clarinet Solo,Clef,Sciotino,,Gerard Billaudot Edition,1,(unaccomp)
210-1-32333,Contra Bass Clarinet Solo,Ombra,Donatoni,,"Ricordi & Company, Inc.",1,(unaccomp)(play Ombra II)
210-1-32334,Contra Bass Clarinet Solo,"Anubis, Nout",Grisey,,"Ricordi & Company, Inc.;Zinfonia Music Publishing",1,(unaccomp)(play either piece)
210-1-32335,Contra Bass Clarinet Solo,Twist,Brophy,,Australian Music Centre,1,(unaccomp)
210-1-37170,Contra Bass Clarinet Solo,Suite No.1,Haspiel,,JPM Music Publications,1,
210-2-37171,Contra Bass Clarinet Solo,Elegia,Bottesini,Johnson,ALRY Publications,2,
210-2-37172,Contra Bass Clarinet Solo,Deep in the Forest,Pappas,,JPM Music Publications,2,
210-2-37173,Contra Bass Clarinet Solo,Round Dance,Pappas,,JPM Music Publications,2,
210-3-37174,Contra Bass Clarinet Solo,Cantilena And Rigadoon,Schudel,,ALRY Publications,3,
210-3-37175,Contra Bass Clarinet Solo,At Sunset,Haspiel,,JPM Music Publications,3,
