Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
272-1-12197,Double Reed Ensemble,Trio for Two Oboes and English Horn Op. 87,Beethoven,Andraud,Southern Music Company,1,TRIO (original version) (play two mvts)
272-1-35582,Double Reed Ensemble,Overture to “Berenice”,Handel,Gregory,JW Pepper,1,"QUARTET (2 ob, 2 bsn) (play Andante and Allegro)"
272-1-35580,Double Reed Ensemble,Time is Vicious (if you take it for granted),Miller,,Jeanne Inc.,1,"TRIO (ob, EH, bsn)"
272-1-35581,Double Reed Ensemble,O Praise the Lord with One Consent from Chandos Anthem #9,Handel,Gregory,JW Pepper,1,"QUARTET (2 ob, 2 bsn)"
272-1-35577,Double Reed Ensemble,Variation über “La ci darem la mano”,Beethoven,Stein,"Breitkopf & Hartel, Sales Department",1,"TRIO (2 ob, EH) (play Theme, two variations and Coda)"
272-1-35578,Double Reed Ensemble,"Introduction, Blues and Finale",Byrne,,Hinrichsen Edition,1,OBOE TRIO
272-1-35579,Double Reed Ensemble,Pergolesi Suite,Pergolesi,Oelrich,Jean Oelrich,1,"TRIO (2 ob, EH) (play two contrasting movements)"
272-1-12215,Double Reed Ensemble,Two Pieces,Jacob,,Stainer & Bell,1,"TRIO (2 ob, EH)"
272-1-12218,Double Reed Ensemble,Idylls of Four Goblins,Maxwell,,"Western International Music, Inc.",1,BASSOON QUARTET (play two mvts)
272-1-12226,Double Reed Ensemble,Humorous Scherzo for Four Bassoons,Prokofiev,,Jack Spratt Music Publishers,1,BASSOON QUARTET
272-1-12228,Double Reed Ensemble,Gavotte and Hornpipe,Purcell,Dishinger,Medici Music Press,1,BASSOON TRIO
272-1-12238,Double Reed Ensemble,Four Marches (from the American Revolution),Anon. or Trad.,Weait,McGinnis & Marx,1,"(play Colonel March & United States March; or play General Washington's March & General Wayne's March) (2 ob, 2 bsn)"
272-2-12259,Double Reed Ensemble,Gavotte in Rondeau,Lully,Post,Medici Music Press,2,BASSOON TRIO
272-2-12262,Double Reed Ensemble,Oboe Duets and Trios,Anon. or Trad.,McCarty,Southern Music Company,2,TRIO (play two trios) (any published combination)
272-2-12266,Double Reed Ensemble,Gavotte,Purcell,Vedeski,Medici Music Press,2,BASSOON QUARTET
272-2-12269,Double Reed Ensemble,Two Choruses,Schubert,Voxman,Southern Music Company,2,BASSOON QUARTET (play either)
272-3-12271,Double Reed Ensemble,Menuet in G,Bach,Dishinger,Medici Music Press,3,BASSOON QUARTET
272-3-12279,Double Reed Ensemble,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,3,BASSOON TRIO
272-3-12283,Double Reed Ensemble,Oboe Duets and Trios,Anon. or Trad.,McCarty,Southern Music Company,3,TRIO (play one trio) (any published combination)
272-3-12288,Double Reed Ensemble,Suite of Canzonets,Rossi,Voxman/Block,Southern Music Company,3,BASSOON TRIO (play two)
272-3-12289,Double Reed Ensemble,Four Allemandes,Schop,Voxman/Block,Southern Music Company,3,BASSOON TRIO (play two)
272-1-34214,Double Reed Ensemble,Resting,Morris,,Sandscape Publications,1,"BASSOON QUINTET (4 Bassoon, Contra Bassoon)"
272-1-34215,Double Reed Ensemble,Winter Cheer,Morris,,Sandscape Publications,1,"BASSOON QUINTET (4 Bassoon, Contra Bassoon)"
272-1-34213,Double Reed Ensemble,Prelude to a New Day,Morris,,Sandscape Publications,1,"BASSOON QUINTET (4 Bassoon, Contra Bassoon)"
272-1-35573,Double Reed Ensemble,Trio in g minor,Vivaldi,Hawkins,Bocal Music,1,"TRIO (2 ob, EH) (play two contrasting movements)"
272-1-35574,Double Reed Ensemble,Six Miniatures for Double Reed Trio,Danson,,"Broadbent & Dunn, Ltd",1,"TRIO (ob, EH, bsn) (play two contrasting movements)"
272-1-35575,Double Reed Ensemble,Variationen über ein Volkslied “Volksliedvariationen” (Folk Song Variations),Hadamowsky,,Musikverlag Doblinger Publishing,1,"TRIO (2 ob, EH) (play 1 mvt)"
272-1-35576,Double Reed Ensemble,Trio F Dur,Kramar-Krommer,,Editio Supraphon,1,"TRIO (2 ob, EH) (play two contrasting movements)"
272-1-35583,Double Reed Ensemble,Overture to “Hercules”,Handel,Gregory,JW Pepper,1,"QUARTET (2 ob, 2 bsn) (play Andante and Allegro)"
272-3-26538,Double Reed Ensemble,Almirena's Aria (Lascia ch'io pianga),Handel,Schmidt,"Western International Music, Inc.",3,BASSOON QUARTET
272-1-35571,Double Reed Ensemble,Fifteen Three-Part Inventions,Bach,Hawkins,Bocal Music,1,"TRIO (ob, EH, bsn) (play one invention)"
272-1-26552,Double Reed Ensemble,March (from The Love of Three Oranges),Prokofiev,Schmidt,"Western International Music, Inc.",1,"QUINTET (2 ob, EH, 2 bsn)"
272-1-28006,Double Reed Ensemble,Shepherd's Hey,Grainger,Schmidt,"Western International Music, Inc.",1,"QUINTET (2 ob, EH, 2 bsn)"
272-1-31401,Double Reed Ensemble,Little Fugue,"Bach, J.S.",Marlatt,Eight Note Publications,1,"QUARTET (2 ob, EH, bsn)"
272-1-34216,Double Reed Ensemble,Carols from the Old World,Musella,,RBC Publications,1,"QUINTET (2 ob, EH, 2 bsn) (opt perc)"
272-1-34458,Double Reed Ensemble,"Fugue in G minor, BWV. 578",Bach,Rath,BRS Music,1,"QUINTET (2 ob, EH, 2 bsn)"
272-1-34461,Double Reed Ensemble,Overture to the Barber of Seville,Rossini,Rath,BRS Music,1,"QUINTET (2 ob, EH, 2 bsn)"
272-1-34463,Double Reed Ensemble,Schwing Schweet,Bednarik,,Karthause Schmülling Verlag Gmbh,1,"TRIO (ob, ob, EH) (play one mvt)"
272-1-34569,Double Reed Ensemble,Triumvirate,Morris,,Sandscape Publications,1,"TRIO (ob, ob, bsn)"
272-2-35614,Double Reed Ensemble,Double Reed Party,Grethen,,Accolade,2,"QUARTET (2 ob, EH, bsn) (play 2nd mvt AND one more)"
272-1-34618,Double Reed Ensemble,Trio op. 87 for Bassoon Trio,Beethoven,Rogers,Southern Music Company,1,BASSOON TRIO (play mvts 1 & 4 OR 2 & 3)
