Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
504-2-14968,Drum Set Solo,Chop City,Keezer,,"Kendor Music, Inc.",2,
504-1-14979,Drum Set Solo,Downside-Up,Stephans,,Stu4,1,
504-1-14983,Drum Set Solo,Chrysoprase IV,Weinberg,,Southern Music Company,1,
504-1-26101,Drum Set Solo,Raghavan,Hartenberger,,Honey Rock [Nexus Portfolio for Snare Drum],1,(play all) NMR:(play all)
504-1-30926,Drum Set Solo,Modern Jazz Solo for Drum Set,Various,Thompson,"Kendor Music, Inc. [Modern Jazz Solos for Drum Set]",1,(play two)
504-1-30929,Drum Set Solo,Afro-Cuban Crisis for Drum Set,Ukena,,PEL Music Publication,1,
504-2-30931,Drum Set Solo,Festival Repertoire for Drum Set,Houllif,,"Kendor Music, Inc. [Festival Repertoire for Drum Set]",2,(play one)
504-2-30932,Drum Set Solo,Modern Jazz Solo for Drum Set,Various,Thompson,"Kendor Music, Inc. [Modern Jazz Solos for Drum Set]",2,(play one)
504-3-32741,Drum Set Solo,Let's Go,Keezer,,Really Good Music,3,
504-1-32746,Drum Set Solo,Stompin' in Seven,Reeves,,"Tapspace Publications, LLC",1,
504-1-33531,Drum Set Solo,Homage to a BeBop Drummer,Houllif,,"Permus Publications, Inc.",1,
504-1-33533,Drum Set Solo,More Than Meets the Eye,Lawhorn,,C. Alan Publications,1,
504-2-33539,Drum Set Solo,6-Bits,Parthun,,"Permus Publications, Inc.",2,
504-3-33542,Drum Set Solo,2-Bits,Parthun,,"Permus Publications, Inc.",3,
504-3-33543,Drum Set Solo,4-Bits,Parthun,,"Permus Publications, Inc.",3,
504-1-36592,Drum Set Solo,Advanced Funk Studies - Solos 1-10,Latham,,"Alfred Music Company, Inc.",1,(play two)
504-1-36593,Drum Set Solo,Advanced Techniques For The Modern Drummer,Chapin,,"Alfred Music Company, Inc.",1,(play two from the following: Solo Exercise IV A; Solo Exercise IV B; Solo Exercise IV C; Solo Exercise IV D; Solo I; Solo II)
504-1-36594,Drum Set Solo,Drum Set Music,Burns/Feldstein,,"Alfred Music Company, Inc. [Drum Set Music]",1,(play one from the following: Brush Fire; Ferris Wheel; Why Tri; Wipe Inn)
504-1-36595,Drum Set Solo,Steve Gadd: Up Close,Gadd,,"Alfred Music Company, Inc. [Steve Gadd: Up Close]",1,(play one from Crazy Army Variation; The Solo; OR Samba)
504-1-36596,Drum Set Solo,Eagle Rockabye,Floyd,,Chad Floyd Publications,1,
504-1-36597,Drum Set Solo,I Remember for Drum Set,Schmalenberger,,Honey Rock,1,
504-1-36598,Drum Set Solo,Above and Beyond,Varner,,Michael Varner,1,
504-1-36599,Drum Set Solo,Everything,Varner,,Michael Varner,1,
504-1-36600,Drum Set Solo,Imbue,Floyd,,Row-Loff Publications,1,
504-1-36601,Drum Set Solo,Hexy!,Floyd,,"Tapspace Publications, LLC",1,
504-1-36602,Drum Set Solo,"The Blue Book, Vol. 2",various,,"Tapspace Publications, LLC [The Blue Book, Vol 2]",1,(play one solo for DRUM SET EXCEPT Beatnik Blues and Dud It)
504-2-36603,Drum Set Solo,Drum Set Music,Burns/Feldstein,,"Alfred Music Company, Inc. [Drum Set Music]",2,(play one EXCEPT Brush Fire; Ferris Wheel; Why Tri; Wipe Inn; Stayin on Top)
504-2-36604,Drum Set Solo,Solo In Style,Powers,,"Alfred Music Company, Inc. [Solo In Style]",2,(play one from the following: In The Swing of Things; Just Shufflin Along; Proxima Vez)
504-2-36605,Drum Set Solo,"The Blue Book, Vol. 2",various,,"Tapspace Publications, LLC [The Blue Book, Vol 2]",2,(play Beatnik Blues OR Dud It)
504-2-36606,Drum Set Solo,Groovin' in Trinidad,Mancini,,"Permus Publications, Inc.",2,
504-2-36607,Drum Set Solo,Bossa Bits,Floyd,,Row-Loff Publications,2,
504-2-36608,Drum Set Solo,Green Swing,Floyd,,Row-Loff Publications,2,
504-2-36609,Drum Set Solo,Number 2 Funk,Ukena,,Southern Music Company,2,
504-3-36610,Drum Set Solo,Drum Set Music,Burns/Feldstein,,"Alfred Music Company, Inc. [Drum Set Music]",3,(play Stayin on Top)
504-3-36611,Drum Set Solo,Solo In Style,Powers,,"Alfred Music Company, Inc. [Solo In Style]",3,"(play one of the following: A Delve Into Twelve; Funky Busy-Ness; Rock, Paper, Scissors)"
504-1-36612,Drum Set Solo,Arrival,Bergamini,Famularo,"Alfred Music Company, Inc.",1,"(play two) (performed with ""play-along"" track)"
504-1-36613,Drum Set Solo,Country Funk,Fullen,,"Alfred Music Company, Inc. [Country Styles for the Drummer & Bassist]",1,"(performed with ""play-along"" track)"
504-1-36614,Drum Set Solo,Essential Styles for Drummer & Bassist,Houghton,,"Alfred Music Company, Inc. [Essential Styles for Drummer & Bassist]",1,"(play 7/4 Vamp OR Fast Samba) (performed with ""play-along"" track)"
504-1-36615,Drum Set Solo,Gordon Goodwin’s Big Phat Band Play Along Series,Goodwin,Dresel,"Alfred Music Company, Inc. [Gordon Goodwin’s Big Phat Band Play Along Series ]",1,"(play one) (performed with ""play-along"" track)"
504-1-36616,Drum Set Solo,Gordon Goodwin’s Big Phat Band Play Along Series Vol. 2,Goodwin,Dresel,"Alfred Music Company, Inc. [Gordon Goodwin’s Big Phat Band Play Along Series Vol. 2 ]",1,"(play one) (performed with ""play-along"" track)"
504-1-36617,Drum Set Solo,The Drumset Soloist,Houghton,,"Alfred Music Company, Inc. [The Drum Set Soloist]",1,"(play two from the following: Rhythm Changes; 3/4 Swing; Up Tempo Blues; 32-Bar Tune; Fast Modal; Medium Latin; Bright Samba; Songo w/ Kicks) (performed with ""play-along"" track)"
504-1-36618,Drum Set Solo,The Funky Beat,Garibaldi,,"Alfred Music Company, Inc. [The Funky Beat]",1,"(play one) (performed with ""play-along"" track)"
504-1-36619,Drum Set Solo,Ultimate Drum Play Along: Led Zeppelin,Bonham,various,"Alfred Music Company, Inc. [Ultimate Drum Play Along: Led Zeppelin]",1,"(play one) (performed with ""play-along"" track)"
504-1-36620,Drum Set Solo,Their Time Was The Greatest,Bellson,,"Alfred Music Company, Inc. [Their Time Was The Greatest]",1,"(play one) (performed with ""play-along"" track)"
