Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
206-2-10705,Eb Clarinet Solo,Adagio and Allegro,Handel,Gee/Rousseau,Southern Music Company;Wingert/Jones,2,
206-2-10707,Eb Clarinet Solo,Scene Sylvan,Johnson,,"Rubank, Inc.",2,
206-2-10708,Eb Clarinet Solo,Andante and Allegro,Marcello,Voxman,"Rubank, Inc.",2,
206-2-10709,Eb Clarinet Solo,Adagio,Mozart,Harris,"Cundy-Bettoney Company, Inc.",2,
206-2-10710,Eb Clarinet Solo,Solo (from String Quartet),Mozart,Willaman,Jack Spratt Music Publishers,2,
206-2-10711,Eb Clarinet Solo,Hoedown,Reed,,Piedmont,2,
206-2-10712,Eb Clarinet Solo,March Variations,Reed,,Piedmont,2,
206-2-10713,Eb Clarinet Solo,Allegro Spiritoso,Senaille,Gee,Southern Music Company,2,
206-2-10714,Eb Clarinet Solo,Canzonetta,Tchaikovsky,Cailliet,Southern Music Company,2,
206-2-10715,Eb Clarinet Solo,Melancholy,Whitney,,Jack Spratt Music Publishers,2,
206-3-10716,Eb Clarinet Solo,Arioso (from Cantata No. 156),Bach,Kent,"Carl Fischer, Inc.",3,
206-3-10717,Eb Clarinet Solo,Arietta and Scherzo,Koepke,,"Rubank, Inc.",3,
206-3-10718,Eb Clarinet Solo,Aria,Neukomm,Kaplan,Jack Spratt Music Publishers,3,
206-3-10719,Eb Clarinet Solo,Eight bel Canto Songs,Phillips,,Shawnee Press,3,(play one)
206-1-10702,Eb Clarinet Solo,"Long Long Ago, Fantasie Op.12",Ritter,Shanley,Southern Music Company,1,
206-1-32236,Eb Clarinet Solo,Three Pieces for Eb Clarinet Alone,Stonaker,,Ben Stonaker Music,1,(unaccomp)
206-1-32234,Eb Clarinet Solo,Sonata for Eb Clarinet and Piano,Osborn,,Osborn Music;Theodore Presser Company,1,(play mvt 1 OR 3)
206-1-32233,Eb Clarinet Solo,Meditation et Danse for Eb Clarinet Solo,Moss,,International Music Diffusion,1,(unaccomp)
206-1-32232,Eb Clarinet Solo,Registro de Pajarillo,Montilla,,Woodwindiana,1,(unaccomp)
206-1-32231,Eb Clarinet Solo,Clarinet Concerto No. 3,Molter,Kerstetter,Prairie Dawg Press,1,
206-1-32230,Eb Clarinet Solo,Clarinet Concerto No. 2,Molter,Kerstetter,Prairie Dawg Press,1,
206-1-32229,Eb Clarinet Solo,Clarinet Concerto No. 1 in A Major MWV 6 No. 41,Molter,Kerstetter,Prairie Dawg Press,1,
206-1-32228,Eb Clarinet Solo,Concerto No. 3 Obviam Ire Siglo,Lillo,,Manuel Lillo Music,1,
206-1-32226,Eb Clarinet Solo,Three Sibilants for Eb Clarinet,Ellis,,SOUNZ,1,(play any one mvt)
206-1-32225,Eb Clarinet Solo,Dance Music for Mr. Mouse,Dorff,,Theodore Presser Company,1,
206-1-32224,Eb Clarinet Solo,Carnival of Venice,Cavallini,Lienau,Musikverlag Doblinger Publishing,1,
206-1-32227,Eb Clarinet Solo,Spanish Folk Variations,Gallego,,Piles Artitures Music,1,(unaccomp)
206-1-32222,Eb Clarinet Solo,Campus Stellae,Wickman,,Potenza Music,1,(play mvts 1 and 3)
206-1-32223,Eb Clarinet Solo,Little Suite of Four Dances,Bolcom,,"Hal Leonard Music, Inc.",1,(play any two mvts)
206-1-32235,Eb Clarinet Solo,Ballabile con Variazioni,Panizza,,GIA Publications,1,
