Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
204-1-10521,English Horn Solo,Divertissement,Bozza,,Southern Music Company,1,(play all) NMR:(play all)
204-1-10523,English Horn Solo,Concertino,Donizetti,,C.F. Peters Corporation,1,(play all) NMR:(play all)
204-1-10525,English Horn Solo,Rhapsody,Jacob,,E.C. Schirmer Music Company,1,
204-1-10528,English Horn Solo,Adagio Religioso,Mozart,Andraud,Southern Music Company,1,
204-1-10529,English Horn Solo,Recitative and Rondo,Reicha,,McGinnis & Marx,1,
204-1-10530,English Horn Solo,Lament,Scheer,,"Composers Press, Inc., Opus Music",1,
204-1-10520,English Horn Solo,Nocturno,Borodin,Stacy,"G. Schirmer, Inc. [Solos for the English Horn Player]",1,
204-1-10524,English Horn Solo,Siciliano,Faure,Stacy,"G. Schirmer, Inc. [Solos for the English Horn Player]",1,
204-1-10527,English Horn Solo,Sonata,Marcello,Stacy,"G. Schirmer, Inc. [Solos for the English Horn Player]",1,(play two contrasting mvts)
204-1-10532,English Horn Solo,Sonata,Telemann,Stacy,"G. Schirmer, Inc. [Solos for the English Horn Player]",1,(play mvts 1 & 2 or 2 & 3)
204-2-10533,English Horn Solo,Pastorale,Adkins,,Ludwig Music Publishing Company,2,
204-2-10534,English Horn Solo,Adagio,Corelli,Davis,"Western International Music, Inc.",2,
204-2-10535,English Horn Solo,Sarabande,Purcell,,Jack Spratt Music Publishers,2,
204-2-10536,English Horn Solo,Cantabile,Rasse,,Alphonse Leduc,2,
204-2-10537,English Horn Solo,The Swan,Saint-Saens,,"Carl Fischer, Inc.",2,
204-2-10538,English Horn Solo,Einsame Blumen,Schumann,,Jack Spratt Music Publishers,2,
204-2-10539,English Horn Solo,Gondoliera,Searle,,Schott Company,2,
204-2-10540,English Horn Solo,Ye Who Have Yearned Alone,Tchaikovsky,,"Carl Fischer, Inc.",2,
204-2-10541,English Horn Solo,Six Studies in English Folksong,Vaughan Williams,,Galaxy,2,(play mvt 6 & one other mvt)
204-3-10542,English Horn Solo,Evening Piece,Benson,,"Boosey & Hawkes, Inc.",3,
204-3-10543,English Horn Solo,The Shepherd,Berg,Ephross,Southern Music Company,3,
204-3-10545,English Horn Solo,Gymnopedie No. 2,Satie,,"G. Schirmer, Inc. [Solos for the English Horn Player]",3,
204-3-10546,English Horn Solo,Traumerei,Schumann,Davis,"Western International Music, Inc.",3,
204-1-10519,English Horn Solo,Concerto in F Major,Benatti,,Universal Editions,1,(play any mvt)
204-1-10526,English Horn Solo,Serenata Op. 58,Lickl,,Universal Editions,1,
204-3-10544,English Horn Solo,Ase's Death,Grieg,Davis,"Western International Music, Inc.",3,
204-1-26383,English Horn Solo,A Six Letter Letter,Carter,,"Boosey & Hawkes, Inc.",1,
204-1-33010,English Horn Solo,Sonata for English Horn and Piano,Hindemith,,Schott Company,1,(play all) NMR:(play all)
204-1-36969,English Horn Solo,Chrysalis,Morris,,TrevCo Music Publishing,1,(play one mvt)
204-2-36970,English Horn Solo,Elegy for English Horn,Stamp,Daughtrey,C. Alan Publications,2,
