Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
343-2-25353,Euphonium/Baritone Horn Quartet,Andante and March,Fox,,"Belwin, Inc",2,
343-1-24771,Euphonium/Baritone Horn Quartet,Double Fugue,Albrechtsberger,Tezak,Tezak Edition,1,
343-1-24772,Euphonium/Baritone Horn Quartet,Two Pieces for Trombone Quartet,Arutiunian,,Editions Bim,1,
343-1-24773,Euphonium/Baritone Horn Quartet,"Jesus, Priceless Treasure",Bach,Collins,Southern Music Company,1,(play mvts 1 & 7 or 9 & 10)
343-1-24774,Euphonium/Baritone Horn Quartet,Kyrie in F,Bach,Dishinger,Medici Music Press,1,
343-1-24775,Euphonium/Baritone Horn Quartet,Fugue in g minor,Bach,Sauer,"Western International Music, Inc.",1,
343-1-24776,Euphonium/Baritone Horn Quartet,Bartok for Trombones,Bartok,Siekmann,C.L. Barnhouse Company,1,
343-1-24777,Euphonium/Baritone Horn Quartet,Quartet for Trombones,Bassett,,Robert King,1,
343-1-24778,Euphonium/Baritone Horn Quartet,Three Equali,Beethoven,King,Robert King,1,
343-1-24779,Euphonium/Baritone Horn Quartet,Suite (from Damnation of Faust),Berlioz,Ostrander,Qunito Maganini,1,
343-1-24780,Euphonium/Baritone Horn Quartet,New Prague Trombones,Blahnik,,"E.C. Kerby, Ltd.",1,(play 4 mvts; must include a lyrical mvt)
343-1-24781,Euphonium/Baritone Horn Quartet,Motet: Virga Jesse,Bruckner,Sauer,"Wimbledon Music, Inc.",1,
343-1-24782,Euphonium/Baritone Horn Quartet,Suite for Trombones,Butts,,Shawnee Press,1,
343-1-24783,Euphonium/Baritone Horn Quartet,Dances (from a Hillside Manor),Culver,,C.L. Barnhouse Company,1,
343-1-24784,Euphonium/Baritone Horn Quartet,Three Madrigals for Four Trombones,Anon. or Trad.,Curnow,Medici Music Press,1,(play all)
343-1-24785,Euphonium/Baritone Horn Quartet,Quatre Pieces,Defaye,,Alphonse Leduc,1,(play two)
343-1-24786,Euphonium/Baritone Horn Quartet,Americana Suite No. 1,Dishinger,,Medici Music Press,1,(play all)
343-1-24787,Euphonium/Baritone Horn Quartet,Two Ricercars,Gabrieli,Anderson,"Western International Music, Inc.",1,
343-1-24788,Euphonium/Baritone Horn Quartet,Sonata,Gabrieli,Brown,International Music Company,1,
343-1-24789,Euphonium/Baritone Horn Quartet,Achieved Is the Glorious Work (from The Creation),Haydn,Miller,Ensemble Publications,1,
343-1-24790,Euphonium/Baritone Horn Quartet,Music for Trombone Quartet,Jaffe,,Southern Music Company,1,
343-1-24791,Euphonium/Baritone Horn Quartet,Prelude Solennelle,Johnson,,"Alfred Music Company, Inc.",1,
343-1-24792,Euphonium/Baritone Horn Quartet,Four Rags for Four Trombones,Joplin,Sauer,"Wimbledon Music, Inc.",1,(play one)
343-1-24793,Euphonium/Baritone Horn Quartet,Three Movements for Trombone Quartet,Knox,,Shawnee Press,1,
343-1-24794,Euphonium/Baritone Horn Quartet,Psalm XIX,Marcello,Reichenbach,Williams Music Publications,1,
343-1-24795,Euphonium/Baritone Horn Quartet,Recitative and Fugue for Trombone Quartet,McCarty,,Robert King,1,
343-1-24796,Euphonium/Baritone Horn Quartet,Festival March,McKay,,C.L. Barnhouse Company,1,
343-1-24797,Euphonium/Baritone Horn Quartet,Six Pieces for Four Trombones,Nelhybel,,General Music Publishing Company,1,
343-1-24798,Euphonium/Baritone Horn Quartet,Ricercar,Pachelbel,Brown,"Western International Music, Inc.",1,
343-1-24799,Euphonium/Baritone Horn Quartet,Suite,Peeters,,Editions Peters,1,
343-1-24800,Euphonium/Baritone Horn Quartet,Two Bagatelles for Four Trombones,Reed,,C.L. Barnhouse Company,1,
