Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
333-1-24694,Euphonium-Baritone Trio,"Jesus, Priceless Treasure",Bach,Collins,Southern Music Company,1,(play mvts 4 & 8)
333-1-24695,Euphonium-Baritone Trio,"Sinfonias Nos. 1, 9, and 13",Bach,Sauer,"Wimbledon Music, Inc.",1,(play all)
333-1-24696,Euphonium-Baritone Trio,"Sinfonias Nos. 8, 4, and 6",Bach,Sauer,"Western International Music, Inc.",1,(play two)
333-1-24697,Euphonium-Baritone Trio,Suite (from The Mount of Olives),Beethoven,Ostrander,Qunito Maganini,1,(play two mvts)
333-1-24698,Euphonium-Baritone Trio,Polka Dots,Buchtel,,C.L. Barnhouse Company,1,
333-1-24699,Euphonium-Baritone Trio,The Earl of Oxford's March,Byrd,Dishinger,Medici Music Press,1,
333-1-24700,Euphonium-Baritone Trio,Triptych,Coolidge,,Southern Music Company,1,
333-1-24701,Euphonium-Baritone Trio,Sonata da chiesa Op. 3 No. 7,Corelli,Nethercutt,The Brass Press,1,
333-1-24702,Euphonium-Baritone Trio,Five Trios Vol. 3,Druchetzky,Dishinger,Medici Music Press,1,"(play mvts #11,#13, & #18)"
333-1-24703,Euphonium-Baritone Trio,Chorale,Gay,,Robert King,1,
333-1-24704,Euphonium-Baritone Trio,Scherzo,Giovannini,,Dorabet Music Co.;RBC Publications,1,
333-1-24705,Euphonium-Baritone Trio,Petits Chansons,Gretchaninoff,Lester,"JTL Publications, G. Scott Music Publishing Co.",1,
333-1-24706,Euphonium-Baritone Trio,Suite for Three Trombones,Handel,Ostrander,"Edition Musicus-New York, Inc.",1,(play two mvts)
333-1-24707,Euphonium-Baritone Trio,Four Pieces,Hartley,Tricinia,Theodore Presser Company,1,(play three)
333-1-24708,Euphonium-Baritone Trio,Alteba Trio,Hidas,,Editio Musica,1,
333-1-24709,Euphonium-Baritone Trio,Lift Thine Eyes,Mendelssohn,Collins,Southern Music Company,1,
333-1-24710,Euphonium-Baritone Trio,Suite for Three Trombones,Mozart,Ostrander,Qunito Maganini,1,(play all)
333-1-24711,Euphonium-Baritone Trio,Contest Trio No. 2,Ostransky,,"Rubank, Inc.",1,
333-1-24712,Euphonium-Baritone Trio,Sonata No. 4,Pergolesi,Sauer,"Western International Music, Inc.",1,
333-1-24713,Euphonium-Baritone Trio,Three Part Music (from the Renaissance),Anon. or Trad.,Sauer,"Western International Music, Inc.",1,
333-1-24714,Euphonium-Baritone Trio,Fugue Op. 68,Schumann,Fote,"Kendor Music, Inc.",1,
333-1-24715,Euphonium-Baritone Trio,Little Suite in F,Skolnik,,Theodore Presser Company,1,
333-1-24716,Euphonium-Baritone Trio,Scherzo Op. 13,Snosko-Borovsky,Gibson,International Music Company,1,
333-1-24717,Euphonium-Baritone Trio,Two Sonatas,Speer,,Musica Rara,1,
333-1-24718,Euphonium-Baritone Trio,Manhattan Vignettes,Uber,,"Edition Musicus-New York, Inc.",1,(play four mvts)
333-2-24719,Euphonium-Baritone Trio,Musette (from Anna Magdalena Bach Notebook),Bach,Dishinger,Medici Music Press,2,
333-2-24720,Euphonium-Baritone Trio,Suscepit Israel,Bach,Schmidt,"Western International Music, Inc.",2,
333-2-24721,Euphonium-Baritone Trio,Trio for Trombones,Beethoven,Smith,"Kendor Music, Inc.",2,
333-2-24722,Euphonium-Baritone Trio,At the Stable in Bethlehem,Berlioz,Ostrander,"Edition Musicus-New York, Inc.",2,
333-2-24723,Euphonium-Baritone Trio,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,2,
333-2-24724,Euphonium-Baritone Trio,Three of a Kind,Buchtel,,C.L. Barnhouse Company,2,
333-2-24725,Euphonium-Baritone Trio,Five Trios Vol. 1,Druchetzky,Dishinger,Medici Music Press,2,(play three mvts)
333-2-24726,Euphonium-Baritone Trio,Amazing Grace,Anon. or Trad.,Engebretson,Ed Sueta Publications,2,
333-2-24727,Euphonium-Baritone Trio,Manchester Hornpipe,Anon. or Trad.,Engebretson,Ed Sueta Publications,2,
333-2-24728,Euphonium-Baritone Trio,Sailor's Worksong,Anon. or Trad.,Engebretson,Ed Sueta Publications,2,
