Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
304-2-25354,Euphonium/Baritone Horn Solo,Concerto No. 1 in D,Mozart,,Medici Music Press,2,(mvt 1 or 2 only)
304-2-25355,Euphonium/Baritone Horn Solo,Prelude and Chorale (Svaty Vaclave),Nelhybel,,"Alliance Publications, Inc.",2,
304-2-25356,Euphonium/Baritone Horn Solo,Inflammatus,Rossinni,,"Carl Fischer, Inc. [Festival Performance Solo, Vol. 2]",2,
304-2-25357,Euphonium/Baritone Horn Solo,Rhapsody in c minor,Uber,,"Kendor Music, Inc.",2,
304-2-25358,Euphonium/Baritone Horn Solo,Ride of the Valkyries,Wagner,Uber,"Kendor Music, Inc.",2,
304-3-25359,Euphonium/Baritone Horn Solo,Air on a G String,Bach,Dishinger,Medici Music Press,3,
304-3-25360,Euphonium/Baritone Horn Solo,Andante and March,Saint-Jacome,Brom,"Kendor Music, Inc.",3,
304-1-13065,Euphonium/Baritone Horn Solo,"Suites 1, 2 and 3",Bach,Marsteller,Southern Music Company,1,(play two contrasting mvts from one suite)
304-1-13066,Euphonium/Baritone Horn Solo,"Suites 4, 5 and 6",Bach,Marsteller,Southern Music Company,1,(play two contrasting mvts from one suite)
304-1-13067,Euphonium/Baritone Horn Solo,Andante et Allegro,Barat,,"Southern Music Company;Carl Fischer, Inc.;IMSLP",1,
304-1-13068,Euphonium/Baritone Horn Solo,Introduction and Dance,Barat,Smith,Southern Music Company,1,
304-1-32866,Euphonium/Baritone Horn Solo,Mazurka,Falcone,,Cimarron Music Press,1,(unaccomp)
304-1-13070,Euphonium/Baritone Horn Solo,Sonatina for Euphonium,Boda,,Cimarron Music Press/Whaling Publications,1,(play all) NMR:(play all)
304-1-32865,Euphonium/Baritone Horn Solo,Scharamuch,Sparke,,Anglo Music Press,1,
304-1-32864,Euphonium/Baritone Horn Solo,Party Piece,Sparke,,Studio Music Company,1,
304-1-13073,Euphonium/Baritone Horn Solo,Andante and Rondo,Capuzzi,Catelinet,Hinrichsen Edition,1,
304-1-13075,Euphonium/Baritone Horn Solo,Fantasie Concertante,Casterede,,Alphonse Leduc,1,(play all) NMR:(play all)
304-1-13076,Euphonium/Baritone Horn Solo,Sonata,Clinard,,Shawnee Press,1,(unaccomp) (play mvts 1 & 2 or 2 & 3)
304-1-13077,Euphonium/Baritone Horn Solo,Sonata in F Major,Corelli,Brown,International Music Company,1,
304-1-13078,Euphonium/Baritone Horn Solo,Concertino Op. 4,David,,"Carl Fischer, Inc.",1,
304-1-13079,Euphonium/Baritone Horn Solo,Variations on a Theme of Robert Schumann,Davis,,Southern Music Company,1,
304-1-13080,Euphonium/Baritone Horn Solo,Beautiful Colorado,DeLuca,,"Carl Fischer, Inc.",1,
304-1-13081,Euphonium/Baritone Horn Solo,Six Sonatas Volume I,Galliard,Brown,McGinnis & Marx;International Music Company,1,(play one entire Sonata)
304-1-13082,Euphonium/Baritone Horn Solo,Six Sonatas Volume II,Galliard,Brown,McGinnis & Marx;International Music Company,1,(play one entire Sonata)
304-1-13083,Euphonium/Baritone Horn Solo,Morceau Symphonique Op. 88,Guilmant,,Associated Music Publishers Inc.,1,
304-1-13084,Euphonium/Baritone Horn Solo,Suite for Baritone,Haddad,,"Templeton Publishing Company, Inc.",1,(play mvts 1 & 2 or 2 & 3)
304-1-13085,Euphonium/Baritone Horn Solo,Sonata Euphonica,Hartley,,Tenuto Publications,1,(1979) (tc & bc) (play all) NMR:(play all)
304-1-13086,Euphonium/Baritone Horn Solo,Sonatina for Baritone,Hutchison,,"Carl Fischer, Inc.",1,
304-1-13087,Euphonium/Baritone Horn Solo,Fantasia,Jacob,,"Boosey & Hawkes, Inc.",1,(play all) NMR:(play all)
304-1-13089,Euphonium/Baritone Horn Solo,Concertino No. 1 in Bb Major Op. 7,Klengel,,"Belwin, Inc",1,(play mvt 1)
