Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
273-1-12290,Flute Choir,Madrigals,Adler,,Southern Music Company,1,(play all) (6 fl)
273-1-12292,Flute Choir,"O Come, O Come Emmanuel",Anon. or Trad.,Allen,Southern Music Company,1,"(2 pic, 4 fl, alto fl, bass fl)"
273-1-12291,Flute Choir,All Through the Night,Anon. or Trad.,Allen,Southern Music Company,1,(6 fl)
273-1-12293,Flute Choir,Aria and Chorale,Bach,Behnke,"Alry Publications, Etc. Inc.",1,"(pic, Eb fl, 4 fl, bass fl)"
273-1-12294,Flute Choir,Sinfonia and Chorale,Bach,Behnke,"Alry Publications, Etc. Inc.",1,"(6 fl, alto fl, bass fl)"
273-1-12295,Flute Choir,Jeux d'Enfants,Bizet,Wye,Novello Publications Inc.,1,"(play three contrasting mvts) (3 fl w/2nd dbl pic, alto fl, bass fl)"
273-1-12296,Flute Choir,Notturno,Borodin,Daily,Southern Music Company,1,"(3 fl, alto fl, bass fl)"
273-1-12297,Flute Choir,Symphony No. 1,Boyce,Behnke,"Alry Publications, Etc. Inc.",1,"(2 fl, alto fl, bass fl)"
273-1-12298,Flute Choir,Sellinger's Round,Byrd,Behnke,"Alry Publications, Etc. Inc.",1,"(pic, Eb fl, 4 fl, alto fl, bass fl)"
273-1-12299,Flute Choir,Faces,Christensen,,Southern Music Company,1,"(pic, 4 fl, alto fl, bass fl)"
273-1-12300,Flute Choir,Arabesque I,Debussy,Dorsey,Musicians Publications,1,
273-1-12302,Flute Choir,Second Arabesque,Debussy,Dorsey,Musicians Publications,1,
273-1-12301,Flute Choir,Bohemian Dance,Debussy,Walter,"Alry Publications, Etc. Inc.",1,"(4 fl, alto fl, bass fl)"
273-1-12303,Flute Choir,Toccata in G Major,Dubois,Wye,"Alry Publications, Etc. Inc.",1,"(3 fl w/3rd dbl pic, alto fl, bass fl)"
273-1-12304,Flute Choir,Berceuse (from Jocelyn),Godard,Axtell,"Alry Publications, Etc. Inc. [Three Atmosphereic Operatic Pieces]",1,"(must also play one additional selection from this collection) (3 fl, alto fl, bass fl)"
273-1-12305,Flute Choir,Aus Holbergs Zeit,Grieg,Nourse,"Alry Publications, Etc. Inc.",1,"(pic, 6 fl, alto fl, bass fl)"
273-1-12306,Flute Choir,Divertimento,Grimm,,Southern Music Company,1,"(Eb fl or fl, 6 fl, alto fl)"
273-1-12307,Flute Choir,Overture (from Royal Fireworks Suite Vol. I),Handel,Kile,"Alry Publications, Etc. Inc.",1,"(pic, 4 fl, alto fl, opt bass fl)"
273-1-12308,Flute Choir,La Paix and La Rejouissance (from Royal Fireworks Suite Vol. II ),Handel,Kile,"Alry Publications, Etc. Inc.",1,"(pic, 4 fl, alto fl, opt bass fl)"
273-1-12309,Flute Choir,"Suite in C Flute, Clock Pieces",Haydn,Kuras,"Alry Publications, Etc. Inc.",1,(play three mvts) (3-5 fl)
273-1-12310,Flute Choir,American Flute Salute,Anon. or Trad.,Holcombe,Musicians Publications,1,
273-1-12311,Flute Choir,The Cascades,Joplin,Inglefield,"Alry Publications, Etc. Inc.",1,"(pic, 3 fl, alto fl, bass fl)"
273-1-12312,Flute Choir,He Never Sleeps,Anon. or Trad.,Lombardo,"Alry Publications, Etc. Inc.",1,"(3 fl, alto fl, bass fl, str bass (opt), drums (opt))"
273-1-12313,Flute Choir,Changes for 7 Flutes,Maury,,Avant Music Company,1,"(play opening & closing Theme plus three variations) (pic, 5 fl, alto fl)"
273-1-12314,Flute Choir,Masques,McGinty,,"Alry Publications, Etc. Inc.",1,"(pic, 8 fl, alto or bass fl)"
273-1-12315,Flute Choir,Rondo Caprice,Missal,,"LeBlanc Publications, Inc.",1,"(6 fl or 5 fl, alto fl)"
273-1-12316,Flute Choir,Humming Chorus (from Madame Butterfly),Puccini,Axtell,"Alry Publications, Etc. Inc. [Three Atmosphereic Operatic Pieces]",1,"(must also play one additional selection from this collection) (3 fl, alto fl, bass fl)"
273-1-12317,Flute Choir,Overture to The Barber of Seville,Rossini,McHenry,Southern Music Company,1,"(3 fl, alto fl, bass fl or 4 fl, alto fl, bass fl or bsn)"
273-1-12319,Flute Choir,Memories of East Tennessee,Scott,,"Alry Publications, Etc. Inc.",1,"(play two mvts) (pic, 3 fl, alto fl or fl, bass fl)"
273-1-12320,Flute Choir,Dance of the Comedians (from the Bartered Bride),Smetana,Lombardo,"Alry Publications, Etc. Inc.",1,"(2 pic, 6 fl or 2 pic, 3 fl, 2 alto fl, bass fl)"
273-1-12321,Flute Choir,The Liberty Bell,Sousa,Lombardo,"Alry Publications, Etc. Inc.",1,"(2 pic, 3 fl, 2 alto fl, bass fl)"
273-1-12322,Flute Choir,Marche Miniature,Tschaikowsky,Kennedy,"Alry Publications, Etc. Inc.",1,"(solo piccolo, 6 flutes, celeste (or piano), and triangle)"
