Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
242-3-11637,Flute Quartet,Esercizio,Palestrina,Gearhart/Wilkins,Shawnee Press [Flute Sessions],3,
242-1-11748,Flute Quartet,Jour d'ete a la montagne,Bozza,,Alphonse Leduc,1,"(play 1, 2 or 4)"
242-1-11750,Flute Quartet,Deux Arabesques,Debussy,,Barenreiter/Verlag,1,(play mvt 1 or 2)
242-1-11751,Flute Quartet,Suite Italienne,Desportes,,Southern Music Company,1,(play one mvt)
242-1-11752,Flute Quartet,Quatuor,Dubois,,Alphonse Leduc,1,(play 1 or 4)
242-1-11753,Flute Quartet,Valse Staccato,Rubinstein,Fetherston,"Belwin, Inc",1,
242-1-11754,Flute Quartet,One for Four,Folio,,Shawnee Press,1,
242-1-11755,Flute Quartet,Adagio,Gabrielski,Voxman/Block,Southern Music Company,1,
242-1-11756,Flute Quartet,Irish Aire and Jig,Kibbe,,Shawnee Press,1,
242-1-11757,Flute Quartet,Grand Quartet Op. 92,Kohler,,Southern Music Company,1,(play one mvt)
242-1-11758,Flute Quartet,Grand Quartet Op. 103,Kuhlau,,Southern Music Company,1,(play one mvt)
242-1-11759,Flute Quartet,Sonatina Giocosa,McKay,,C.L. Barnhouse Company,1,
242-1-11760,Flute Quartet,Andante K. 616,Mozart,Hiby,Schott Company,1,
242-1-11761,Flute Quartet,Anouchka,Paubon,,Gerard Billaudot Edition,1,
242-1-11762,Flute Quartet,Song and March,Presser,,Theodore Presser Company,1,
242-1-11764,Flute Quartet,Sinfonico Quartette,Reicha,,"Cundy-Bettoney Company, Inc.",1,(play one mvt)
242-1-11765,Flute Quartet,Scherzo Brilliante,Severn,,"Belwin, Inc",1,
242-1-11766,Flute Quartet,Quartet,Tcherepnin,,BeLaieff,1,
242-2-11767,Flute Quartet,The French Clock,Bornschein,,Theodore Presser Company,2,
242-2-11768,Flute Quartet,Quartet for Flutes,Butts,,Shawnee Press,2,
242-2-11769,Flute Quartet,Allemanda,Corelli,Maganini,"Edition Musicus-New York, Inc.",2,
242-2-11770,Flute Quartet,Sarabande,Debussy,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
242-2-11785,Flute Quartet,Scherzo,Seitz,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
242-2-11787,Flute Quartet,Pastorale,Stravinsky,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
242-2-11772,Flute Quartet,Lovely Fields So Gentle,Gluck,Ephross,Southern Music Company,2,
242-2-11773,Flute Quartet,Three Pieces for Flute Quartet,Hervig,,"Rubank, Inc.",2,(play all)
242-2-11774,Flute Quartet,Elegie,Jongen,,Southern Music Company,2,
242-2-11775,Flute Quartet,Danse Capriole,Koepke,,"Rubank, Inc.",2,
242-2-11776,Flute Quartet,A Musical Snuff Box,Liadov,Ephross,Theodore Presser Company,2,
242-2-11777,Flute Quartet,Christmas Morning Suite,McKay,,Southern Music Company,2,
242-2-11778,Flute Quartet,Suite Matinale,McKay,,C.L. Barnhouse Company,2,(play mvts 1 & 2 or 2 & 3)
242-2-11779,Flute Quartet,Suite Pastorale,McKay,,C.L. Barnhouse Company,2,(play two mvts)
242-2-11780,Flute Quartet,Rondino in D,Norden,McCathren,C.L. Barnhouse Company,2,
242-2-11781,Flute Quartet,Rondo for Four Flutes,Oakes,,Neil A. Kjos Music Company,2,
242-2-11782,Flute Quartet,Menuet and Trio,Schubert,Johnson,"Rubank, Inc.",2,
242-2-11784,Flute Quartet,Parthenia,Schwartz,,"Rubank, Inc.",2,
242-2-11783,Flute Quartet,A-Maying,Schumann,Williams,Southern Music Company,2,
242-2-11786,Flute Quartet,Quatro Giocoso,Solomon,,Southern Music Company,2,
242-3-11789,Flute Quartet,Swing!,Anon. or Trad.,Gearhart,Shawnee Press [Flute Sessions],3,(low sweet)
242-3-11794,Flute Quartet,Sursum Corda,Rairigh,Gearhart /Wilkens,Shawnee Press [Flute Sessions],3,
242-3-11790,Flute Quartet,Londonderry Air,Lombardo,,"Kendor Music, Inc.",3,
242-3-11791,Flute Quartet,She'll Be Comin' Round the Mountain,Lombardo,,"Kendor Music, Inc.",3,
242-3-11792,Flute Quartet,Suite Pastorale,McKay,,C.L. Barnhouse Company,3,(play one mvt)
242-3-11793,Flute Quartet,Andante Con Moto,Mendelssohn,Johnson,"Rubank, Inc.",3,
242-3-11795,Flute Quartet,Four of a Kind,Scarmolin,,C.L. Barnhouse Company,3,
242-3-11796,Flute Quartet,Chanson Triste,Tchaikovsky,Johnson,"Rubank, Inc.",3,
242-3-11797,Flute Quartet,Andante and Allegro Assai,Haydn,Hervig/Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-11798,Flute Quartet,Ensemble Time,Whistler,Hummel,"Rubank, Inc.",3,(play two)
242-1-11749,Flute Quartet,Divertimento for Four Flutes,Cohen,,"Western International Music, Inc.",1,(play four mvts)
242-1-11747,Flute Quartet,Symphony No. 1,Boyce,Behnke,"Alry Publications, Etc. Inc.",1,(opt alto & bass fl)
242-2-11771,Flute Quartet,Canzonetta,Giovannini,,RBC Publications,2,
242-2-11788,Flute Quartet,Pastorale,Whitcomb,,RBC Publications,2,
242-3-23439,Flute Quartet,Andante (from Second Grand Quartet Op. 72),Schneider,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23440,Flute Quartet,Contredanse,Mozart,Hervig/Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(Les Filles Malicieuses) (must also play one additional selection from this collection)
242-3-23441,Flute Quartet,Festival,Brandt,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23442,Flute Quartet,Here Is a Fish Fat and Fine (Russian Folk Song),Rimsky-Korsakov,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23443,Flute Quartet,If Thou Be Near,Bach,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23444,Flute Quartet,I Shall Sing Unto the Lord,Bach,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23445,Flute Quartet,Minuetto (from Quartet Op. 27 No. 1),Soussmann,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23446,Flute Quartet,Quartet Movement,Mitushkin,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23447,Flute Quartet,Rondo-Finale (from Quartetto Op. 53 No. 3),Gabrielsky,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23448,Flute Quartet,Sarabande,Debussy,Walters/Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23449,Flute Quartet,Siciliano and Fuguing Tune,Krapf,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23450,Flute Quartet,The Sparrow's Party,Dvorak,Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-3-23451,Flute Quartet,"The Village Maid, Rondeau",Rameau,Hervig/Voxman,"Rubank, Inc. [Quartet Repertoire for Flute]",3,(must also play one additional selection from this collection)
242-1-26457,Flute Quartet,Sheep May Safely Graze,Bach,Lombardo,Lom,1,
242-2-26459,Flute Quartet,My Dreydl,Goldfarb,Lombardo,Lom,2,
242-2-26460,Flute Quartet,Selections (from Water Music Suite),Handel,Lombardo,Lom,2,(play mvt 1 & 5 & 1 other)
242-1-26463,Flute Quartet,The Comedians' Gallop,Kabalevsky,Lombardo,Lombardo Music Publication,1,(perform ONLY as a QUARTET)
242-1-26464,Flute Quartet,A Flute Celebration,Lombardo,,Lom,1,
242-2-26465,Flute Quartet,Cedar Ridge,Lombardo,,Lom,2,
242-1-26466,Flute Quartet,Five Miniatures,Pavel,,"Alliance Publications, Inc.",1,(play all)
242-2-26467,Flute Quartet,Five Miniatures,Pavel,,"Alliance Publications, Inc.",2,(play 3 mvts)
242-2-26468,Flute Quartet,Melody in F,Rubinstein,Lombardo,Lom,2,
242-2-26469,Flute Quartet,Sweet Dreams Reverie,Tchaikovsky,Schanke,Music Arts Co.,2,
242-1-26470,Flute Quartet,Simple Gifts,Anon. or Trad.,Lombardo,Lom,1,
