Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
202-1-36879,Flute Solo,revamper,La Berge,,ALRY Publications [21st Century Masterworks],1,(unaccomp)
202-1-36878,Flute Solo,Velocity,Bunch,,Theodore Presser Company [Eight Visions],1,
202-1-36877,Flute Solo,Journey to the East,Keith,,ALRY Publications [Journey to the East],1,(unaccomp) (play mvts 1 & 2 OR 2 & 3 OR 1 & 3)
202-1-36876,Flute Solo,Lift Ev'ry Voice and Sing,Johnson,Simpson-Curenton,Theodore Presser Company,1,
202-1-36875,Flute Solo,Winter Spirits,Hoover,,Papagena Press,1,(unaccomp)
202-1-36874,Flute Solo,Song,Higdon,,ALRY Publications [21st Century Masterworks],1,(unaccomp)
202-1-36873,Flute Solo,Songs from the Willow,Herrera,,ALRY Publications [21st Century Masterworks],1,(unaccomp) (play mvts 1 & 2 OR 1 & 3)
202-1-36871,Flute Solo,Yuhwa (The Goddess of the Willow Tree),Hallstork,,Theodore Presser Company,1,(unaccomp)
202-1-36872,Flute Solo,Court Dances,Harberg,,Theodore Presser Company,1,(play two mvts)
202-1-36868,Flute Solo,Sonatina,Garrido-Lecca,,Cayambis Music Press,1,(play mvt. 1 OR 3)
202-1-36867,Flute Solo,Three Pieces in Crystal,Gannon,,American Composers Alliance,1,(play two mvts) (MUST BE PEROFMED ON C FLUTE)
202-1-36866,Flute Solo,Derelict,Gannon,,American Composers Alliance,1,
202-2-32183,Flute Solo,Barcarolle Op. 24 No. 4,Andersen,Robison,European American [AndersenCollection],2,
202-1-10078,Flute Solo,"Sonata in Eb Major, BWV 1031 (SMC - Sonata II)","Bach, J.S.",,Any Publisher,1,(play mvts 1 & 2 or 2 & 3)
202-2-32182,Flute Solo,Alla Mazurka Op. 24 No. 3,Andersen,Robison,European American [AndersenCollection],2,
202-1-10088,Flute Solo,"Sonata in C Major, BWV 1033 (SMC - Sonata IV)","Bach, J.S.",,Any Publisher,1,(play mvts 1 & 2 or 2 & 3)
202-1-10090,Flute Solo,"Sonata in e minor, BWV 1034 (SMC - Sonata V)","Bach, J.S.",,Any Publisher,1,(play mvts 1 & 2 or 3 & 4)
202-1-10092,Flute Solo,"Sonata in E Major, BWV 1035 (SMC - Sonata VI)","Bach, J.S.",,Any Publisher,1,(play mvts 1 & 2 or 3 & 4)
202-1-32937,Flute Solo,Concerto en Sol,Arrieu,,Editions Amphion,1,(play mvt. 1 or mvts. 2 & 3)
202-1-32938,Flute Solo,Concerto 1 Op. 45,Arnold,,Paterson's Publications,1,(play mvt. 1 or mvts. 2 & 3)
202-1-32936,Flute Solo,Six Pieces (Sechs Stucke),Amirov,,Edition Sikorski,1,(play any 3 mvts.)
202-1-32935,Flute Solo,Herdsmaidens' Dance,Alfven,,Just Flutes [Three Swedish Pieces],1,(play all)
202-1-10097,Flute Solo,"Sonata in a minor (Wq 132, H.562)","Bach, C.P.E.",,Any Publisher,1,(unaccomp) (play any 2 mvts.)
202-1-10098,Flute Solo,"Hamburger Sonata in G Major (Wq.133, H.564)","Bach, C.P.E.",,Schott Company;Southern Music Company,1,(play all)
202-1-10101,Flute Solo,Suite Modale,Bloch,,Broude Brothers,1,(play mvts 1 & 3 or mvt 4)
