Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
234-1-11543,Flute Trio,Original Trio,Andre,,"Belwin, Inc",1,(play 1 or 3)
234-1-11544,Flute Trio,Two Short Pieces,Barrere,,"Carl Fischer, Inc.",1,
234-1-11547,Flute Trio,Trio for Three Flutes,Beethoven,,Edition Kunzelman USA,1,(play mvts 1 & 2 or 2 & 3)
234-1-11545,Flute Trio,Grand Trio Op. 87,Beethoven,Andraud,Southern Music Company,1,(play two mvts)
234-1-11546,Flute Trio,Rondo,Beethoven,Featherston,"Belwin, Inc",1,
234-1-11548,Flute Trio,Trio for Flutes Op. 51 No. 1,Berbiguier,,Southern Music Company;ALRY Publications,1,(play mvt 1 or 3)
234-1-11549,Flute Trio,Trio for Flutes Op. 51 No. 3,Berbiguier,,Southern Music Company;ALRY Publications,1,(play mvt 1 or 3)
234-1-11550,Flute Trio,Sonata,Boismortier,,"Boosey & Hawkes, Inc.",1,
234-1-11551,Flute Trio,"Sonaten, Book 1",Boismortier,Doflein-Sechs,Schott Company,1,(play one entire Sonata)
234-1-11552,Flute Trio,"Sonaten, Book 2",Boismortier,Doflein-Sechs,Schott Company,1,(play one entire Sonata)
234-1-11553,Flute Trio,Suite Pastorale,Damase,,Billaudot,1,(play all)
234-1-11554,Flute Trio,Trio in G Major,Demachi,,Ludwig Doblinger,1,(no score available)
234-1-11555,Flute Trio,Trio Oder Notturno,Dussek,,Amadeus Verlag,1,(no score available)
234-1-11556,Flute Trio,Drei Trios Op. 14,Furstenau,,Edition Kunzelman USA,1,(play one entire trio)
234-1-11557,Flute Trio,Grand Trio Concertante Op. 31,Gabrielsky,Andraud,Southern Music Company,1,(play mvt 1 or Theme & Variations & Rondo)
234-1-11558,Flute Trio,Six Trios for Three Flutes,Hook,,"Rubank, Inc.",1,(play one ENTIRE TRIO except # 6)
234-1-11559,Flute Trio,Sonata in G Major Op. 83 No. 4,Hook,,"Boosey & Hawkes, Inc.",1,
234-1-11560,Flute Trio,Three Grand Trios Op. 86,Kuhlau,,Billaudot;Edwin F. Kalmus,1,(play one fast mvt of one trio) (pub separately)
234-1-11561,Flute Trio,Trio in A Op. 59,Kummer,,"Cundy-Bettoney Company, Inc.",1,
234-1-11562,Flute Trio,Trio Op. 24,Kummer,,"Cundy-Bettoney Company, Inc.",1,(play two mvts)
234-1-11563,Flute Trio,Trio Op. 53,Kummer,,"Cundy-Bettoney Company, Inc.;Amadeus Verlag",1,(play two mvts)
234-1-11564,Flute Trio,Grand Trio Op. 14,Neumann,,"Cundy-Bettoney Company, Inc.",1,(play two mvts)
234-1-11565,Flute Trio,Toccata for Three Flutes,Payne,,Shawnee Press,1,
234-1-11566,Flute Trio,Trio in D dur,Quantz,,Edition Kunzelman USA,1,(play all)
234-1-11567,Flute Trio,Divertissement,Raymond,,"Western International Music, Inc.;Avant Music Company",1,
234-1-11568,Flute Trio,Scherzo for Three,Robinson,,RBC Publications,1,
234-1-11569,Flute Trio,Sonata in G Major Op. 2 No. 5,Ruge,Cirtin,Piper,1,
234-1-11570,Flute Trio,Flute Trio,Tcherepnin,,BeLaieff,1,
234-1-11571,Flute Trio,Trois Pastorales,Tomasi,,Alphonse Leduc,1,(play all)
234-1-11572,Flute Trio,Sonatina in the Old Style,van Leeuwen,,"Carl Fischer, Inc.",1,
234-1-11574,Flute Trio,Grand Trio in A Op. 93 No. 2,Walckiers,,"Edition Musicus-New York, Inc.",1,
234-1-11575,Flute Trio,Grand Trio in C Major,Walckiers,Maganini,"Edition Musicus-New York, Inc.",1,"(play mvt 1, or Finale & Scherzo, or Adagio) (no score available)"
234-1-11573,Flute Trio,Grand Trio Eb Major,Walckiers,Maganini,"Edition Musicus-New York, Inc.",1,(play Moderato or Finale & Scherzo or Adagio) (no score available)
234-1-11576,Flute Trio,Classic Fantasy,Waln,,Neil A. Kjos Music Company,1,
234-1-11577,Flute Trio,Zwei Sonaten fur Drei Querfloten,Weidermann,,Amadeus Verlag,1,(play one entire Sonata)
234-2-11578,Flute Trio,Prelude,Bach,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
234-2-11580,Flute Trio,Theme and Variations Op. 25,Beethoven,Featherston,"Belwin, Inc",2,
234-2-11579,Flute Trio,Menuet in G,Beethoven,McLin,Pro-Art Publications,2,
234-2-11581,Flute Trio,Trio for Flutes Op. 51 No. 1,Berbiguier,,Southern Music Company;ALRY Publications,2,(play mvt 2)
234-2-11583,Flute Trio,Sonata,Boismortier,,"Boosey & Hawkes, Inc.",2,(play mvts 1 & 2)
234-2-11582,Flute Trio,Gavotte and Two Minuets,Boismortier,Voxman/Block,Southern Music Company,2,
234-2-11584,Flute Trio,Flute Fest,Christensen,,"Kendor Music, Inc.",2,
234-2-11585,Flute Trio,Trio No. 1 for Flutes,Costanzo,Wienandt,Southern Music Company,2,(play one mvt)
234-2-11586,Flute Trio,Trio No. 2 for Flutes,Costanzo,Wienandt,Southern Music Company,2,(play one mvt)
234-2-11587,Flute Trio,Trio No. 3 for Flutes,Costanzo,Wienandt,Southern Music Company,2,(play one mvt)
234-2-11588,Flute Trio,Trio No. 4 for Flutes,Costanzo,Wienandt,Southern Music Company,2,(play one mvt)
234-2-11590,Flute Trio,Bourree,Faber,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",2,
234-2-11591,Flute Trio,Folk Dance,Guenther,,"Belwin, Inc",2,
234-2-11593,Flute Trio,Rondo Scherzando,Haydn,,"Boosey & Hawkes, Inc.",2,
234-2-11594,Flute Trio,Three Trios,Haydn,Rampal,International Music Company,2,(play all of trio 2 or 3)
234-2-11592,Flute Trio,Adagio Cantabile,Haydn,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",2,
234-2-11595,Flute Trio,Trio in D Major,Hoffmeister,,Ludwig Doblinger,2,(play one mvt)
234-2-11597,Flute Trio,Six Trios for Three Flutes,Hook,,"Rubank, Inc.",2,(play # 6)
234-2-11596,Flute Trio,Andantino,Hook,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",2,
234-2-11598,Flute Trio,The King's Pipes,Matthews,,Wingert/Jones,2,
234-2-11599,Flute Trio,Sonata No. III (from Chamber Music for Three Flutes),Mattheson,Voxman,"Rubank, Inc.",2,
234-2-11600,Flute Trio,Siciliano,McKay,,C.L. Barnhouse Company,2,
234-2-11601,Flute Trio,Scherzino,Metzger,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",2,
234-2-11608,Flute Trio,Trio,Mozart,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
234-2-11602,Flute Trio,Allegro,Mozart,Guenther,Southern Music Company,2,
234-2-11603,Flute Trio,Allegro and Menuetto,Mozart,Guenther,"Belwin, Inc",2,
234-2-11604,Flute Trio,Larghetto and Menuetto,Mozart,Guenther,"Belwin, Inc",2,
234-2-11605,Flute Trio,Menuetto,Mozart,Guenther,Southern Music Company,2,
234-2-11607,Flute Trio,Rondo,Mozart,Guenther,"Belwin, Inc",2,
234-2-11606,Flute Trio,Romanze,Mozart,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",2,
234-2-11609,Flute Trio,Adagio Ma Non Tanto,Neubaur,Voxman/Block,Southern Music Company,2,
234-2-11610,Flute Trio,Two Moods,Niehaus,,RBC Publications,2,
234-2-11611,Flute Trio,Spanish Rondo,Ostransky,,"Rubank, Inc.",2,
234-2-11612,Flute Trio,Suite for Three Flutes,Presser,,Tenuto Publications,2,
234-2-11613,Flute Trio,Phantasm,Prokofieff,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
234-2-11614,Flute Trio,Allegro,Quantz,Gearhart/Wilkins,Shawnee Press [Flute Sessions],2,
234-2-11615,Flute Trio,Suite in D Major,Quantz,,Edition Kunzelman USA,2,(play two mvts)
234-2-11617,Flute Trio,Capriccio for Three Flutes,Scarlatti,Morgan,Cimarron Music Press,2,(w/o repeats)
234-2-11618,Flute Trio,Menuet Antique,Scheurer,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",2,
234-2-11619,Flute Trio,Caprice,Stewart,,"Kendor Music, Inc.",2,
234-2-11621,Flute Trio,Advent Music Op. 8 No. 1,Thomas,,Medici Music Press,2,
234-2-11622,Flute Trio,Giga,Vivaldi,Rowe,"Kendor Music, Inc.",2,
234-2-11623,Flute Trio,Sarabanda,Vivaldi,Rowe,"Kendor Music, Inc.",2,
234-3-11624,Flute Trio,Chorale,Bach,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11625,Flute Trio,"Russian Suite, Five Characteristic Pieces",Barvinsky/Kabalevsky,Schmidt,"Western International Music, Inc.",3,(play any three)
234-3-11626,Flute Trio,Sonata,Boismortier,,"Boosey & Hawkes, Inc.",3,(play Gavotte)
234-3-11627,Flute Trio,Adagio,Corelli,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11628,Flute Trio,Wiegenlied,Anon. or Trad.,Engebretson,Ed Sueta Publications,3,
234-3-11630,Flute Trio,March,Handel,Gearhart/Wilkins,Shawnee Press [Flute Sessions],3,
234-3-11629,Flute Trio,Little Fugue,Handel,Schaeffer,Pro-Art Publications,3,
234-3-11631,Flute Trio,March in Bb,Handel,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11633,Flute Trio,Menuet and Finale,Haydn,Merriman,C.L. Barnhouse Company,3,
234-3-11632,Flute Trio,Allegro Giocoso,Haydn,Ostling,"Belwin, Inc",3,
234-3-11634,Flute Trio,Four Seasons,McKay,,C.L. Barnhouse Company,3,(play mvts 2 & 3)
234-3-11635,Flute Trio,Canon at the Second,Mozart,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11636,Flute Trio,Canon at the Unison and Octave,Mozart,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11638,Flute Trio,Madrigal,Palestrina,Gearhart/Wilkins,Shawnee Press [Flute Sessions],3,
234-3-11639,Flute Trio,Gavotte (from Harpsichord Suite No. 5),Purcell,Vedeski,Medici Music Press,3,
234-3-11640,Flute Trio,Largo and Minuetto,Quantz,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11641,Flute Trio,Two German Dances,Schubert,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-3-11642,Flute Trio,Let Every Heart Be Merry,Vecchi,Voxman,"Rubank, Inc. [Chamber Music for Three Flutes]",3,
234-1-12216,Flute Trio,Greensleeves Variations,Kibbe,,Shawnee Press,1,"(2 fl, alto fl)"
234-2-26430,Flute Trio,Czech Suite,Blahnik,,"Alliance Publications, Inc.",2,
234-2-26431,Flute Trio,Two Couperin Trios,Couperin,Frost,Great Works Publishing,2,
234-2-26432,Flute Trio,Melody in F,Rubinstein,Lombardo,Lom,2,
234-3-26433,Flute Trio,Simple Gifts,Anon. or Trad.,Halferty,"Kendor Music, Inc.",3,
234-3-26434,Flute Trio,The Water is Wide,Anon. or Trad.,Lombardo,Lom,3,
234-3-26435,Flute Trio,Scarborough Fair,Anon. or Trad.,Lombardo,Lom,3,
234-3-26436,Flute Trio,Aura Lee,Anon. or Trad.,Lombardo,Lom,3,
