Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
302-3-25317,French Horn Solo,Andante and March,Saint-Jacome,Brom,"Kendor Music, Inc.",3,
302-1-25318,French Horn Solo,Concert Rondo,Mozart,,"G. Schirmer, Inc. [Four Horn Concertos and Concert Rondo];Southern Music Company;Excelcia",1,
302-3-25323,French Horn Solo,L'Antique Cor,Cochereau,,International Music Diffusion,3,
302-1-12717,French Horn Solo,Sonate in F Op. 17,Beethoven,,"Cundy-Bettoney Company, Inc.;G. Schirmer, Inc.;Carl Fischer, Inc.",1,(play first or last mvt)
302-1-12718,French Horn Solo,En Foret,Bozza,,Alphonse Leduc,1,
302-1-12719,French Horn Solo,En Irlande,Bozza,,Alphonse Leduc,1,
302-1-12721,French Horn Solo,Two Sonatas,Cherubini,Tuckwell,"G. Schirmer, Inc.",1,(play Sonata # 2)
302-1-12722,French Horn Solo,Rondo in Bb,Cooke,,Schott Company,1,
302-1-12730,French Horn Solo,Concerto in Bb Major,Gliere,Polekh,International Music Company,1,"(play mvt 1, 2 or 3) (Play mvt 2 by MEMORY) NMR:(play mvts. 1 or 3)"
302-1-12731,French Horn Solo,Allegro (from Concerto Op. 40),Goedicke,,"Cundy-Bettoney Company, Inc.",1,
302-1-12733,French Horn Solo,Adagio and Allegro for Horn,Haddad,,Shawnee Press,1,
302-1-12734,French Horn Solo,Sonata,Haddad,,Shawnee Press,1,(play mvt 1 or 2 & 3)
302-1-12736,French Horn Solo,Concerto No. 1 in D,Haydn,,"Cundy-Bettoney Company, Inc.",1,(play first or last mvt)
302-1-12737,French Horn Solo,Concerto No. 2 in D,Haydn,,"Carl Fischer, Inc.;Cundy-Bettoney Company, Inc.",1,(play first or last mvt)
302-1-12735,French Horn Solo,Concertino,Haydn,,"Universal Editions;G. Schirmer, Inc.",1,(play mvt 1 or 2)
302-1-12738,French Horn Solo,Sonata for French Horn,Heiden,,Associated Music Publishers Inc.,1,(play one mvt)
302-1-12740,French Horn Solo,Sonata 1939 for Horn in F,Hindemith,,Schott Company,1,(play first or last mvt)
302-1-12742,French Horn Solo,Sonatina for Horn and Piano,Hummel,,Schott Company,1,(play one mvt)
302-1-12743,French Horn Solo,Concerto,Jacob,,"Joseph Williams, Ltd.",1,(play first or last mvt)
302-1-12746,French Horn Solo,Allegro (from Horn Quintet),Mozart,,"Belwin, Inc",1,
302-1-12748,French Horn Solo,Concerto No. 1 in D Major (including Sansone transposed to Eb),Mozart,,Any unabridged edition,1,(play at least one mvt) (also available separately)
302-1-12751,French Horn Solo,Concerto No. 3,Mozart,,Any unabridged edition;Southern Music Company,1,(play at least 1st OR 3rd mvt) (also available separately)
302-1-12750,French Horn Solo,Concerto No. 2,Mozart,,Any unabridged edition,1,(play at least 1st OR 3rd mvt) (also available separately)
302-1-12755,French Horn Solo,Concerto No. 4,Mozart,,Any unabridged edition,1,(play at least 1st OR 3rd mvt) (also available separately)
302-1-12758,French Horn Solo,Parable Op. 120,Persichetti,,Theodore Presser Company,1,(unaccomp) (play all) NMR:(play all)
302-1-12759,French Horn Solo,Air de Chasse,Piantoni,,Alphonse Leduc,1,
302-1-12760,French Horn Solo,Elegie for Horn and Piano,Poulenc,,"J&W Chester, Ltd.",1,
302-1-12761,French Horn Solo,Pavane pour une Infante de'funte,Ravel,,"G. Schirmer, Inc. [Solos for the Horn Player]",1,
302-1-12765,French Horn Solo,Concerto No. 2 in Eb Major,Rosetti,,International Music Company;Edition Eulenburg GMBH,1,(play mvt 1 or 3)
302-1-12766,French Horn Solo,Morceau de Concert Op. 94,Saint-Saens,,Remick Music Corporation (See Alfred),1,"(play mvts 1 & 2 or 2 & 3) Mvt 1 the beginning through the 10th measure after rehearsal #4. Mvt 2 begins with the piano introduction, 11th measure after rehearsal #4 to the fermata, one measure before rehearsal #7. Mvt 3 begins at rehearsal #7 to the end."
302-1-12767,French Horn Solo,Romance Op. 67,Saint-Saens,,Alphonse Leduc,1,
302-1-12769,French Horn Solo,Adagio and Allegro Op. 70,Schumann,,"G. Schirmer, Inc.;International Music Company",1,
302-1-12729,French Horn Solo,Reveries Op. 24,Glazounow,,"G. Schirmer, Inc. [Solos for the Horn Player]",1,
302-1-12770,French Horn Solo,Concerto Op. 8,Strauss,,"Carl Fischer, Inc.;Southern Music Company;Universal Editions",1,(play first or last mvt)
302-1-12771,French Horn Solo,Concerto No. 1 Op. 11,Strauss,,"Cundy-Bettoney Company, Inc.;Universal Editions",1,(play first or last mvt)
302-1-12773,French Horn Solo,Nocturno Op. 7,Strauss,Franz,Universal Editions;Excelcia,1,
302-1-12774,French Horn Solo,Concerto in D,Telemann,Tuckwell,"G. Schirmer, Inc.",1,(play first or last mvt)
302-1-12776,French Horn Solo,Hunter's Moon,Vinter,,"Boosey & Hawkes, Inc.",1,
302-1-12777,French Horn Solo,Sonata No. 3,Wilder,,"Margun Music, Inc.",1,(play one mvt)
302-2-12778,French Horn Solo,Siciliana,Bach,Kuyper,"Kendor Music, Inc.",2,
302-2-12779,French Horn Solo,Andromeda (Serenade),Beethoven,Poole,"Belwin, Inc",2,
302-2-12781,French Horn Solo,Bolero,Berlioz,Dishinger,Medici Music Press,2,
302-2-12782,French Horn Solo,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,2,
302-2-12783,French Horn Solo,The Earl of Oxford's Marche,Byrd,Dishinger,Medici Music Press,2,
302-2-12784,French Horn Solo,Two Sonatas,Cherubini,Tuckwell,"G. Schirmer, Inc.",2,(play Sonata # 1)
302-2-12785,French Horn Solo,Chant Sans Paroles,Clerisse,,Alphonse Leduc,2,
302-2-12787,French Horn Solo,Suite,Corelli,Dishinger,Medici Music Press,2,
302-2-12792,French Horn Solo,O Del Mio Dolce Ardor,Gluck,,Henri Elkan,2,
302-2-12793,French Horn Solo,Ave Maria,Gounod,Dishinger,Medici Music Press,2,
302-2-12794,French Horn Solo,Adagio,Grazioli,Reynolds,Southern Music Company,2,
302-2-12795,French Horn Solo,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,2,
302-2-12796,French Horn Solo,Hornpipe,Handel,Ployhar,"Belwin, Inc",2,
302-2-12798,French Horn Solo,Farewell Serenade,Herfurth,Voxman,"Belwin, Inc",2,
302-2-12799,French Horn Solo,Sonata for Horn in F,Hindemith,,Schott Company,2,(play mvt 2)
302-2-12800,French Horn Solo,Serenade,Holmes,,Shawnee Press,2,
302-2-12797,French Horn Solo,Allegro and Minuet,Haydn,Hudadoff,"Belwin, Inc [Fifteen Intermediate F Horn Solos]",2,
302-2-12833,French Horn Solo,Waltz (from Serenade for Strings),Tchaikovsky,Hudadoff,"Belwin, Inc [Fifteen Intermediate F Horn Solos]",2,
302-2-12801,French Horn Solo,The Horn of Heimdall,Hurrell,,"Rubank, Inc.",2,
302-2-12786,French Horn Solo,Legend of the Hills,Cohen,Lamb,"Belwin, Inc [Solo Sounds for French Horn Levels 3-5, Vol. 1]",2,
302-2-12788,French Horn Solo,Hornpipers Dance,Forsberg,Johnson/Lamb,"Belwin, Inc [Solo Sounds for French Horn Levels 3-5, Vol. 1]",2,
302-2-12808,French Horn Solo,"Allelulia (from Exsultate, Jubilate)",Mozart,Ployhar/Lamb,"Belwin, Inc [Solo Sounds for French Horn Levels 3-5, Vol. 1]",2,
302-2-12835,French Horn Solo,Melodies (from Der Freischutz),von Weber,Ployhar/Lamb,"Belwin, Inc [Solo Sounds for French Horn Levels 3-5, Vol. 1]",2,
302-2-12802,French Horn Solo,Melodie,Lenom,Voxman,"Rubank, Inc.",2,
302-2-12803,French Horn Solo,Gavotte in Rondeau,Lully,Post,Medici Music Press,2,
302-2-12810,French Horn Solo,Aria (from The Magic Flute),Mozart,,"Cundy-Bettoney Company, Inc.",2,
302-2-12813,French Horn Solo,Concerto No. 4 in Eb,Mozart,,Any unabridged edition,2,(play mvt 2)
302-2-12814,French Horn Solo,Romanze (from Concerto No. 3 in Eb),Mozart,,"Rubank, Inc.",2,
302-2-12811,French Horn Solo,Concerto No. 2 in Eb,Mozart,,Any unabridged edition,2,(play mvt 2)
302-2-12809,French Horn Solo,Andante and Rondeau,Mozart,Merriman,C.L. Barnhouse Company,2,
302-2-12815,French Horn Solo,Sonatina No. 1,Mozart,Ramm,Medici Music Press,2,(play one mvt)
302-2-12780,French Horn Solo,Minuet,Beethoven,Ostrander,"Edition Musicus-New York, Inc. [Concert Album for Horn and Piano]",2,
