Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
921-0-34280,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Franck,,Any unabridged edition,0,(except a Menuetto)
921-5-34277,Full Orchestra,City Trees,Markowski,,Markowski Creative,5,
921-5-34278,Full Orchestra,"Sigurd Jorsalfar, Op.56",Grieg,,Luck's,5,(play mvt. 3) (optional harp)
921-3-34275,Full Orchestra,Dance of the Hours,Ponchielli,Meyer,Highland/Etling,3,
921-5-34276,Full Orchestra,Zeal,Bryant,,Steven Bryant,5,
921-3-34273,Full Orchestra,March of the Dwarfs,Grieg,Story,"Belwin, Inc",3,
921-3-34274,Full Orchestra,"Symphony No. 8, Mvt. 1",Schubert,Meyer,Highland/Etling,3,
921-2-34272,Full Orchestra,Symphony No. 5 (Finale),Beethoven,Meyer,RBC Publications,2,
921-0-18183,Full Orchestra,Overture or one mvt of a symphony,Barber,,Any unabridged edition,0,(except a Menuetto)
921-0-18184,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Beethoven,,Any unabridged edition,0,(except a Menuetto)
921-0-18185,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Berlioz,,Any unabridged edition,0,(except a Menuetto)
921-0-18186,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Bizet,,Any unabridged edition,0,(except a Menuetto)
921-0-18187,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Borodin,,Any unabridged edition,0,(except a Menuetto)
921-0-18188,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Brahms,,Any unabridged edition,0,(except a Menuetto)
921-0-18189,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Dvorak,,Any unabridged edition,0,(except a Menuetto)
921-0-18190,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Glazunov,,Any unabridged edition,0,(except a Menuetto)
921-0-18191,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Hanson,,Any unabridged edition,0,(except a Menuetto)
921-0-18192,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Harris,,Any unabridged edition,0,(except a Menuetto)
921-0-18193,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Haydn,,Any unabridged edition,0,(except a Menuetto)
921-0-18194,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Ives,,Any unabridged edition,0,(except a Menuetto)
921-0-18195,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Mendelssohn,,Any unabridged edition,0,(except a Menuetto)
921-0-18196,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Mozart,,Any unabridged edition,0,(except a Menuetto)
921-0-18197,Full Orchestra,"Overture, tone poem, or one mvt of a symphony",Rimsky-Korsakov,,Any unabridged edition,0,(except a Menuetto)
