Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
444-1-37641,Guitar Quartet,Cattywampus Rompus (Texas Tarantella),Amelkina-Vera,,Les Productions D'Oz,1,
444-1-40639,Guitar Quartet,"Two Sonatas K. 87, K. 46",Scarlatti,Johanson,Les Productions D'Oz,1,(play one sonata)
444-1-40640,Guitar Quartet,"Sonate K. 30, L. 499 Fugue du chat",Scarlatti,Paviot,Les Productions D'Oz,1,
444-1-40641,Guitar Quartet,The Arrival of the Queen of Sheba,Handel,Sparks,Doberman Editions,1,
444-1-40642,Guitar Quartet,Prelude et Fugue No. 4,Bach,Sparks,Doberman Editions,1,
444-1-40636,Guitar Quartet,"Guitar Quartets, Volume 2",various,Nye,"Clear Note [Guitar Quartets, Volume 2]",1,(play Anitra's Dance)
444-1-40637,Guitar Quartet,Nebulae,Amelkina-Vera,,Les Productions D'Oz,1,
444-1-40638,Guitar Quartet,"3 Sonatas K. 175, 421, 450",Scarlatti,Sparks,Les Productions D'Oz,1,(play one sonata)
444-2-17421,Guitar Quartet,"Guitar Quartets, Vol. 2",Anon. or Trad.,Biberian,"J&W Chester, Ltd.",2,(play one of last two)
444-1-17422,Guitar Quartet,"Guitar Quartets, Vol 1",Anon. or Trad.,Biberian,"J&W Chester, Ltd.",1,(play 4 or 5)
444-1-17423,Guitar Quartet,Introduction and Fandango,Boccherini,Sparks,Ludwig Doblinger,1,
444-1-17424,Guitar Quartet,Cuban Landscape with Rain,Brouwer,,Ludwig Doblinger,1,
444-1-17425,Guitar Quartet,Quartet Op. 21,Carulli,Albert,Zimmerman,1,(play one mvt)
444-1-17427,Guitar Quartet,"Music for 3 and 4 Guitars, Vol. 4",Anon. or Trad.,Chandonnet,Ludwig Doblinger,1,(play number 7)
444-1-17429,Guitar Quartet,Canon and Gigue,Pachelbel,Fink,Southern Music Company,1,
444-1-17430,Guitar Quartet,Pavane,Ravel,Hernandez,Southern Music Company,1,
444-1-17431,Guitar Quartet,Works by Ravel,Ravel,Sparks,Ludwig Doblinger,1,(play one)
444-1-17433,Guitar Quartet,"8 Waltzes for 4 Guitars, Vol. 1",Biberian,,"Belwin, Inc",1,(play one)
444-2-17435,Guitar Quartet,3 Dances,Dowland,Biberian,Novello Publications Inc.,2,
444-2-17437,Guitar Quartet,"Music tor 3 or 4 Guitars, Vol. 2",Anon. or Trad.,Gerrits,Ludwig Doblinger,2,
444-2-17438,Guitar Quartet,4 French Dances,Praetorius,Duarte,Novello Publications Inc.,2,(play two)
444-2-17439,Guitar Quartet,8 Dances for four Guitars,Praetorius,Biberian,"Belwin, Inc",2,(play two)
444-2-17440,Guitar Quartet,Sonate in C,Telemann,Danner,Ludwig Doblinger,2,
444-3-17441,Guitar Quartet,Suite,Biberian,,Novello Publications Inc.,3,
444-3-17442,Guitar Quartet,5 Elizabethan Pieces,Duarte,,Broekmans & Van Poppel,3,(play two)
444-3-17443,Guitar Quartet,Album tor the Young,Duarte,,Broekmans & Van Poppel,3,(play two)
444-3-17444,Guitar Quartet,"Music for 3 and 4 Guitars, Vol. 1",Anon. or Trad.,Gerrits,Ludwig Doblinger,3,(play two)
444-3-17445,Guitar Quartet,5 Pieces from Danserye,Susato,Staak,Broekmans & Van Poppel,3,(play two)
444-3-17446,Guitar Quartet,Nine Easy Quartets,van der Staak,,Broekmans & Van Poppel,3,(play two)
444-3-17447,Guitar Quartet,Seven Quartets,van der Staak,,Broekmans & Van Poppel,3,(play two)
444-1-29971,Guitar Quartet,Baiao de Gude,Bellinati,,Guitar Solo Publication,1,
444-1-29972,Guitar Quartet,Pacific Coast Highway,York,,Coronet Press,1,
444-1-29973,Guitar Quartet,Toccata,Brouwer,,Guitar Solo Publication,1,
444-1-30597,Guitar Quartet,A Furiosa,Bellinati,,Guitar Solo Publication,1,
444-1-30598,Guitar Quartet,Bantu and Quiccan,York,,Guitar Solo Publication,1,(play one mvt)
444-1-30599,Guitar Quartet,Austin Tango,Dyens,,D'Oz,1,
444-1-30600,Guitar Quartet,El Payaso,Cruz,,MAC Publications,1,
444-1-30601,Guitar Quartet,Sonate en sol mineur,Vivaldi,,Ludwig Doblinger,1,(play two mvts.)
444-1-30602,Guitar Quartet,Capricho Catalan and Zortzico,Albeniz,Eriksson,Ludwig Doblinger,1,
444-1-30603,Guitar Quartet,Funeral March of a Marionette,Gounod,Caluda,Theodore Presser Company,1,
444-1-30604,Guitar Quartet,Quartet in G Major,Haydn,Wolff,Clear Note,1,(play two mvts.)
444-1-30605,Guitar Quartet,Chasing Dragons,Au,,Editions Orphee,1,
444-1-30606,Guitar Quartet,Nutcracker Suite,Tschaikowsky,Adele,Ludwig Doblinger,1,(play two from mvts. three thru eight)
444-1-30607,Guitar Quartet,Serenade in Four Movements (Eine Kleine Nachtmusik),Mozart,Sparks,Dobberman-Yppan,1,"(play mvts. one, two, or four)"
