Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
434-1-37643,Guitar Trio,Uplands Wedding,Kaya,,Les Productions D'Oz,1,
434-1-37642,Guitar Trio,Funny Blues,Tisserand,,Les Productions D'Oz,1,
434-1-17183,Guitar Trio,Bajo de la Palmera,Albeniz,,Zerboni,1,
434-1-17185,Guitar Trio,"Music for 3 and 4 Guitars, Vol. 4",Anon. or Trad.,Chandonnet,Ludwig Doblinger,1,"(play from the following: 6, 8, or 9)"
434-1-17186,Guitar Trio,Trio in Fa Maggiore,Diabelli,Company,Zerboni,1,"(play Adagio-Allegro Moderato ,or Miuett-Trio-Minuetto, or Rondo)"
434-1-17188,Guitar Trio,"Music for 3 and/or 4 Guitars, Vol. 3",Anon. or Trad.,Gerrits,Ludwig Doblinger,1,(play 16 or 17)
434-1-17189,Guitar Trio,Trio Op. 12,Gragnani,,Zerboni,1,(play one mvt)
434-1-17190,Guitar Trio,Rondo,Hindemith,,Schott Company,1,
434-1-17191,Guitar Trio,Sonatine Viennoise,Mozart,Pujol,Max Eschig,1,(play two mvts)
434-2-17192,Guitar Trio,Guitar Trios from 4 Centuries,Anon. or Trad.,Criswick,"J&W Chester, Ltd.",2,
434-2-17193,Guitar Trio,"Music for 3 or 4 Guitars, Vol. 2",Anon. or Trad.,Gerrits,Ludwig Doblinger,2,
434-2-17194,Guitar Trio,Trio Op. 71,Giuliani,,CEP,2,
434-2-17195,Guitar Trio,6 Pieces for 3 Guitars,Lawes,Kreidler,Schott Company,2,
434-2-17196,Guitar Trio,Moment Musical,Schubert,Gotze,Schott Company,2,
434-2-17197,Guitar Trio,Concerto Grosso Op. 3 No. 8,Vivaldi,Gerrits/Chandonnet,Ludwig Doblinger,2,
434-2-17198,Guitar Trio,Trio Op. 26,von Call,,Zerboni,2,
434-2-17199,Guitar Trio,"Musik der Wiener Klassik, Nos. 1-6",Anon. or Trad.,Wolki,Schott Company,2,
434-2-17200,Guitar Trio,Romantic Music for 3 Guitars,Anon. or Trad.,Wolki,Schott Company,2,
434-3-17201,Guitar Trio,Minuet in G,Beethoven,Pick,"Foster Music Publisher, Inc.",3,
434-3-17202,Guitar Trio,Minuet (from Quintet in E),Boccherini,Gotze,Schott Company,3,
434-3-17203,Guitar Trio,"Music for 3 and 4 Guitars, Vol. 1",Anon. or Trad.,Gerrits,Ludwig Doblinger,3,(play two)
434-3-17204,Guitar Trio,7 Easy Pieces,Hoekema,,Broekmans & Van Poppel,3,(play two)
434-3-17205,Guitar Trio,30 Study Pieces Op. 168,Kuffner,Gotze,Schott Company,3,(play two)
