Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
660-1-17108,Harp Ensemble,Two Sonatines and Two Pieces,Braal,,Donemus,1,TRIO (play either Sonatine)
660-2-17134,Harp Ensemble,Triptic Dance,Beauchant,Salzedo,Lyra Music Company,2,TRIO
660-2-17141,Harp Ensemble,White Mountain Suite,Curcio,,SCP,2,TRIO
660-2-17143,Harp Ensemble,Danses des Femes,Gretry,,Lyra Music Company,2,TRIO
660-3-17170,Harp Ensemble,Les Agneaux Danset,Grandjany,,Lyra Music Company,3,TRIO
660-2-17375,Harp Ensemble,Harp Quartet Series,Marson,,Salvi Publications [Harp Quartet Series],2,QUARTET (play Santa Lucia)
660-1-17803,Harp Ensemble,Sonata in Re,Albeniz,Dudley,Lyon & Healy Publications;Barrington Music Publications,1,TRIO
660-1-17804,Harp Ensemble,A Fresco,Andres,,Lyon & Healy Publications,1,QUARTET
660-1-17805,Harp Ensemble,"Jesu, Joy of Man's Desiring",Bach,,Lyon & Healy Publications,1,TRIO
660-1-17806,Harp Ensemble,Moonlight Sonata,Beethoven,Pack,Lyon & Healy Publications,1,TRIO
660-1-17811,Harp Ensemble,Liebestraum,Liszt,Pack,Lyon & Healy Publications,1,TRIO
660-1-17812,Harp Ensemble,Canon in D,Pachelbel,Taylor,Lyon & Healy Publications,1,SEXTET
660-1-17813,Harp Ensemble,Le Cygne,Saint-Saens,Pack,Lyon & Healy Publications,1,TRIO
660-2-25543,Harp Ensemble,Rondeau,Mouret,Pack,Lyon & Healy Publications,2,TRIO
660-2-25544,Harp Ensemble,Les Pins de Charlannes,Renie,,Editions Musicales Hortensia,2,(2 harps)
660-3-25545,Harp Ensemble,Court Dance,Curcio,,SCP,3,TRIO
660-3-25546,Harp Ensemble,King Arthur Suite,Curcio,,SCP,3,TRIO
660-1-25580,Harp Ensemble,Two Duets by JS Bach,Bach,Barber,GB [Two Duets by J.S. Bach],1,(2 harps) (play Prelude in e minor)
660-1-25588,Harp Ensemble,Duet for Harps,Barber,,Vanderbilt,1,(2 harps) (play one mvt)
660-1-25651,Harp Ensemble,Evening Prayer,Humperdinck,,Lyon & Healy Publications,1,(2 harps)
660-1-25693,Harp Ensemble,Second Harp Part for Three Famous Compositions,Salzedo,,Lyra Music Company,1,(2 harps) (play one)
660-2-25723,Harp Ensemble,Minuetto (from L'Arlesienne Suite No. 1),Bizet,Curcio,"SCP;Carl Fischer, Inc.",2,TRIO
660-2-29228,Harp Ensemble,Dyades,Andres,,International Music Diffusion,2,(2 harps)
660-2-29229,Harp Ensemble,Frere Jacques,Challan,,Alphonse Leduc,2,(2 harps)
660-2-29230,Harp Ensemble,Two Duets for Harps,Grandjany,,Vanderbilt,2,(2 harps) (play ONE duet)
660-2-29231,Harp Ensemble,Beyond the Reef,Molnar,,Lyra Music Company,2,(2 harps)
660-2-29232,Harp Ensemble,"Two or More Harps Flexible Collection, Vol. 1",Ortiz,,"AROY MUSIC [Two or More Harps Flexible Collection, Vol. 1 ]",2,(2 harps) (play Habanera Girls)
660-1-29233,Harp Ensemble,"Two or More Harps Flexible Collection, Vol. 1",Ortiz,,"AROY MUSIC [Two or More Harps Flexible Collection, Vol. 1]",1,TRIO (play Cumbia Deliciosa OR Llano OR Danza de Luzma)
660-2-29234,Harp Ensemble,Siciliano,Bach,Paret,Lyra Music Company,2,(2 harps)
660-1-29235,Harp Ensemble,6th French Suite,Bach,Salzedo,Lyra Music Company,1,(2 harps) (play one mvt)
660-2-40043,Harp Ensemble,A Circle of Harps,Traditional,Hurrell,afghanpressmusic.com [A Circle of Harps],2,TRIO (play Be Thou My Vision)
660-1-29241,Harp Ensemble,On Wings of Song,Mendelssohn,Salzedo,Lyra Music Company,1,(2 harps)
660-1-29242,Harp Ensemble,Polka in C,Press,,Lyra Music Company,1,(2 harps)
660-1-29244,Harp Ensemble,"Prelude, Fugue, Variation",Franck,,Lyra Music Company,1,(2 harps)
660-1-40029,Harp Ensemble,A Scott Joplin Montage,Joplin,Voltz,Chiera Music,1,TRIO
660-1-40030,Harp Ensemble,Angelica for Three Harps,Horstman,,Cindy Horstman Music,1,TRIO
660-1-40031,Harp Ensemble,Dragonflies for Two Harps,Horstman,,Cindy Horstman Music,1,(two harps)
660-1-40032,Harp Ensemble,En Bateau for Two Harps,Debussy,Barrington,Barrington Music Publications,1,(two harps)
660-1-40033,Harp Ensemble,Evening Prayer from “Hansel and Gretel”,Humperdinck,Gist,Lyon & Healy Publications,1,TRIO
