Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
602-1-17876,Harp Solo,Etudes for Harp,Bach,Grandjany,"Carl Fischer, Inc. [Etudes for Harp]",1,(play Andante OR Saranbande)
602-1-17877,Harp Solo,Bourree from Partita I,Bach,Salzedo,Lyra Music Company,1,
602-1-17878,Harp Solo,Piece en Sol,Bach,Renie,Lyra,1,
602-1-17880,Harp Solo,Solos for the Harp Player,various,Lawrence,"G. Schirmer, Inc. [Solos for the Harp Player]",1,(play Siciliano OR Giga OR First Arabesque)
602-1-17881,Harp Solo,Pedals on Vacation,Braun,,Lyra,1,
602-1-17882,Harp Solo,Interlude,Britten,,"Boosey & Hawkes, Inc. [Ceremony of Carols, A]",1,
602-2-17884,Harp Solo,Sarabande from the “Quatrieme Concert Royal”,Couperin,Salzedo,"Lyra Music Company;G. Schirmer, Inc.",2,
602-1-17886,Harp Solo,En Bateau,Debussy,Renie,Durand,1,
602-1-17887,Harp Solo,La Fille aux Cheveaux de Lin,Debussy,Salzedo,Lyra,1,
602-1-17888,Harp Solo,Bagatelles,Dello Joio,,Marks Music Corporation,1,(play two)
602-1-17889,Harp Solo,Concerto for Harp,Dittersdorf,,Salvi,1,(play one mvt)
602-1-17890,Harp Solo,Harp solo (from Lucia di Lammermoor),Donizetti,Salzedo,Lyra,1,
602-1-17891,Harp Solo,Six Sonatinas,Dussek,Lawrence & Owens,Lyra Music Company,1,"(play No. 1, 2, OR 3)"
602-2-17892,Harp Solo,Windy Nights,Forst,,Lyra Music Company,2,
602-1-17893,Harp Solo,Children at Play Op. 16,Grandjany,,Durand,1,
602-1-17894,Harp Solo,Deux Chansons Populaires Françaises,Grandjany,,Durand;Lyra Music Company;Masters Music Publications,1,(play one)
602-2-17896,Harp Solo,Great Day,Gustavson,,Gustavson Music Publications,2,
602-1-17897,Harp Solo,Concerto in Bb,Handel,,"Elkan-Vogel Company, Inc.;G. Schirmer, Inc.;Durand;Lyra;Salvi;Byron-Douglas Publishing Company",1,(play one mvt)
602-1-17898,Harp Solo,Harmonious Blacksmith,Handel,Salzedo,Lyra,1,
602-1-17899,Harp Solo,Passacaille,Handel,Beon,Alphonse Leduc,1,
602-1-17900,Harp Solo,"Gitana, Op. 21",Hasselmans,,Durand;Public Domain,1,
602-1-17901,Harp Solo,"Gondoliera 2e barcarolle pour la harpe, Op. 39",Hasselmans,,Durand;Lyra Music Company;Public Domain,1,
602-1-17902,Harp Solo,Fantaisie pour harpe sur un theme de J. Haydn,Grandjany,,Alphonse Leduc,1,
602-1-17903,Harp Solo,Theme and Variations,Haydn,Salzedo,"Carl Fischer, Inc.",1,
602-1-17904,Harp Solo,Sonata Op. 127,Hovhaness,,C.F. Peters Corporation;Wise Music Group,1,(play one mvt)
602-1-17905,Harp Solo,Granada,Lara,Elster,Peer/Southern Organization,1,
602-1-17906,Harp Solo,Malaguena,Lecuona,Grandjany,Marks Music Corporation,1,
602-1-17910,Harp Solo,Canon in D,Pachelbel,McDonald,M. Whitmark & Sons,1,
602-1-17911,Harp Solo,Sonata in c minor,Pescetti,Salzedo,Lyra Music Company,1,(play one mvt)
602-1-17913,Harp Solo,Prelude in C Op. 12 No. 7,Prokofieff,Salzedo/Lawrence,Lyra,1,
602-1-17914,Harp Solo,Purcell for the Harp,Purcell,Owens,"G. Schirmer, Inc. [Purcell for the Harp]",1,(play Hornpipe and Alamande)
602-1-17915,Harp Solo,Siciliana (da un pezzo di liuto del sec. VXI),Respighi,Grandjany,"Ricordi & Company, Inc.",1,
602-1-17916,Harp Solo,Sarabanda e Toccata,Rota,,"Ricordi & Company, Inc.",1,(play Sarabande OR Toccata)
