Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
502-1-32800,Keyboard Percussion Solo,Holiday,Weezer,Beall,Bachovich Music Publications,1,(marimba) (5.0-octave) (4 mallets)
502-1-32792,Keyboard Percussion Solo,Lilia's Lullaby,Oetomo,,Editions Svitzer [Two Lullabies],1,(marimba) (5.0-octave) (4 mallets)
502-1-32794,Keyboard Percussion Solo,Canon in D,Pachelbel,Beall,Bachovich Music Publications,1,(marimba) (5.0-octave) (4 mallets)
502-1-32795,Keyboard Percussion Solo,Memento,Trevino,,Ivan Trevino Music,1,(marimba) (5.0 OR 4.3 octave) (4 mallets)
502-3-32811,Keyboard Percussion Solo,Stella Polaris,Berg,,Editions Svitzer [5 Beginning-Level Solos for the Developing Mallet Player],3,(play one) (marimba) (4.3-octave - 5.0-octave) (4 mallets)
502-1-32750,Keyboard Percussion Solo,Over the Rainbow,Arlen,Oetomo,"Tapspace Publications, LLC",1,(marimba) (5.0-octave) (4 mallets)
502-1-32751,Keyboard Percussion Solo,Blue Memories,Berg,,Editions Svitzer,1,(marimba) (5.0-octave) (4 mallets)
502-1-14768,Keyboard Percussion Solo,Frogs,Abe,,Stu4,1,"(marimba)(4.0-octave, 4 mallet)"
502-1-14769,Keyboard Percussion Solo,Asturias,Albeniz,Stevens (trans),Keyboard Percussion Publications,1,"(Leyenda) (marimba)(4.5-octave, 4 mallets)"
502-1-14771,Keyboard Percussion Solo,Solfeggio in c minor,Bach,Brody,Southern Music Company,1,"(marimba)(4.5-octave, 2 mallets)"
502-1-14866,Keyboard Percussion Solo,Back Talk,Breuer,,"Alfred Music Company, Inc.",1,(xylophone)(piano accomp)(2 mallets)
502-1-14780,Keyboard Percussion Solo,October Night,Burritt,,Ludwig Music Publishing Company,1,"(marimba)(play mvt 2)(4.3-octave, 4 mallet)"
502-1-14782,Keyboard Percussion Solo,Concertino for Marimba,Creston,,"G. Schirmer, Inc.",1,"(marimba)( play one mvt) (piano accomp) (4.3-octave, 2 & 4 mallet)"
502-1-14787,Keyboard Percussion Solo,Mirror from Another,Friedman,,"Belwin, Inc",1,(vibraphone) (play one)(4 mallets)
502-1-14789,Keyboard Percussion Solo,Concertino for Marimba,Frock,,Southern Music Company,1,(marimba)(4.0-octave)
502-1-14790,Keyboard Percussion Solo,Song of the Libra,Gaetano,,"Music for Percussion, Inc.",1,"(vibraphone)(4.0-octave, 4 mallet)"
502-1-14792,Keyboard Percussion Solo,Monograph IV,Gipson,,Stu4,1,"(marimba)(4.3-octave, 4 mallet)"
502-2-14877,Keyboard Percussion Solo,Prayer,Gipson,,Southern Music Company,2,(marimba)(4 mallets)
502-1-14791,Keyboard Percussion Solo,Wallflower Snowbird Carillon,Gibson,,Stu4,1,(vibraphone)(play two pieces)(4 mallets)
502-1-14795,Keyboard Percussion Solo,Gitano,Gomez,,Southern Music Company,1,"(marimba) (play mvt 1 or 2)(4.3-octave, 4 mallet)"
502-1-14796,Keyboard Percussion Solo,Rain Dance,Gomez,,Southern Music Company,1,"(marimba)(4.3-octave, 4 mallet)"
502-1-14797,Keyboard Percussion Solo,The Whirlwind,Green,Schinstine,Southern Music Company,1,(marimba or xylophone)(2 mallets)
502-1-14798,Keyboard Percussion Solo,The True Lover's Farewell,Gwin,,Southern Music Company,1,"(marimba)(4.3-octave, 4 mallet)"
502-2-14885,Keyboard Percussion Solo,Sonata No. I-Andante and Allegro,Handel,,"G. Schirmer, Inc. [Six Sonatas for Violin and Piano]",2,(marimba) (piano accomp)(2 mallets)
