Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
179-1-34241,Madrigal,"Open the Window, Noah",Althouse,,"Alfred Music Company, Inc.",1,(SATB)
179-3-34236,Madrigal,Tenebrae factae sunt,Haydn,ed. Gibb,CPDL,3,(SATB)
179-3-34235,Madrigal,Du fond de ma pensee,di Lasso,ed. Imre,CPDL,3,(SATB)
179-3-34234,Madrigal,Alleluia Madrigal,Moore,,"Alfred Music Company, Inc.",3,(SATB)
179-2-34233,Madrigal,"O Lord, in Thee is all my trust",Tallis,ed. Kelecom,CPDL,2,(SATB)
179-2-34232,Madrigal,Elohim Hashivenu,Rossi,ed. Rottlander,CPDL,2,(SATB)
179-2-34231,Madrigal,Let the Song Begin,Moore,,"Alfred Music Company, Inc.",2,(SATB)
179-2-34230,Madrigal,Ay! Linda Amiga,Anonymous,ed. Leininger,Alliance Music Publications,2,(SATB)
179-1-34229,Madrigal,Vita de la Mia Vita,Hawley,,Hinshaw Music Inc.,1,(SATB)
179-1-34228,Madrigal,Magi videntes stellam,Clemens non Papa,ed. Marble,CPDL,1,(SATB)
179-1-34227,Madrigal,"Amor, Io Sento L'alma",Lauridsen,,Southern Music Company,1,(SATB) (divisi)
179-1-34226,Madrigal,Mentre io miravo fiso,Montiverdi,ed. Carpentier,CPDL,1,(SATB)
179-1-34225,Madrigal,Now is the Month of Maying!,Morley,Shaw,"Alfred Music Company, Inc.",1,(SATB) (percussion)
179-1-34224,Madrigal,Oy Es Dia De Placer,Pascual,Noblett,Walton Music Corporation,1,(SATB) (percussion)
179-1-20652,Madrigal,Mon Coeur Se Recommande A Vous,Anon. or Trad.,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 2 (Love and Marriage)]",1,(SATB)
179-1-20653,Madrigal,Il Bianco e Dolce Cigno,Arcadelt,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];Hal Leonard Music, Inc. [The King's Singers European Renaissance];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 1 (Animal Kingdom)]",1,(SATB)
179-1-20655,Madrigal,Margot Labourez Les Vignes,Arcadelt,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 3 (Desirable Women)]",1,(SATB)
179-1-20659,Madrigal,Contrapunto Bestiale,Banchieri,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 1 (Animal Kingdom)]",1,(SSATB)
179-1-20663,Madrigal,All Creatures Now Small,Bennet,,"Oxford University Press [Oxford Book of English Madrigals, The]",1,(SSATB)
179-1-20664,Madrigal,Weep O Mine Eyes,Bennet,,"Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Oxford University Press [Oxford Book of English Madrigals, The];G. Schirmer, Inc. [Invitation to Madrigals, Book Two];Hal Leonard Music, Inc. [king'singers English Renaissance, Volume 1]",1,(SATB)
179-1-20667,Madrigal,"Let Go, Why Do You Stay Me?",Bennett,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SATB)
179-1-20672,Madrigal,Alles Was Ihr Tut,Buxtehude,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 4];Shawnee Press",1,(SATB)
179-1-20676,Madrigal,"Radiant Stars, Above the Mountains Glowing",Cui,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SSATB)
179-1-20679,Madrigal,Lieblich ich horte singen,Demantius,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",1,(SSATB)
179-1-20682,Madrigal,Bon jour mon coeur,di Lasso,,"G. Schirmer, Inc. [European Madrigals]",1,(SATB)
179-1-20692,Madrigal,Chi la gagliarda,Donato,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",1,(SATB) (Italian) (sing one verse)
179-1-20699,Madrigal,Fair Phyllis,Farmer,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Oxford University Press [Oxford Book of English Madrigals, The];G. Schirmer, Inc. [Invitation to Madrigals, Book Two];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 3 (Desirable Women)]",1,(SATB)
179-1-20710,Madrigal,Coletta,Gevaert,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SATBB)
179-1-20711,Madrigal,The Silver Swan,Gibbons,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2];Oxford University Press [Oxford Book of English Madrigals, The];Hal Leonard Music, Inc. [king'singers English Renaissance, Volume 1];E.C. Schirmer Music Company [A Cappella Singer, The];Hinshaw Music Inc.",1,(five-part mixed)
179-1-20714,Madrigal,"You Defy Me, Beloved Foe",Giovanelli,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SSATB)
179-1-20716,Madrigal,Come Away Sweet Love,Greaves,,"Oxford University Press [Oxford Book of English Madrigals, The]",1,(SSATB)
179-1-20720,Madrigal,Nun fanget an ein guts Liedlein,Hassler,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",1,(SATB)
179-1-20721,Madrigal,Tanzen und Springen,Hassler,,"Hal Leonard Music, Inc. [The King's Singers European Renaissance];Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)];Oxford University Press [Madrigals and Partsongs]",1,(SSATB)
179-1-20722,Madrigal,Vergangen Ist Mir Gluck und Heyl,Issak,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 4]",1,(SATB)
179-1-20723,Madrigal,A Ce Joli Mois,Jannequin,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 4 (The Seasons)]",1,(SATB)
179-1-20727,Madrigal,Chanter je veux,Lassus,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",1,(SSATB)
179-1-20740,Madrigal,"Dainty, Fine, Sweet Nymph",Morley,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SATTB)
179-1-20741,Madrigal,"Fire, Fire (Fyre, Fyre)",Morley,,"Oxford University Press [Oxford Book of English Madrigals, The];Hal Leonard Music, Inc. [king'singers English Renaissance, Volume 1];G. Schirmer, Inc. [European Madrigals]",1,(SSATB)
179-1-20743,Madrigal,"I Love, Alas, I Love Thee",Morley,,"Hal Leonard Music, Inc. [The King's Singers European Renaissance];Frank Music Corporation [Madrigals of the Renaissance]",1,(SATBB)
179-1-20744,Madrigal,It Was a Lover and His Lass,Morley,,"G. Schirmer, Inc. [European Madrigals]",1,(SATB)
179-1-20746,Madrigal,My Bonny Lass,Morley,,"E.C. Schirmer Music Company [A Cappella Singer, The];Oxford University Press [Madrigals and Partsongs];Oxford Press [Oxford Book of English Madrigals]",1,(SATTB)
179-1-20749,Madrigal,Said I That Amaryllis,Morley,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 3 (Desirable Women)]",1,(SSATB)
179-1-20750,Madrigal,"Shoot, False Love, I Care Not",Morley,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SSATB)
179-1-20751,Madrigal,Since My Tears and Lamenting,Morley,,"Galaxy Music Corporation [Invitation to Madrigals, Book 2]",1,(SATB)
179-1-20752,Madrigal,Sing We and Chant It,Morley,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SSATB)
179-1-20757,Madrigal,Pourquoi donc ne fringuerons-nous,Passereau,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",1,(SATB)
179-1-20768,Madrigal,Soll Denn So Mein Herz,Schein,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 4];Shawnee Press",1,(SSATB)
179-1-20769,Madrigal,Mit Lust Tret ich an diesen Tanz (With Joy I Dance All Down the Line),Senfl,,"G. Schirmer, Inc. [European Madrigals]",1,(SSATBB)
179-1-20779,Madrigal,"Mother, I Will Have A Husband",Vautor,,"Oxford University Press [Oxford Book of English Madrigals, The];Harold Flammer, Inc. [Renaissance to Baroque, Vol. 3];Shawnee Press",1,(SATB)
179-1-20780,Madrigal,Sweet Suffolk Owl,Vautor,,"Oxford University Press [Oxford Book of English Madrigals, The];Oxford University Press [Madrigals and Partsongs]",1,(SSATB)
179-1-20782,Madrigal,One Smiling Summer Morning,Verdelot,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SATB)
179-1-20784,Madrigal,Lady Your Eye My Love Enforced,Weelkes,,"E.C. Schirmer Music Company [A Cappella Singer, The]",1,(SSATB)
179-1-20785,Madrigal,"O Care, Thou Wilt Despatch Me",Weelkes,,"Oxford University Press [Oxford Book of English Madrigals, The]",1,(SSATB)
179-1-20787,Madrigal,"Wohlauf, ihr Gaste",Widmann,,"G. Schirmer, Inc. [European Madrigals]",1,(SATB)
179-1-20788,Madrigal,"Adieu, Sweet Amarillis",Wilbye,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Oxford University Press [Oxford Book of English Madrigals, The];E.C. Schirmer Music Company [A Cappella Singer, The];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 3 (Desirable Women)];Galaxy Music Corporation [Invitation to Madrigals, Book 2]",1,(SATB)
179-1-20793,Madrigal,Flora Gave Me Fairest Flowers,Wilbye,,"Frank Music Corporation [Madrigals of the Renaissance];E.C. Schirmer Music Company [A Cappella Singer, The];Hal Leonard Music, Inc. [Madrigals of the Renaissance]",1,(SSATB)
179-1-20796,Madrigal,Sweet Honey-Sucking Bees,Wilbye,,"Oxford University Press [Oxford Book of English Madrigals, The]",1,(SSATB)
179-1-20654,Madrigal,L'Alma Mia Donna E Bella,Arcadelt,Hall,"National Music Publishers, Inc.",1,(SATB)
179-1-20658,Madrigal,Ad Un Dolce Usignolo,Banchieri,Hall,"National Music Publishers, Inc.",1,(SATB)
179-1-20660,Madrigal,Counterpoint Of The Animals (Contrapunto bestiale alla mente),Banchieri,Greyson,"Bourne, Co.",1,(SSATB)
179-1-20671,Madrigal,Three Contemporary Madrigals,Butler,,Hope Publishing Company,1,(SATB) (sing one madrigal)
179-1-20674,Madrigal,Though Amaryllis Dance,Byrd,Deller,"Oxford University Press [Oxford Book of English Madrigals, The]",1,(SATB)
179-1-20684,Madrigal,"Flee, O Flee From Love's Desire",di Lasso,Hirt,Hinshaw Music Inc.,1,(SATB)
179-1-20688,Madrigal,The Big Fat Goose (Audite Nova!),di Lasso,Mason,Walton Music Corporation,1,(SATB)
