Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
462-1-40739,Miscellaneous Guitar Ensemble,Rosewood Book,various,Greenwood & Rosenblum,"Carl Fischer, Inc. [Rosewood Book]",1,(guitar & flute OR violin) (play Reverie OR Pavane Pour Une Infante Defunte OR Andante OR Siciliana)
462-1-40740,Miscellaneous Guitar Ensemble,Semper Dowland Semper Dolens,Dowland,Nye,Clear Note,1,QUINTET
462-1-40741,Miscellaneous Guitar Ensemble,The King of Denmark's Galliard,Dowland,Nye,Clear Note,1,QUINTET
462-1-40742,Miscellaneous Guitar Ensemble,The Fairy Round Galliard,Holborne,Nye,Clear Note,1,QUINTET
462-1-40743,Miscellaneous Guitar Ensemble,Autumn Salsa,Loncar,,Les Productions D'Oz,1,QUINTET
462-1-40744,Miscellaneous Guitar Ensemble,Spring Salsa,Loncar,,Les Productions D'Oz,1,QUINTET
462-1-40745,Miscellaneous Guitar Ensemble,Winter Salsa,Loncar,,Les Productions D'Oz,1,QUINTET
462-1-40746,Miscellaneous Guitar Ensemble,"Adagio from ""Pathetique Sonata""",Beethoven,Hirsh,guitarensemblemusic.com,1,QUINTET (four guitars & contrabasse OR cello)
462-1-40747,Miscellaneous Guitar Ensemble,Overture de Carmen,Bizet,Levesque,Les Productions D'Oz,1,QUINTET (four guitars & contrabasse)
462-1-40748,Miscellaneous Guitar Ensemble,Intermezzo,Granados,Massicotte,Les Productions D'Oz,1,QUINTET (four guitars & contrabasse)
462-1-40749,Miscellaneous Guitar Ensemble,Intermezzo,de Falla,Hirsh,guitarensemblemusic.com,1,SEXTET
462-1-40750,Miscellaneous Guitar Ensemble,Guitarchestra No. 10,Houghton,,Les Productions D'Oz,1,SEXTET
462-1-40751,Miscellaneous Guitar Ensemble,Summer Salsa,Loncar,,Les Productions D'Oz,1,SEXTET
462-1-40752,Miscellaneous Guitar Ensemble,"Concerto Grosso Op. 3, No. 11",Vivaldi,Hirsh,guitarensemblemusic.com,1,SEXTET (play 1st mvt)
462-1-40753,Miscellaneous Guitar Ensemble,Into The Suite,Hirsh,,guitarensemblemusic.com,1,SEXTET (play 3rd mvt)
462-1-40754,Miscellaneous Guitar Ensemble,Claire de Lune,Debussy,Hirsh,guitarensemblemusic.com,1,SEPTET
462-1-40755,Miscellaneous Guitar Ensemble,Ritual,Loncar,,Les Productions D'Oz,1,SEPTET
462-1-40756,Miscellaneous Guitar Ensemble,La Vida Breve,de Falla,Hirsh,guitarensemblemusic.com,1,"SEPTET (requinto, five guitars & contrabasse)"
462-1-40757,Miscellaneous Guitar Ensemble,Tirandosaurus,Kindle,,Edition Kalimba,1,SEPTET (six guitars & electric bass)
462-1-40758,Miscellaneous Guitar Ensemble,Rumba Flamenca,Kreidler,,Joachim-Trekel-Musikverlag,1,"SEPTET (two mandolins, mandola, two guitars, contrabasse, & percussion)"
462-1-40759,Miscellaneous Guitar Ensemble,"Acerca del cielo, el aire y la sonrisa",Brouwer,,Dobberman-Yppan,1,OCTET
462-1-40760,Miscellaneous Guitar Ensemble,Attic,York,,Dobberman-Yppan,1,NONET
462-2-40761,Miscellaneous Guitar Ensemble,Rosewood Book,various,Greenwood & Rosenblum,"Carl Fischer, Inc. [Rosewood Book]",2,(guitar & flute OR violin) (play Serenade OR The Swan OR Valse Sentimentale OR Little Italian Song OR Minuet OR Gymnopedie No. 1)
462-2-40762,Miscellaneous Guitar Ensemble,The Earl of Essex Galliard,Dowland,Nye,Clear Note,2,QUINTET
462-2-40763,Miscellaneous Guitar Ensemble,M. George Whitehead his Almand,Dowland,Nye,Clear Note,2,QUINTET
462-2-40764,Miscellaneous Guitar Ensemble,As It Fell on a Holie Eve,Holborne,Nye,Clear Note,2,QUINTET
462-2-40765,Miscellaneous Guitar Ensemble,Heigh ho Holiday,Holborne,Nye,Clear Note,2,QUINTET
462-2-40766,Miscellaneous Guitar Ensemble,Blackbird,Lennon & McCartney,Couasnon,Editions Henry Lemoine,2,QUINTET
462-2-40767,Miscellaneous Guitar Ensemble,"Oh, Shenandoah",Traditional,Levesque,Les Productions D'Oz,2,QUINTET
462-2-40768,Miscellaneous Guitar Ensemble,Paysage Iberique,Levesque,,Les Productions D'Oz,2,QUINTET (four guitars & contrabasse)
462-2-40769,Miscellaneous Guitar Ensemble,Lady Madonna,Lennon & McCartney,Couasnon,Editions Henry Lemoine,2,SEXTET
462-2-40770,Miscellaneous Guitar Ensemble,Nota Bene,Levesque,,Les Productions D'Oz,2,SEXTET
462-2-40771,Miscellaneous Guitar Ensemble,"Adagio from ""Moonlight Sonata""",Beethoven,Hirsh,guitarensemblemusic.com,2,SEXTET (five guitars & contrabasse)
462-2-40772,Miscellaneous Guitar Ensemble,Las Ramblas,Lachance,,Les Productions D'Oz,2,SEXTET (five guitars & contrabasse)
462-3-40773,Miscellaneous Guitar Ensemble,Packington's Plus,Hirsh,,guitarensemblemusic.com,3,QUINTET
462-3-40774,Miscellaneous Guitar Ensemble,Romanza Rumba,Goldberg,,Guitar Chamber Music Press,3,QUINTET (four guitars & contrabasse)
462-3-40775,Miscellaneous Guitar Ensemble,Indicatif... Under 18,Levesque,,Les Productions D'Oz,3,QUINTET (four guitars & contrabasse)
