Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
373-1-13593,Miscellaneous Horn Ensemble,La Chasse,Barrows,,The Hornist's Nest,1,TRIO
373-1-13594,Miscellaneous Horn Ensemble,Sonata,Boismortier,Shaw,The Hornist's Nest,1,TRIO (play two mvts)
373-1-13603,Miscellaneous Horn Ensemble,Six Trios Op. 82,Reicha,Frehse/Glasenapp/Chambers,International Music Company,1,TRIO (play two mvts)
373-1-13607,Miscellaneous Horn Ensemble,Tripperies,Shaw,,The Hornist's Nest,1,TRIO (play two mvts)
373-2-13610,Miscellaneous Horn Ensemble,Suscepit Israel,Bach,Schmidt,"Western International Music, Inc.",2,TRIO
373-2-13612,Miscellaneous Horn Ensemble,Sonata,Boismortier,Shaw,The Hornist's Nest,2,TRIO (play 1 mvt)
373-2-13620,Miscellaneous Horn Ensemble,Petits Chansons,Gretchaninoff,Lester,"JTL Publications, G. Scott Music Publishing Co.",2,TRIO
373-2-13624,Miscellaneous Horn Ensemble,Terzett der Engel,Mendelssohn,Rosenthal,"Western International Music, Inc.",2,TRIO
373-1-13625,Miscellaneous Horn Ensemble,Sonata No. 4,Pergolesi,Rosenthal,"Western International Music, Inc.",1,TRIO
373-2-13626,Miscellaneous Horn Ensemble,Three Songs,Schubert,Voxman/Block,Southern Music Company,2,TRIO (play 1 mvt)
373-2-14298,Miscellaneous Horn Ensemble,Singing and Laughing,Cherubini,Ramm,Medici Music Press,2,QUINTET
373-1-14452,Miscellaneous Horn Ensemble,Fanfare and Toccata,Holcombe,,Musicians Publications,1,TWELVE
373-1-29617,Miscellaneous Horn Ensemble,"Trio Sonata #6 Movement III, BWV 530",Bach,Dishinger,Medici Music Press,1,TRIO
373-1-29618,Miscellaneous Horn Ensemble,Five Trios Vol. 1,Druchetzky,Dishinger,Medici Music Press,1,TRIO (play mvt 1 and 3 or 4)
373-2-29619,Miscellaneous Horn Ensemble,Two Folk Songs,Lafferty,,Great Works Publishing,2,TRIO
373-1-34323,Miscellaneous Horn Ensemble,"12 Trios, Op. 10",Frehse,"Booker, ed.",Southern Music Company,1,TRIO (play 1 and 4 OR 5 and 7)
373-1-34324,Miscellaneous Horn Ensemble,30 Selected Works for Three Horns,various,,"Alfred Music Company, Inc.",1,"TRIO (play 3, 10, 9, and 6 IN THIS ORDER)"
373-2-34325,Miscellaneous Horn Ensemble,Sonata No. 4,Pergolesi,,"Western International Music, Inc.",2,TRIO (play one mvt)
373-1-34326,Miscellaneous Horn Ensemble,Harambee,Basler,,R M Williams Publishing,1,QUINTET
373-1-34327,Miscellaneous Horn Ensemble,Quipperies Vol. 2,Shaw,,The Hornist's Nest,1,QUINTET (play two mvts)
373-1-34328,Miscellaneous Horn Ensemble,Angel Falls,Songer,,The Hornist's Nest,1,QUINTET
373-1-34329,Miscellaneous Horn Ensemble,Casbah of Tetouan,Turner,,Phoenix Music Publications,1,QUINTET
373-1-34330,Miscellaneous Horn Ensemble,"Six Pieces from ""The Water Music""",Handel,Martinet,The Hornist's Nest,1,SEXTET
373-1-34331,Miscellaneous Horn Ensemble,Fanfare and Fugue for Six Horns,Kerkorian,,The Hornist's Nest,1,SEXTET
373-1-34332,Miscellaneous Horn Ensemble,Mountain Spires,Kuo,,Electric Violin Music,1,SEXTET
373-1-34333,Miscellaneous Horn Ensemble,Fanfare for Six Horns,May,,William A.R. May,1,SEXTET
373-1-34334,Miscellaneous Horn Ensemble,Festival Fanfare,Perrini,,The Hornist's Nest,1,SEXTET
373-1-34335,Miscellaneous Horn Ensemble,Hector Held Von Troja,Angerer,,Heavy Brass,1,OCTET
373-1-34336,Miscellaneous Horn Ensemble,Big Sky Country,Baldwin,,Imagine Music,1,OCTET
373-1-34337,Miscellaneous Horn Ensemble,Three Portraits,Bissill,,"Broadbent & Dunn, Ltd",1,OCTET (play one mvt)
373-1-34338,Miscellaneous Horn Ensemble,Euphonies,Broughton,,Black Squirrel Music,1,OCTET
373-1-34339,Miscellaneous Horn Ensemble,Os Justi,Bruckner,McCracken,Musicians Publications,1,OCTET
373-1-34340,Miscellaneous Horn Ensemble,Reach for the Skies,Dousa,,,1,OCTET
373-1-34341,Miscellaneous Horn Ensemble,"Nimrod, from Enigma Variations, op. 36",Elgar,Boaz,Cimarron Music Press,1,OCTET
373-1-34342,Miscellaneous Horn Ensemble,Grand Canyon Octet,Ewazen,,Southern Music Company/ Hal Leonard Corp.,1,OCTET (play one mvt)
373-1-34343,Miscellaneous Horn Ensemble,Entry of the Gladiators,Fucik,Brown,SeanBrownMusic,1,OCTET
373-1-34344,Miscellaneous Horn Ensemble,"Hansel & Gretel, Prelude & Chorale",Humperdinck,Kirschen,The Hornist's Nest,1,OCTET
373-1-34345,Miscellaneous Horn Ensemble,Concertate,Iijima,,Brain Co./Bravo Music,1,OCTET (play 1st mvt)
373-1-34346,Miscellaneous Horn Ensemble,Campbell Fanfare,Jostlein,,Randall E Faust,1,OCTET
373-1-34347,Miscellaneous Horn Ensemble,O Rest in the Lord,Mendelssohn,Shaw,The Hornist's Nest,1,OCTET
373-1-34348,Miscellaneous Horn Ensemble,Symphony 4 Italian,Mendelssohn,Schlecta,Select-a-Press,1,OCTET (play 2nd mvt)
373-1-34349,Miscellaneous Horn Ensemble,Rio Grande Octets,Musella,,MKT Music Publications,1,OCTET (play one mvt)
373-3-35669,Miscellaneous Horn Ensemble,Classical FlexTrios,various,Balent,"Kendor Music, Inc.",3,TRIO (play two trios)
373-1-35670,Miscellaneous Horn Ensemble,Triplet Trove,Kaisershot,,Eighth Note Publications,1,TRIO
373-2-35671,Miscellaneous Horn Ensemble,Solemnis Elegiac,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35672,Miscellaneous Horn Ensemble,Tableau Royale,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35673,Miscellaneous Horn Ensemble,Three and Three Quarters - A Trivial Trifle,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35674,Miscellaneous Horn Ensemble,Triplet Trove,Kaisershot,,Eighth Note Publications,2,TRIO (play two contrasting mvts)
373-2-35675,Miscellaneous Horn Ensemble,Three Mozart Trios,Mozart,Hilfiger,Eighth Note Publications,2,TRIO
373-2-35676,Miscellaneous Horn Ensemble,Three Schubert Trios,Schubert,Hilfiger,Eighth Note Publications,2,TRIO
373-2-35677,Miscellaneous Horn Ensemble,Danse a la Gigue,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35678,Miscellaneous Horn Ensemble,Novellette,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35679,Miscellaneous Horn Ensemble,Modern Day Madrigal,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35680,Miscellaneous Horn Ensemble,Rondeau Gracieuse,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35681,Miscellaneous Horn Ensemble,Marche Heroique,Kaisershot,,Eighth Note Publications,2,TRIO
373-2-35682,Miscellaneous Horn Ensemble,"Trios for All Occasions, Vol. 3 Stand Alone",Kaisershot,,"Eighth Note Publications [Trios for All Occasions, Vol 3 Stand Alone]",2,TRIO (play Bagatelle OR Honor and Tribute OR Galop OR Ode Melancholique OR Minor Burns OR Regimental OR Tattered Rag
373-2-35689,Miscellaneous Horn Ensemble,Trio No. 1,Pappas,,JPM Music Publications,2,TRIO
373-2-35690,Miscellaneous Horn Ensemble,Trio No. 2,Pappas,,JPM Music Publications,2,TRIO
373-2-35691,Miscellaneous Horn Ensemble,Trio No. 3,Pappas,,JPM Music Publications,2,TRIO
373-2-35692,Miscellaneous Horn Ensemble,The Hunter's Glen,Pappas,,JPM Music Publications,2,TRIO
373-2-35693,Miscellaneous Horn Ensemble,The Coachman,Pappas,,JPM Music Publications,2,TRIO
373-2-35694,Miscellaneous Horn Ensemble,Heroes Triumphant,Lendt,,JPM Music Publications,2,TRIO
373-2-35695,Miscellaneous Horn Ensemble,Al mormorare de' liquidi cristalli,Gastoldi,Friedrich,KFS Publishing,2,SEXTET
373-1-38689,Miscellaneous Horn Ensemble,"Bach for Horn Trio, Volumes 1, 2, & 3",Bach,Strohm,Pete Strohm Music,1,TRIO (play one mvt)
373-1-38690,Miscellaneous Horn Ensemble,"Mozart for Horn Trio, Volume 1",Mozart,Strohm,Pete Strohm Music,1,TRIO (play one mvt)
