Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
575-1-36343,Miscellaneous Mixed Ensemble,5 Songs in the Age of Stupidity,McFarland,,"Tapspace Publications, LLC",1,"(MUST be performed with the vocalist) (3 perf: Crotales (2 octaves), Xylophone, Vibraphone, Marimba—low C, Drums (bongos, congas, snare drum, concert toms*, concert bass drum, Cymbals & gongs (small splash cymbal, sizzle cymbal, hi-hat, trash-hat, loose cymbal for dropping, tam tam, opera gong), Accessories (suspended finger cymbals, mark tree, woodblock, tambourine**, 3 or 4 pairs of drumsticks for dropping, ratchet, bike horn, slide whistle, part blower, metal mixing bowl, acme siren, flexatone, vibraslap, train whistle), Electrolarynx® (optional), Tickle Me Elmo® Doll (not optional), 10 hole harmonica (in Bb major); *Set of 4, plus one large tom tuned very low, **Mounted, non-headed)"
575-1-36344,Miscellaneous Mixed Ensemble,Always,Musella,,Row-Loff Publications,1,"(8-10 perf: Bells, Vibes, (2) Marimbas (one 4 & 1/3 octave, one 5 octave), Triangle, Doumbek (hand drum), Cello, Piano, Soprano Voices (1 part, multiple vocalists may be used))"
575-1-36345,Miscellaneous Mixed Ensemble,Glimmer,Trevino,,Ivan Trevino Music,1,"(4 perf: Cello, Piano, Two Percussionists: Vibes, Glock, Drum Set, Five Bows)"
575-1-36346,Miscellaneous Mixed Ensemble,3 Riffs,Trevino,,Ivan Trevino Music,1,"(play mvts 1 & 3) (4 perf: three cellists, one timpanist (Six drums; 32, 29, 26, 23, 20), piccolo) (any 6 graduated drums may be used in appropriate combinations)"
575-1-36347,Miscellaneous Mixed Ensemble,Pivot Point,Ford,,Musicon Publications,1,"(6 perf: Soprano Saxophone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Marimba (5 octave), cajon) (can substitute bongos or congas for cajon)"
575-1-36348,Miscellaneous Mixed Ensemble,Desert Clouds,Gottry,,Gottry Percussion,1,"(3 performers: flute, violin, marimba)"
575-1-36349,Miscellaneous Mixed Ensemble,Trio for Two Flutes & Marimba,Schirripa,,C. Alan Publications,1,"(3 perf: 2 flutes, marimba (5-oct))"
575-1-36350,Miscellaneous Mixed Ensemble,"Trio for Flute, Clarinet, & Percussion",Moore,,C. Alan Publications,1,"(3 perf: flute, B-flat clarinet, percussion (glockenspiel, cajon, djembe, bongos, Thai gong ""g""))"
575-1-36351,Miscellaneous Mixed Ensemble,Tambourin Chinois,Kreisler,,C. Alan Publications,1,"(cannot be performed by a single performer in the same years as the equivalent xylophone solo) (6 perf: xylophone, 2 B-flat trumpets, F horn, trombone, tuba)"
575-1-36352,Miscellaneous Mixed Ensemble,Awaken the Peace Within,Gillingham,,C. Alan Publications,1,"(3 perf: B-flat trumpet, cello, marimba (5-oct))"
575-1-36353,Miscellaneous Mixed Ensemble,Spitfire,Daughtrey,,C. Alan Publications,1,"(3 perf: euphonium, tuba, vibraphone, marimba (5-oct)) (orchestra bells can be substituted for crotales)"
575-1-36354,Miscellaneous Mixed Ensemble,EvenStar (Version 1 or 3),Daughtrey,,C. Alan Publications,1,"(play either version) (3 or 4 perf: euphonium, tuba, crotales (2-oct), vibraphone, marimba (5-oct) [percussion may be played by 1 or 2 players]) (orchestra bells can be substituted for crotales)"
575-1-36355,Miscellaneous Mixed Ensemble,Wooden Triptych,Craig,,C. Alan Publications,1,"(play two mvts) (3 perf: B-flat clarinet (opt. soprano sax), bass clarinet (opt. cello or bari sax), marimba (5-oct), bongos"
575-2-36356,Miscellaneous Mixed Ensemble,Place de La Gofâ,Mertens,,WM-music,2,"Mallet Quartet & Cello (pl.1: Orchestra Bells, Crotales, Tub. Bells; Pl.2: Vibraphone; Pl.3: marimba 4 1/3; Pl.4 marimba 4 1/3); Pl.5: Cello)"
575-2-36357,Miscellaneous Mixed Ensemble,French Coffee,Mertens,,Southern Percussion (UK),2,"(6 perf: Solo Clarinet & Percussion quintet ( solo Clarinet Bb or vibraphone, Solo marimba, Vibraphone, Marimba, Bells & drumset, bass marimba or string bass)) (NO SUBSTIUTION for solo clainet)"
575-2-36358,Miscellaneous Mixed Ensemble,Cumbia De Javier,Musella,,Row-Loff Publications,2,"(8 perf: (1) 4 & 1/3 octave Marimba, (1) 5 octave Marimba (marimba parts 1 & 3 share), Acoustic Bass, (2) Congas, Maracas, 2 Flutes (featured duet))"
575-2-36359,Miscellaneous Mixed Ensemble,Impact,Gottry,,Gottry Percussion,2,"(5 perf: 2 euphoniums, 2 tubas, 1 percussion (4 concert toms))"
575-2-36360,Miscellaneous Mixed Ensemble,A Simple Process,Gottry,,Gottry Percussion,2,"(6 perf: flute, 2 vibraphones, 3 marimbas)"
575-2-36361,Miscellaneous Mixed Ensemble,Silent Flower,Kato,,C. Alan Publications,2,"(3 perf: recorders (alto and soprano; can sub. Flutes), marimba (5-oct), piano) (may be performed with flutes)"
575-2-36362,Miscellaneous Mixed Ensemble,Echo Falls,Iorio,,C. Alan Publications,2,"(repeats may be omitted) (4 perf: 2 flutes, 2 marimbas (5-oct))"
575-2-36363,Miscellaneous Mixed Ensemble,Burn 3,Daughtrey,,C. Alan Publications,2,"(3 perf: flute, B-flat clarinet, marimba (5-oct))"
575-3-36364,Miscellaneous Mixed Ensemble,Close Your Eyes and Dream,Herndon,,"Tapspace Publications, LLC",3,"(6-8+ perf: Glockenspiel, Chimes, Xylophone, Vibraphone (optional doubling), Marimba—low A (shared between M1 & M2), Timpano (29’’), Cymbals (suspended cymbal*, sizzle cymbal*), Accessories (triangle, mark tree*, triangle*, sleigh bells*), Solo or ensemble vocals*)"
575-1-39809,Miscellaneous Mixed Ensemble,"Sweet Dreams, Elizabeth Lee",Musella,,C. Alan Publications,1,(8 perf: Cello; Bells; Vibraphone 1; Vibraphone 2; Marimba 1; Marimba 2; Chimes/Crotales: Piano; Percussion) (cello REQUIRED)
575-1-39810,Miscellaneous Mixed Ensemble,Clave Variations,Briggs,,C. Alan Publications,1,"(3 perf: soprano saxophone, clarinet, percussion (claves, 3 toms, suspended cymbal), string bass (or marimba))"
575-1-39811,Miscellaneous Mixed Ensemble,Touch the Sky,Craig,,C. Alan Publications,1,"(3 perf: violin, piano, percussion (vibraphone, bells))"
575-1-39812,Miscellaneous Mixed Ensemble,House of Mirrors,Daughtrey,,C. Alan Publications,1,"(3 perf: bassoon, vibraphone, marimba, 2 ribbon crashers, temple blocks, machine castanets, bongos, floor tom, splash cymbal)"
575-1-39813,Miscellaneous Mixed Ensemble,Roxi for Vibraphone and Jazz Trio,Freicher,,HoneyRock Publishing,1,"(4 perf: vibraphone, drum set, bass, piano)"
575-1-39814,Miscellaneous Mixed Ensemble,"Byrne from Song Book, Vol. 3",Trevino,,"Ivan Trevino Music [Song Book, Vol. 3]",1,(6 perf: flute; clarinet in A; english horn; horn in F; bassoon; cajon)
575-1-39815,Miscellaneous Mixed Ensemble,"Jónsi from Song Book, Vol. 3",Trevino,,"Ivan Trevino Music [Song Book, Vol. 3]",1,"(6 perf: flute, clarinet in Bb; oboe; horn in F; bassoon; 5-octave marimba)"
575-1-39816,Miscellaneous Mixed Ensemble,The Steel Jungle,Ford,,Musicon Publications,1,"(6 perf. + SATB Choir, Steel Drum Band (6+), lead, dbl second, cello, bass or bass guitar, drum set, 2 congas, shaker, mark tree, sus cym)"
575-1-39817,Miscellaneous Mixed Ensemble,Get Up and Move,Davies,,Self-Published Music,1,"(3 perf: marimba, flute, piano)"
575-1-39818,Miscellaneous Mixed Ensemble,Chanson de la place du Ternes,Mertens,,WM-music,1,(3 perf: Oboe; Harp; Marimba 5-octave)
575-2-39819,Miscellaneous Mixed Ensemble,Sicilienne,Faure,Mathiesen,C. Alan Publications,2,"(6 perf: flute, clarinet, glockenspiel, vibraphone, 2 marimbas)"
575-2-39820,Miscellaneous Mixed Ensemble,Funk Trio,Meyers,,C. Alan Publications,2,"(3 perf: alto saxophone, baritone saxophone, percussion (cowbell, kick drum, snare drum))"
575-2-39821,Miscellaneous Mixed Ensemble,Raindrops,Wada,,"Tapspace Publications, LLC",2,(4-5 perf: flute; oboe; clarinet; marimba)
