Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
277-1-12193,Miscellaneous Saxophone Ensemble,Fugue in c minor,Bach,Schmidt,"Western International Music, Inc.",1,3-SAB
277-1-12198,Miscellaneous Saxophone Ensemble,Trio Op. 87,Beethoven,Teal,Etoile Music Inc.,1,3-SAT or ATB (play first or last mvt plus one other mvt)
277-1-12206,Miscellaneous Saxophone Ensemble,Intrada for Saxophone Sextet,Frackenpohl,,Shawnee Press,1,6-SAATBB (opt. Bass sub for 2nd Bari)
277-1-12214,Miscellaneous Saxophone Ensemble,Adagio and Allegretto,Hook,Gee,Southern Music Company,1,3-AAA or AAT
277-1-12224,Miscellaneous Saxophone Ensemble,Impressions,Nash,,RBC Publications,1,6-SAATTB
277-1-12230,Miscellaneous Saxophone Ensemble,The Flight of the Bumblebee,Rimsky-Korsakov,Schmidt,"Western International Music, Inc.",1,5-SAATB
277-1-12234,Miscellaneous Saxophone Ensemble,"Little Gap, Pennsylvania",Smith,,Southern Music Company,1,10-SSAAAATTBB
277-2-12241,Miscellaneous Saxophone Ensemble,The Grasshopper's Wedding Saxophone,Bartok,Schmidt,"Western International Music, Inc.",2,3-ATB
277-2-12242,Miscellaneous Saxophone Ensemble,Vivace,Bella,Voxman/Block,Southern Music Company,2,3-AAT
277-2-12243,Miscellaneous Saxophone Ensemble,Moderato and Allegro,Butts,,Shawnee Press,2,3-AAA
277-2-12246,Miscellaneous Saxophone Ensemble,"Five Trios, Vol. III",Druschetzky,Dishinger,Medici Music Press,2,"3-AAT (play Moderato, Adagio & Allegro)"
277-2-12252,Miscellaneous Saxophone Ensemble,Menuet and Finale,Haydn,Merriman,C.L. Barnhouse Company,2,3-AAT
277-2-12254,Miscellaneous Saxophone Ensemble,Andantino,Hook,Voxman/Block,Southern Music Company,2,3-AAT
277-2-12260,Miscellaneous Saxophone Ensemble,Dance Antique,Mason,Gee,Shawnee Press,2,5-SAATB
277-2-12265,Miscellaneous Saxophone Ensemble,Menuetto,Pugnani,Dishinger,Medici Music Press,2,5-AATTB
277-3-12276,Miscellaneous Saxophone Ensemble,Sailor's Song,Couperin,Dishinger,Medici Music Press,3,5-AATTB
277-3-12278,Miscellaneous Saxophone Ensemble,"Five Trios, Vol. III",Druschetzky,Dishinger,Medici Music Press,3,"3-AAT (play Moderato, plus one mvt)"
277-3-12285,Miscellaneous Saxophone Ensemble,Presto (from Div. No. 12),Mozart,Dishinger,Medici Music Press,3,3-AAT
277-3-12286,Miscellaneous Saxophone Ensemble,"Rigaudon (from Pieces de Clavecin, 1724)",Rameau,Dishinger,Medici Music Press,3,3-AAT
277-2-34174,Miscellaneous Saxophone Ensemble,Twenty Two Masterworks for Saxophone Trio,various,James,Shawnee Press,2,(play any 2) (any published combination)
277-3-34175,Miscellaneous Saxophone Ensemble,Twenty Two Masterworks for Saxophone Trio,various,James,Shawnee Press,3,(play 1 selection) (any published combination)
277-2-35049,Miscellaneous Saxophone Ensemble,Canzon Septimi Toni #2,Gabrieli,Marlatt,Eighth Note Publications,2,8-SSAATTBB
277-2-26528,Miscellaneous Saxophone Ensemble,Czech Suite for Saxophone Trio,Blahnik,,"Alliance Publications, Inc.",2,3-AAT
277-1-26529,Miscellaneous Saxophone Ensemble,Adagio and Allegro for 5 Saxophones,Boismortier,Blahnik,"Alliance Publications, Inc.",1,5-SAATB (opt Alto for Sop)
277-1-26530,Miscellaneous Saxophone Ensemble,March (from The Love of Three Oranges),Prokofiev,Schmidt,"Western International Music, Inc.",1,5-SAATB
277-1-26531,Miscellaneous Saxophone Ensemble,Notturno,Borodin,Schmidt,"Western International Music, Inc.",1,5-SATTB
277-1-26535,Miscellaneous Saxophone Ensemble,Shepherd's Hey,Grainger,Schmidt,"Western International Music, Inc.",1,5-SAATB
277-2-26540,Miscellaneous Saxophone Ensemble,Pater Noster for Saxophone Choir,Handel,Blahnik,"Alliance Publications, Inc.",2,8-AAAATTBB
277-1-26541,Miscellaneous Saxophone Ensemble,Trio Concertino,Hartley,,Southern Music Publishing Company,1,3-ATB
277-2-35048,Miscellaneous Saxophone Ensemble,Valse Vanite,Wiedoeft,Tomsett,Saxtet,2,8-SSAATTBB
277-2-26548,Miscellaneous Saxophone Ensemble,Sea Songs,Patrick,,"Carl Fischer, Inc.",2,3-ATB
277-2-26549,Miscellaneous Saxophone Ensemble,Tudor Memories,Patrick,,"Carl Fischer, Inc.",2,3-ATB
