Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
460-1-37608,Miscellaneous String Ensemble,Tarantella from “Incidental Suite”,,Villani,Claude T. Smith Publications,1,"(four violins, 2 violas, 2 cellos, 1 bass) (ONLY TAMBOURINE may be used)"
460-1-17807,Miscellaneous String Ensemble,Quintet in f minor Op. 34,Brahms,,International Music Company,1,"(play one mvt) (2 vln, vla, vlc, & piano)"
460-1-17809,Miscellaneous String Ensemble,Quintet in A Major Op. 81,Dvorak,,Barenreiter/Verlag;International Music Company,1,"(play one mvt) (2 vln, vla, vlc, & piano)"
460-3-17859,Miscellaneous String Ensemble,Minuet in G,Bach,Dishinger,Medici Music Press,3,(three OR four part CELLO)
460-3-17863,Miscellaneous String Ensemble,Musette,Bach,Dishinger,Medici Music Press [Anna Magdalena Bach Notebook],3,(three OR four part CELLO)
460-1-25571,Miscellaneous String Ensemble,12 Duets,Anon. or Trad.,Sankey,International Music Company,1,"(play one mvt, except Aria(Telemann)) (2 basses)"
460-2-37749,Miscellaneous String Ensemble,Progressive Repertoire Vol. 2,various,Vance,"Carl Fischer, Inc. [Progressive Repertoire Vol. 2]",2,(2 basses) (play Minuet in D Major OR Impertinence OR Minuet in G)
460-1-25573,Miscellaneous String Ensemble,Trio in Bb Major,Bach,Landshoff,International Music Company,1,(play one mvt) (2 vn & piano) (omit cello ad lib)
460-1-25574,Miscellaneous String Ensemble,"Six Duets, Vol. II",Bach,Friedrich,International Music Company,1,(play one mvt) (2 vln)
460-1-25575,Miscellaneous String Ensemble,"Brandenburg Concerto No. 6 in Bb Major, S.1051",Bach,Held,International Music Company,1,(play one mvt) (2 vla)
460-1-25576,Miscellaneous String Ensemble,"Concerto in d minor, S.1043",Bach,Mensch,International Music Company,1,(play one mvt) (2 basses)
460-1-25577,Miscellaneous String Ensemble,Contrapunctus,Bach,Davis,"Western International Music, Inc.",1,
460-1-25578,Miscellaneous String Ensemble,Double Concerto in d minor,Bach,,C.F. Peters Corporation;International Music Company,1,(play one mvt) (2 vln)
460-1-25579,Miscellaneous String Ensemble,Four Duets,Bach,Stutschewsky,International Music Company,1,"(play mvt 2, 3 or 4) (vln, vlc)"
460-1-25581,Miscellaneous String Ensemble,Sonata in C Major,Bach,Lidstrom,International Music Company,1,(play one mvt) (2 vln)
460-1-25582,Miscellaneous String Ensemble,"Sonata in C Major, S.1037",Bach,David,International Music Company,1,(play Adagio or fuga or giga) (2 vln) (accomp required)
460-1-25583,Miscellaneous String Ensemble,Sonata in G Major,Bach,,International Music Company,1,(play one mvt) (2 vln) (accomp required)
460-1-25584,Miscellaneous String Ensemble,"Sonata in G Major, S.1038",Bach,Hermann,International Music Company,1,(play two contrasting mvts) (2 vln) (accomp required)
