Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
443-1-24612,Miscellaneous String Quartet,"Tell Me, Gentle Shepherd",Atterbury,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 2]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24610,Miscellaneous String Quartet,Chorale: Wachet Auf,Bach,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 2]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24615,Miscellaneous String Quartet,Christ Lag In Todesbanden,Bach,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 3]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24616,Miscellaneous String Quartet,Ein' Feste Burg,Bach,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 3]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24617,Miscellaneous String Quartet,"Jesu, Meine Freude",Bach,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 3]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24618,Miscellaneous String Quartet,Nun Danket Alle Gott,Bach,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 3]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24624,Miscellaneous String Quartet,Bear Dance,Bartok,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 4]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24621,Miscellaneous String Quartet,Children's Game,Bartok,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 4]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24622,Miscellaneous String Quartet,Jeering Song,Bartok,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 4]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24623,Miscellaneous String Quartet,Peasant Dance,Bartok,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 4]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24625,Miscellaneous String Quartet,Play,Bartok,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 4]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-17355,Miscellaneous String Quartet,Quartet in Eb Op. 16,Beethoven,,"C.F. Peters Corporation;G. Schirmer, Inc.",1,"(play one mvt) (piano, vln, vla, vlc)"
443-1-24607,Miscellaneous String Quartet,Calami Sonum Ferentes,da Rore,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 2]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24608,Miscellaneous String Quartet,Chi La Gagliarda Donna Imparre Chi,Donato,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 2]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-17791,Miscellaneous String Quartet,"Quartet No. 1 in c minor, Op. 15",Faure,,Presser;International Music Company,1,"(play one mvt/Press) (vln, vla, vlc, piano)"
443-1-17357,Miscellaneous String Quartet,Ave Maria,Fitzhagen,Harkonen,York Editions,1,(4 basses)
443-1-24611,Miscellaneous String Quartet,Quodlibet,Greiter,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 2]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-24619,Miscellaneous String Quartet,Madrigal,Holcombe,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 3]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-17358,Miscellaneous String Quartet,Cortege,Holland,,Hinrichsen Edition,1,(4 vlc)
443-1-17359,Miscellaneous String Quartet,"Piano Quartets Op. 1, 2 and 3",Mendelssohn,,C.F. Peters Corporation,1,"(play one mvt) (piano, vln, vla, vlc)"
443-1-24606,Miscellaneous String Quartet,Ave Verum Corpus,Mozart,Zimmermann,"University of Miami Music Publication [Trios and Quartets for Double Basses, Vol 2]",1,(must also play one additional quartet from this collection) (4 basses)
443-1-17360,Miscellaneous String Quartet,Piano Quartets K. 478 and K. 493,Mozart,,C.F. Peters Corporation,1,"(play one mvt) (piano, vln, vla, vlc)"
