Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
451-1-17787,Miscellaneous String Quintet,"Quintets Op. 4, 29, and 104, Complete Edition",Beethoven,,C.F. Peters Corporation,1,"(play one mvt) (2 vln, 2 vla, vlc)"
451-1-17793,Miscellaneous String Quintet,"Quintets, Complete Edition, 2 volumes",Mozart,,C.F. Peters Corporation;Barenreiter/Verlag;Foreign Music Distributors,1,"(play one mvt) (2 vln, 2 vla, vlc)"
451-1-17794,Miscellaneous String Quintet,Quartettino in F,Scarlatti,Woehl,C.F. Peters Corporation,1,"(play all) (piano, 3 vln, vlc)"
451-1-17795,Miscellaneous String Quintet,Adagio and Rondo in F Major Op. Posth.,Schubert,,International Music Company;Luck's Music Library,1,(play one mvt)
451-1-17796,Miscellaneous String Quintet,Trout Quintet Op. 114,Schubert,,Barenreiter/Verlag;International Music Company;Edwin F. Kalmus,1,"(play one mvt) (vln, vla, vlc, bass & piano)"
451-1-17797,Miscellaneous String Quintet,Cassation in F Major,Wranitzky,,"Rarities for Strings Publications, Bel-Eden House",1,(play Rondeau or two other mvts) (5 vla)
451-2-17798,Miscellaneous String Quintet,Lachrimae or Seven Tears,Dowland,Warlock,Oxford University Press,2,"(play two; 2 vln, vla, 2 vlc)"
451-1-37730,Miscellaneous String Quintet,Mixed Level Ensembles Vol 2,various,Wyrick,inezwyrick.com [Mixed Level Ensembles Vol 2],1,BASS QUINTET (play Shenandoah)
451-1-37728,Miscellaneous String Quintet,20 Progressive Bass Ensembles VOLUME 3,various,Wyrick,inezwyrick.com [20 Progressive Bass Ensembles VOLUME 3],1,BASS QUINTET (play Hornpipe from “Water Music”)
451-1-37729,Miscellaneous String Quintet,Mixed Level Ensembles Vol 5,various,Wyrick,inezwyrick.com [Mixed Level Ensembles Vol 5],1,BASS QUINTET (play Theme from Fifth Symphony)
451-1-37727,Miscellaneous String Quintet,20 Progressive Bass Ensembles VOLUME 2,various,Wyrick,inezwyrick.com [20 Progressive Bass Ensembles VOLUME 2],1,BASS QUINTET (play Plink! Plank! Plunk! OR Allegro from Sonata #3)
451-3-17801,Miscellaneous String Quintet,"Innsbruck, Ich Muss dich Lassen",Hollander,,Music Corporation of America,3,(for five melody inst)
451-3-17802,Miscellaneous String Quintet,Canzone,Schein,,Music Corporation of America,3,
451-1-25566,Miscellaneous String Quintet,"Quintets, Op. 60, Nos. 1,2,3,6",Boccherini,,Foreign Music Distributors,1,"(play one mvt) (2 vln, 2 vla, 1 vlc)"
451-1-25567,Miscellaneous String Quintet,"Quintets, Op. 62, Nos. 2,4",Boccherini,,Foreign Music Distributors,1,"(play one mvt) (2 vln, 2 vla, 1 vlc)"
451-1-25568,Miscellaneous String Quintet,"Three Quintets, Op. 12, No. 2, C Major, Eb Major, D Major",Boccherini,,Edwin F. Kalmus,1,"(play one mvt) (2 vln, vla, 2 vlc)"
451-1-25569,Miscellaneous String Quintet,"Five Famous Quintets, Vol. 1, K.406, 515, 516, 593, 614",Mozart,,C.F. Peters Corporation;Barenreiter/Verlag;Foreign Music Distributors,1,"(play one mvt) (2 vln, 2 vla, 1 vlc)"
451-1-25570,Miscellaneous String Quintet,"Five Famous Quintets, Vol. 2, K.46, 174, 407, 581",Mozart,,C.F. Peters Corporation;Barenreiter/Verlag;Foreign Music Distributors,1,"(play one mvt) (2 vln, 2 vla, 1 vlc)"
451-1-28672,Miscellaneous String Quintet,String Quintet in a minor,Bruch,,Edition Kunzelman USA,1,"(play one mvt) (2 vln, 2 vla, vlc)"
451-1-28716,Miscellaneous String Quintet,Die Eiserne Brigade,Schoenberg,,Universal Editions,1,"(2 vln, vla, vlc, piano)"
451-1-33074,Miscellaneous String Quintet,"Quintet in C Major, Op. 163, D.956",Schubert,,Barenreiter/Verlag,1,
451-2-37713,Miscellaneous String Quintet,20 Progressive Bass Ensembles VOLUME 1,various,Wyrick,inezwyrick.com [20 Progressive Bass Ensembles VOLUME 1],2,BASS QUINTET (play Bassman Boogie)
451-2-37714,Miscellaneous String Quintet,20 Progressive Bass Ensembles VOLUME 4,various,Wyrick,inezwyrick.com [20 Progressive Bass Ensembles VOLUME 4],2,BASS QUINTET (play Waltz Moderato)
451-3-37726,Miscellaneous String Quintet,Eight Short Elizabethan Dance Tunes,various,Fellowes,Stainer & Bell [Eight Short Elizabethan Dance Tunes],3,(play one) (any published combination)
451-1-37731,Miscellaneous String Quintet,20 Progressive Bass Ensembles VOLUME 4,various,Wyrick,inezwyrick.com [20 Progressive Bass Ensembles VOLUME 4],1,BASS QUINTET (play Se Florindo e fedele)
