Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
433-1-17102,Miscellaneous String Trio,15 Terzetti,Bach,,International Music Company,1,"(play three) (2 vln, vla)"
433-1-17105,Miscellaneous String Trio,Trio Op. 87,Beethoven,,Bosworth Music Company,1,"(play one mvt except Minuet) (2 vln, vla)"
433-1-17106,Miscellaneous String Trio,6 Trios Op. 9,Boccherini,,International Music Company,1,"(play one mvt) (2 vln, vlc)"
433-1-17109,Miscellaneous String Trio,"Sonatina Op. 36, No. 3",Clementi,Elkan,Henri Elkan,1,"(2 vln, vlc)"
433-3-37622,Miscellaneous String Trio,Dancing Song from 8 Russian Folksongs,Liadov,Dishinger,Medici Music Press,3,"(vln, vla, cello OR 2 vln, vla OR 2 vln, cello)"
433-3-37623,Miscellaneous String Trio,Fugue from Prelude and Fugue in G Minor,Bach,Dishinger,Medici Music Press,3,"(2 vln, va OR 2 vln, cello OR vln, vla, cello)"
433-3-37624,Miscellaneous String Trio,Marche from Suite No. 5,Purcell,Dishinger,Medici Music Press,3,"(2 vln, vla OR 2 vln, cello)"
433-3-37625,Miscellaneous String Trio,"Menuet from Concerto Grosso, Op. 6, No. 5",Handel,Dishinger,Medici Music Press,3,"(2 vln, va OR 2 vln, cello OR vln, vla, cello)"
433-3-37626,Miscellaneous String Trio,Presto from Divertimento No. 12,Mozart,Dishinger,Medici Music Press,3,"(2 vln, va OR 2 vln, cello OR vln, vla, cello)"
433-1-17110,Miscellaneous String Trio,Rigaudon Op. 40 No. 5,Grieg,Elkan,Henri Elkan,1,"(2 vln, vlc)"
433-1-17111,Miscellaneous String Trio,Adagio (from Organ Concerto Op. 7 No. 4),Handel,Krane,Jack Spratt Music Publishers,1,(3 vlc)
433-1-17112,Miscellaneous String Trio,Sonata Quinta in g minor,Handel,Pochon,"Carl Fischer, Inc.",1,"(play one mvt as indicated by roman numerals) (2 vln, vlc)"
433-1-17113,Miscellaneous String Trio,"12 Easy Trios, Vol. 1 and 2",Haydn,,International Music Company,1,"(play one complete trio) (2 vln, vla)"
433-1-17114,Miscellaneous String Trio,6 Trios,Haydn,,Schott Company,1,"(play one complete trio) (2 vln, vlc)"
433-1-17115,Miscellaneous String Trio,"Divertimento No. 17 in B flat Major, Hob. V:18",Haydn,,Ludwig Doblinger,1,"(play mvt 1 or 3) (2 vln, vlc)"
433-1-17116,Miscellaneous String Trio,"Divertimento No. 21 in D Major, Hob. V:21",Haydn,,Ludwig Doblinger,1,"(play all) (2 vln, vlc)"
433-1-17117,Miscellaneous String Trio,"Divertimento No. 25 in C Major, Hob V:C3",Haydn,,Ludwig Doblinger,1,"(play mvt 1 or 3) (2 vln, vlc)"
433-1-17118,Miscellaneous String Trio,"Divertimento No. 29 in C Major, Hob V:C4",Haydn,,Ludwig Doblinger,1,"(play mvt 1 or mvts 2 & 3) (2 vln, vlc)"
433-1-17119,Miscellaneous String Trio,"Divertimento No. 30 in C Major, Hob V:C5",Haydn,,Ludwig Doblinger,1,"(play mvt 1, 2 or 3) (2 vln, vlc)"
433-1-17120,Miscellaneous String Trio,"Divertimento No. 33 in G Major, Hob V:G3",Haydn,,Ludwig Doblinger,1,"(play all) (2 vln, vlc)"
433-1-17121,Miscellaneous String Trio,Three Burlesques for Basses,Jacobson,,"Mills Music, Inc.",1,(play two) (3 basses)
433-1-17122,Miscellaneous String Trio,Three Conversations for Cellos,Jacobson,,"Mills Music, Inc.",1,(play two mvts) (3 vlc)
433-3-37627,Miscellaneous String Trio,Rondo from Divertimento No. 11,Mozart,Dishinger,Medici Music Press,3,"(2 vln, va OR 2 vln, cello OR vln, vla, cello)"
433-3-37628,Miscellaneous String Trio,St. Catherine Rigaudon,Barrett,Dishinger,Medici Music Press,3,"(2 vln, va OR 2 vln, cello OR vln, vla, cello)"
433-1-17123,Miscellaneous String Trio,Serenade Op. 12,Kodaly,,Universal Editions,1,"(play one mvt) (2 vln, vla)"
433-3-37629,Miscellaneous String Trio,Adaptable Trios,various,Arcari/Putnam/Traietta,Excelcia [Adaptable Trios],3,(any published string combination) (choose one from Shenandoah OR German Dance-Schubert OR The Imp OR Ash Grove OR Contradanse OR Waltz-Schubert OR Wait Just a Minuet OR Musette-Bach OR German Dance-Beethoven OR Volta)
433-3-37630,Miscellaneous String Trio,Compatible Trios for Strings,various,Clark/Gazda,"Carl Fischer, Inc. [Compatible Trios for Strings]",3,(any published string combination) (choose one from German Dance OR Bagatelle OR Largo OR Le Landon OR Scarborough Fair OR Les Moissonneurs OR The Mill OR Arioso OR Loch Lomond OR Home on the Range OR Pastorale OR Fable OR Russian Folksong OR Dance-Bach Soldiers March OR Wild Rose)
