Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
270-2-25282,Miscellaneous Woodwind Ensemble,Contredanse,Mozart,Bouchet,International Music Diffusion,2,(any substitution printed on parts allowed)
270-1-12200,Miscellaneous Woodwind Ensemble,Marcia,Cimarosa,,Boccaccinni & Spada Editori,1,"OCTET (2 ob, 2 cl, 2 hn, 2 bsn)"
270-1-12204,Miscellaneous Woodwind Ensemble,Sinfonia fur Blaser,Donizetti,,Edition Eulenburg GMBH,1,"NONET (fl, 2 ob, 2 cl, 2 hn, 2 bsn)"
270-1-12209,Miscellaneous Woodwind Ensemble,Chamber Music,Hartley,,Fema Music Publications,1,SEXTET (alto sax & woodwind quintet)
270-1-12213,Miscellaneous Woodwind Ensemble,Intrada,Heiden,,Southern Music Company,1,SEXTET (alto sax & woodwind quintet)
270-1-12223,Miscellaneous Woodwind Ensemble,Serenade in Eb K. 375,Mozart,,Schott Company,1,"SEXTET ( 2 b-flat cl, 2 hn, 2 bsn) (play EITHER of the Allegros OR the Adagio)"
270-1-12221,Miscellaneous Woodwind Ensemble,Divertimento in Eb Major K. approx. 182,Mozart,Einstein,Editions Peters,1,"OCTET (2 ob, 2 Bb cl, 2 bsn, 2 hn in Eb) (play beginning to the Tema con Variazioni OR play the Tema con Variazioni)"
270-1-12225,Miscellaneous Woodwind Ensemble,Carmina Burana,Orff,,Schott Company,1,TEN (double woodwind quintet) (play two mvts)
270-1-12229,Miscellaneous Woodwind Ensemble,Parthia in Eb Major,Reischl,Thomas,Medici Music Press,1,"QUINTET (2 b-flat cl, 2 hn, bsn)"
270-1-12233,Miscellaneous Woodwind Ensemble,Three Pieces (from Rosamunde),Schubert,Carter,Oxford University Press,1,"NONET (2 fl, 2 ob, 4 cl, bass cl OR bsn)"
270-2-12247,Miscellaneous Woodwind Ensemble,Sonata Pian' e Forte,Gabrieli,Ephross,Southern Music Company,2,"OCTET (2 pic, 2 fl, 2 ob, 2 b-flat cl)"
270-1-12263,Miscellaneous Woodwind Ensemble,Eine Kleine Nachtmusik - Mvt. 1 Allegro,Mozart,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination) (play Mvt. 1 Allegro)
270-2-12268,Miscellaneous Woodwind Ensemble,Three Pieces (from Rosamunde),Schubert,Carter,Oxford University Press,2,"NONET (2 fl, 2 ob, 4 cl, bass cl OR bsn) (play one mvt)"
270-3-12280,Miscellaneous Woodwind Ensemble,Hansel and Gretel Melodies,Humperdinck,Findlay,"Cundy-Bettoney Company, Inc.",3,"QUINTET (fl, 2 b-flat cl, alto cl, bass cl OR bsn)"
270-2-35567,Miscellaneous Woodwind Ensemble,Overture & Finale from 'Dido & Aeneas',Purcell,Jones,RBC Publications,2,10 PLAYER LIMIT-ALL VOICES MUST BE COVERED (any published combination)
270-2-35566,Miscellaneous Woodwind Ensemble,Solace,Joplin,Jones,RBC Publications,2,10 PLAYER LIMIT-ALL VOICES MUST BE COVERED (any published combination)
270-1-34212,Miscellaneous Woodwind Ensemble,Noches Del Caribe,Musella,,RBC Publications,1,OCTET (any published combination)
270-1-34210,Miscellaneous Woodwind Ensemble,Eine Kleine Nachtmusik K.524 -Romanza and Minuet,Mozart,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination)
270-1-34208,Miscellaneous Woodwind Ensemble,"Symphony No.25, Mvt. 4",Mozart,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination)
270-1-34207,Miscellaneous Woodwind Ensemble,Suite from Carmen,Bizet,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination) (play 1st or 3rd mvt)
270-1-34206,Miscellaneous Woodwind Ensemble,Ricercar a6,Bach,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination)
270-1-34205,Miscellaneous Woodwind Ensemble,Pine Apple Rag,Joplin,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination)
270-1-34204,Miscellaneous Woodwind Ensemble,Overture to The Magic Flute,Mozart,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination)
270-1-34203,Miscellaneous Woodwind Ensemble,Overture and Rondo from Abdelazer,Purcell,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination) (Play Overture or Rondo)
270-1-34200,Miscellaneous Woodwind Ensemble,Maple Leaf Rag,Joplin,Jones,RBC Publications,1,10 PLAYER LIMIT-ALL PARTS MUST BE COVERED (any published combination)
