Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
931-1-32034,Mixed Chorus,Clap Your Hands and Sing!,Lightfoot,,Shawnee Press,1,(three part mixed) (accomp)
931-5-32028,Mixed Chorus,Alleluia,Thompson,,E.C. Schirmer Music Company,5,(SATB) (a cappella)
931-3-32033,Mixed Chorus,In Time of Silver Rain,Snyder,,"Hal Leonard Music, Inc.",3,(SATB) (accomp)
931-5-32027,Mixed Chorus,Alleluia,Runestad,,Jake Runstead Music,5,(SATB) (opt claps) (a cappella)
931-4-32025,Mixed Chorus,Cantate Domino,Anerio,Ware,"Carl Fischer, Inc.",4,(SATB) (a cappella)
931-3-32023,Mixed Chorus,"Bless the Lord, O My Soul",Handel,,Choristers Guild,3,(SAB) (accomp)
931-1-20967,Mixed Chorus,A Cappella Songs for Mixed Chorus,Anon. or Trad.,Crocker,"Hal Leonard Music, Inc. [A Cappella Songs for Mixed Chorus]",1,(SATB) (perform See Them Dance OR To Make A Prairie OR Winter) (a cappella)
931-1-20972,Mixed Chorus,Let Us With a Gladsome Mind,Bach,Siltman,Southern Music Company,1,(SATB) (a cappella)
931-1-20973,Mixed Chorus,Now the Eventide Approaches,Beethoven,Burkhart,Universal Music Company,1,(SAB) (a cappella)
931-2-20974,Mixed Chorus,Six Folk Songs,Brahms,,Marks Music Corporation;Any unabridged edition,2,(SATB) (sing The Fiddler OR I'd Enter Your Garden OR How Sad Flow the Streams) (a cappella)
931-2-20978,Mixed Chorus,Adoramus Te,Clement,,Mercury Music Corporation;Any unabridged edition,2,(SATB) (Latin) (a cappella)
931-1-20980,Mixed Chorus,"Rejoice, Alleluia",Crocker,,"Jenson Publications, Inc.",1,(three part mixed) (accomp)
931-1-20981,Mixed Chorus,Sing to the Lord,Crocker,,Southern Music Company,1,(SAB) (a cappella)
931-1-20982,Mixed Chorus,An Irish Blessing,DeWitt,,Southern Music Company,1,(SAB) (a cappella)
931-1-20983,Mixed Chorus,Meet Me,DeWitt,,Southern Music Company,1,(SAB) (a cappella)
931-1-20984,Mixed Chorus,Will You Walk With Me?,DeWitt,,Southern Music Company,1,(SAB) (a cappella)
931-1-20986,Mixed Chorus,Jubilate! Jubilate!,Anon. or Trad.,Eilers,"Hal Leonard Music, Inc.",1,(SAB or SATB) (a cappella)
931-2-20970,Mixed Chorus,Ju me leve un bel maitin,Anon. or Trad.,Goodale,"G. Schirmer, Inc.",2,(SATB) (French) (a cappella)
931-1-20989,Mixed Chorus,Cum Sancto Spiritu,Lotti,Liebergen,"Alfred Music Company, Inc.",1,(three part mixed) (perform ONLY Alfred Music version) (Latin) (a cappella)
931-1-20990,Mixed Chorus,Sing Joyous Christians,Lotti,Buszin,Concordia Publishing House,1,(SAB) (a cappella)
931-1-20991,Mixed Chorus,Sing We and Chant It,Morley,Robinson,"Alfred Music Company, Inc.",1,(three part mixed) (a cappella)
931-2-20992,Mixed Chorus,Bone Pastor,Palestrina,Pisano,Plymouth Music Company,2,(SATB) (Latin) (a cappella)
931-1-20993,Mixed Chorus,O Bone Jesu,Palestrina,Liebergen,"Carl Fischer, Inc.",1,(SATB) (Latin) (a cappella)
931-1-20994,Mixed Chorus,In These Delightful Pleasant Groves,Purcell,Robinson,"Alfred Music Company, Inc.",1,(three part mixed) (a cappella)
931-1-20995,Mixed Chorus,There Is a Lady,Purcell,Siltman,Southern Music Company,1,(SATB) (a cappella)
931-1-20998,Mixed Chorus,"My Love Is Like a Red, Red Rose",Williams,Wimberly,Southern Music Company,1,(SAB) (a cappella)
931-1-20999,Mixed Chorus,Reeds of Innocence,Adams,,"Alfred Music Company, Inc.",1,(SAB) (opt solo) (POP) (accomp)
931-1-21000,Mixed Chorus,Now Thank We All Our God,Bach,Hopson,Alliance Music Publications,1,(SAB) (accomp)
931-1-21001,Mixed Chorus,"River, Sing Your Song",Butler,Davenport,Lorenz Corporation,1,(SAB or three part mixed) (accomp)
931-1-21002,Mixed Chorus,To God Sing Praises,Buxtehude,Liebergen,"Carl Fischer, Inc.",1,(SAB) (opt flutes) (POP) (accomp)
931-1-21003,Mixed Chorus,A Glad Alleluia (Cantemos Alleluia),Crocker,,"Jenson Publications, Inc.;Any unabridged edition",1,(SAB) (Spanish) (accomp)
931-1-21005,Mixed Chorus,All Through the Night,Anon. or Trad.,Eilers,"Jenson Publications, Inc.;Any unabridged edition",1,(three part mixed) (accomp)
931-1-21006,Mixed Chorus,Shoshone Love Song,Emerson,,"Jenson Publications, Inc.;Any unabridged edition",1,(three part mixed) (accomp)
931-1-21007,Mixed Chorus,Didn't My Lord Deliver Daniel,Anon. or Trad.,Emerson,"Jenson Publications, Inc.;Any unabridged edition",1,(three part mixed) (accomp)
931-1-21008,Mixed Chorus,A Scottish Lullaby,Anon. or Trad.,Gilpin,Shawnee Press,1,(SAB) (accomp)
931-1-21009,Mixed Chorus,"Come, Jesus, Holy Son of God",Handel,Hopson,"Harold Flammer, Inc.;Any unabridged edition",1,(two part mixed) (accomp)
931-1-21010,Mixed Chorus,Come Joyfully Sing,Handel,Liebergen,"Hal Leonard Music, Inc.",1,(SAB) (accomp)
931-1-21011,Mixed Chorus,"Come, Live With Pleasure",Handel,Liebergen,Studio 224;Any unabridged edition,1,(SAB) (opt solo) (opt flutes) (accomp)
931-1-21012,Mixed Chorus,Psalm 150,Harper,,Oxford University Press,1,(two part mixed) (accomp)
931-1-21014,Mixed Chorus,Praise the Lord With Joyful Song,Anon. or Trad.,Hopson,"Jenson Publications, Inc.;Any unabridged edition",1,(SAB) (accomp)
931-1-21016,Mixed Chorus,Over the Sea to Skye,Jothen,,Beckenhorst Press,1,(two part mixed) (accomp)
931-1-21018,Mixed Chorus,Sing a Song to the Lord,Kirk,,Cambiata Press,1,(four part mixed) (finger cymbals & tambourine) (accomp)
931-1-21019,Mixed Chorus,"Thou, O Lord, Art My Shepherd",Marcello,Ehret,European American;Any unabridged edition,1,(SAB or SATB) (accomp)
931-1-21021,Mixed Chorus,An Appalachian Lament,McCray,,European American,1,(four part mixed) (accomp)
931-1-21022,Mixed Chorus,Adoramus Te,McPheeters,,Shawnee Press,1,(SAB) (accomp)
931-1-21023,Mixed Chorus,Hodie,McPheeters,,Shawnee Press,1,(three part mixed) (accomp)
931-1-21024,Mixed Chorus,My Heart's In the Highlands,Moore,,Studio 224;Any unabridged edition,1,(SATB) (accomp)
931-1-21027,Mixed Chorus,"O, My God, Bestow Thy Tender Mercy",Pergolesi,Hopson,"Carl Fischer, Inc.",1,(two part mixed) (accomp)
931-1-21028,Mixed Chorus,Simple Gifts,Anon. or Trad.,Rice,Broude Brothers;Any unabridged edition,1,(SAB) (accomp)
931-1-21029,Mixed Chorus,"Holy, Holy, Holy",Schubert,Liebergen,"Alfred Music Company, Inc.",1,(SAB) (accomp)
931-2-21030,Mixed Chorus,Jubilate Deo,Spevacek,,Heritage Music Press,2,(SATB or two part mixed) (accomp)
931-2-21031,Mixed Chorus,"Kommt, Ihr G'Spielen",Franck,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 4]",2,(SATB) (German) (a cappella)
931-2-21033,Mixed Chorus,Set Me As a Seal,Leavitt,,,2,(SATB) (opt. accomp) (a cappella)
931-2-21035,Mixed Chorus,Jamais Je N'aimerai Grand Homme,Anon. or Trad.,Anderson,Alliance Music Publications,2,(SATB) (French) (a cappella)
931-2-21036,Mixed Chorus,Ave Maria,Arcadelt,,Novello Publications Inc.,2,(SATB) (a cappella)
931-2-21037,Mixed Chorus,"Jesu, Priceless Treasure",Bach,Cruger/Collins,Cambiata Press,2,(four part variable voicing) (a cappella)
931-2-21039,Mixed Chorus,Kittery,Billings,,Walton Music Corporation,2,(SATB) (a cappella)
931-3-21041,Mixed Chorus,O Lord Our God,Byrd,Davis,"Alfred Music Company, Inc.",3,(SATB) (a cappella)
931-2-21042,Mixed Chorus,Early One Morning,Anon. or Trad.,Cain,Oliver Ditson Company,2,(SATB) (POP) (a cappella)
931-2-21043,Mixed Chorus,I'll Say It Anyway (Je le vous dirai!),Anon. or Trad.,Certon/Hirt,Hinshaw Music Inc.,2,(SATB) (French) (a cappella)
931-2-21044,Mixed Chorus,Je le vous dirai!,Certon,Leavitt,"Hal Leonard Music, Inc.",2,(SATB) (French) (a cappella)
931-2-21048,Mixed Chorus,Alabado Sea el Santisimo,Comes,Kaplan,Tetra Music Corporation,2,(SATB) (English or Spanish) (POP) (a cappella)
931-2-21049,Mixed Chorus,O Vos Omnes (Ye Who Pass By),Croce,Kjelson,"Belwin, Inc",2,(SATB) (English or Latin) (a cappella)
931-2-21050,Mixed Chorus,Gloria Alleluia,Crocker,,"Jenson Publications, Inc.;Any unabridged edition",2,(three part mixed) (accomp)
931-2-21053,Mixed Chorus,Benedictus,di Lasso,Snyder,Studio 224;Any unabridged edition,2,(SAB) (Latin) (a cappella)
931-2-25113,Mixed Chorus,O Bella Fusa,di Lasso,Klein,"G. Schirmer, Inc.",2,(SATB) (Italian) (a cappella)
931-2-21056,Mixed Chorus,All Ye Who Music Love,Donato,Meredith,Neil A. Kjos Music Company,2,(SATB) (a cappella)
931-2-21058,Mixed Chorus,Agnus Dei,Gabrieli,McCray,Cambiata Press,2,(four part variable voicing) (Latin) (a cappella)
