Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
244-3-34844,Mixed Clarinet Quartet,Chorale and Caprice,Pappas,,JPM Music Publications,3,
244-1-11886,Mixed Clarinet Quartet,Quatuor Pour Clarinettes Op. 132,Absil,,Lemoine Music Company,1,"(play two mvts) (Eb cl, 2 b-flat cl, bass cl)"
244-1-11887,Mixed Clarinet Quartet,Five Movements,Arrieu,,Gerard Billaudot Edition,1,"(play three mvts) (Eb cl, 2 b-flat cl, bass cl)"
244-1-11888,Mixed Clarinet Quartet,Fugue in g minor,Bach,Crabb,Shawnee Press,1,
244-1-11889,Mixed Clarinet Quartet,Clarinet Rhapsody,Bennett,,"Carl Fischer, Inc.",1,
244-1-11890,Mixed Clarinet Quartet,Carillon,Bizet,,"Edition Musicus-New York, Inc.",1,
244-1-11891,Mixed Clarinet Quartet,Homage to D.S.,Block,,"Western International Music, Inc.",1,
244-1-11892,Mixed Clarinet Quartet,Sonatine,Bozza,,Alphonse Leduc,1,
244-2-11893,Mixed Clarinet Quartet,Dance Creole,Chaminade,Debueris,"Belwin, Inc",2,
244-1-11894,Mixed Clarinet Quartet,Larghetto and Scherzo,Dont,Waln,Neil A. Kjos Music Company,1,
244-1-11895,Mixed Clarinet Quartet,Clarinet Quartet No. 1,Endresen,,"Belwin, Inc",1,
244-1-11896,Mixed Clarinet Quartet,Anitra's Tanz,Grieg,Williams,Southern Music Company,1,
244-1-11897,Mixed Clarinet Quartet,Emperor Variations Op. 76 No. 3,Haydn,Williams,Southern Music Company,1,
244-1-11898,Mixed Clarinet Quartet,Procession of the Sardar,Ippolitov-Ivanov,Debueris,"Belwin, Inc",1,
244-1-11899,Mixed Clarinet Quartet,Sonatina,Kibbe,,Shawnee Press,1,"(play two mvts) (3Bb cl, bass cl)"
244-1-11900,Mixed Clarinet Quartet,Sarabande and Finale,Liadow/Haydn,Voxman,"Rubank, Inc.",1,
244-1-11901,Mixed Clarinet Quartet,Four Contrasts (Vier Kontrasten),Maes,,CeBeDeM,1,"(play two) (Eb cl, 2 b-flat cl, bass cl)"
244-1-11902,Mixed Clarinet Quartet,First Quartet,Mayeur,Voxman,"Rubank, Inc.",1,
244-1-11903,Mixed Clarinet Quartet,American Sketch,McKay,,C.L. Barnhouse Company,1,
244-1-11904,Mixed Clarinet Quartet,Two Promenades,McKay,,C.L. Barnhouse Company,1,
244-1-11905,Mixed Clarinet Quartet,Canzonetta,Mendelssohn,Debueris,"Belwin, Inc",1,
244-1-11906,Mixed Clarinet Quartet,Adagio and Allegro,Mozart,Ephross,Southern Music Company,1,
244-1-11909,Mixed Clarinet Quartet,Allegro Vivace,Mozart,Hite,Southern Music Company,1,
244-1-11907,Mixed Clarinet Quartet,Allegro (from Quartet in C K. 157),Mozart,Voxman,"Rubank, Inc.",1,
244-1-11908,Mixed Clarinet Quartet,Allegro (from String Quartet K. 464),Mozart,Waln,Neil A. Kjos Music Company,1,
244-1-11910,Mixed Clarinet Quartet,Suite,Smith,,C.L. Barnhouse Company,1,"(3 b-flat cl, alto cl)"
244-1-11912,Mixed Clarinet Quartet,Divertimento,Uhl,,Schott Company,1,"(play first or last mvt) (3 b-flat cl, bass cl)"
244-1-11913,Mixed Clarinet Quartet,Chase of the Centaurs,Walker,,C.L. Barnhouse Company,1,
244-2-11915,Mixed Clarinet Quartet,Andante and Fughetta,Bach,Ayres,C.L. Barnhouse Company,2,
244-2-11917,Mixed Clarinet Quartet,"May'st Thou be Praised, Christ Jesus",Bach,Conley,"Kendor Music, Inc.",2,
244-2-11916,Mixed Clarinet Quartet,Fugue XVI in g minor,Bach,Pentz,"Belwin, Inc",2,
244-2-11918,Mixed Clarinet Quartet,Minuet and March,Beethoven,Ayres,C.L. Barnhouse Company,2,
244-2-11919,Mixed Clarinet Quartet,Andante (from Quartet in D Op. 60 No. 2),Bohne,Voxman,"Rubank, Inc.",2,
244-2-11921,Mixed Clarinet Quartet,Le Petit Negre,Debussy,Aga,Alphonse Leduc,2,"(Eb cl, b-flat cl, alto cl, bass cl)"
244-2-11922,Mixed Clarinet Quartet,March (from Die Regimentstochter),Donizetti,Gore,Harold Gore Publishing Co.,2,
244-2-11923,Mixed Clarinet Quartet,Bourree (from Water Music Suite),Handel,Barr,"Belwin, Inc",2,
244-2-11926,Mixed Clarinet Quartet,Serenade,Haydn,Debueris,"Belwin, Inc",2,
244-2-11925,Mixed Clarinet Quartet,Minuet and Trio,Haydn,Wienandt,Southern Music Company,2,"(3 b-flat cl, bass cl)"
244-2-11927,Mixed Clarinet Quartet,Divertimento,Hovhaness,,C.F. Peters Corporation,2,"(play four mvts) (3 b-flat cl, bass cl)"
244-2-11928,Mixed Clarinet Quartet,Prelude,LeFevre,Waln,Neil A. Kjos Music Company,2,
244-2-11929,Mixed Clarinet Quartet,Sarabande and Finale,Liadow/Haydn,Voxman,"Rubank, Inc.",2,(play Finale)
244-2-11931,Mixed Clarinet Quartet,On the Boulevard,McKay,,C.L. Barnhouse Company,2,
244-2-11930,Mixed Clarinet Quartet,Musette,McKay,,C.L. Barnhouse Company,2,
244-2-11932,Mixed Clarinet Quartet,Song and Dance,McKay,,C.L. Barnhouse Company,2,
244-2-11933,Mixed Clarinet Quartet,March (from Die Hugenotten),Meyerbeer,Gore,Harold Gore Publishing Co.,2,
244-2-11934,Mixed Clarinet Quartet,Finale K. 385,Mozart,McLeod,"Kendor Music, Inc.",2,
244-2-11935,Mixed Clarinet Quartet,Menuetto,Mozart,Voxman/Block,Southern Music Company,2,
244-2-11936,Mixed Clarinet Quartet,Quartet,Powell,,"Carl Fischer, Inc.",2,(play two mvts)
244-2-11937,Mixed Clarinet Quartet,March (from the Opera Moses),Rossini,Gore,Harold Gore Publishing Co.,2,
244-2-11938,Mixed Clarinet Quartet,Military March of the Regiments,Schubert,Gore,Harold Gore Publishing Co.,2,
244-2-11939,Mixed Clarinet Quartet,Allegro,Swack,,Shawnee Press,2,"(3 b-flat cl, bass cl)"
244-2-11940,Mixed Clarinet Quartet,Badinage and Allegro,Telemann,Voxman/Block,Southern Music Company,2,
244-2-11941,Mixed Clarinet Quartet,Scherzo (from Fourth Symphony),Tchaikovsky,O'Hara,"Alfred Music Company, Inc.",2,
244-2-11924,Mixed Clarinet Quartet,Finale,Haydn,Voxman,"Rubank, Inc. [Ensemble Classics, Vol. 2]",2,
244-2-11942,Mixed Clarinet Quartet,Masquerade,Walker,,C.L. Barnhouse Company,2,
244-2-11943,Mixed Clarinet Quartet,Valse Scherzo,Walker,,C.L. Barnhouse Company,2,
244-2-11944,Mixed Clarinet Quartet,Adagio and Allegro,Zingarelli,Wienandt,Southern Music Company,2,
244-3-11948,Mixed Clarinet Quartet,Galliard and Courante,Frescobaldi,Johnson,"Rubank, Inc.",3,"(play all) (3 b-flat cl, bass cl)"
244-3-11949,Mixed Clarinet Quartet,Impromptu,Gurlitt,Lester,"JTL Publications, G. Scott Music Publishing Co.",3,
244-3-11951,Mixed Clarinet Quartet,Ivan is Ill,Khatchaturian,Lester,"JTL Publications, G. Scott Music Publishing Co.",3,
