Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
236-2-11682,Mixed Clarinet Trio,Motet Cantate Domino,di Lasso,,"Western International Music, Inc.",2,"(2 Bb, bass)"
236-1-12194,Mixed Clarinet Trio,J.S. Bach and Sons,Bach,Lester,"JTL Publications, G. Scott Music Publishing Co.",1,"(2 Bb, bass)"
236-2-12251,Mixed Clarinet Trio,Divertimento in Eb,Haydn,Voxman,"Rubank, Inc.",2,"(2 Bb, bass)"
236-2-12257,Mixed Clarinet Trio,Court Dances,Lester,,"JTL Publications, G. Scott Music Publishing Co.",2,"(2 Bb, bass) (play Air & Ballet OR Air & Gavotte)"
236-3-12272,Mixed Clarinet Trio,Terzetto,Bach,Dansby,"Kendor Music, Inc.",3,"(2 Bb, bass)"
236-3-12284,Mixed Clarinet Trio,Minuet and Trio,Mozart,Ostling,"Belwin, Inc",3,"(Eb, 2 Bb)"
236-2-26437,Mixed Clarinet Trio,"Wachet auf, ruft uns die Stimme.",Bach,Schmidt,"Western International Music, Inc.",2,"(Bb, alto, bass)"
236-1-26444,Mixed Clarinet Trio,Sinfonia,Schmidt,,"Western International Music, Inc.",1,"(2 Bb, bass)"
236-2-34842,Mixed Clarinet Trio,Two Dances,Pappas,,JPM Music Publications,2,"(2 Bb, bass)"
236-3-34841,Mixed Clarinet Trio,Little Rondo,Bley,,JPM Music Publications,3,"(2 Bb, bass OR Bb, alto, bass)"
236-2-31414,Mixed Clarinet Trio,Three Part Invention,"Bach, J.S.",Gee,"Kendor Music, Inc.",2,"(2 Bb, bass)"
236-1-34843,Mixed Clarinet Trio,Three Baroque Danses,Corelli,Pappas,JPM Music Publications,1,"(2 Bb, bass)"
236-1-34580,Mixed Clarinet Trio,"Trio Sonata #1, Mvt. 1 BWV 525",Bach,Gregory,JW Pepper,1,"(2 Bb, bass)"
236-2-35741,Mixed Clarinet Trio,Three Baroque Danses,Corelli,Pappas,JPM Music Publications,2,"(2 Bb, bass) (play 2nd AND 3rd mvts)"
236-2-35742,Mixed Clarinet Trio,Divertimento No. 1,Mozart,Gibson,JPM Music Publications,2,"(2 Bb, bass)"
236-1-35743,Mixed Clarinet Trio,Three Bach Pieces,Bach,Contorno,"Kendor Music, Inc.",1,"(2 Bb, bass)"
236-2-35744,Mixed Clarinet Trio,Three Bach Pieces,Bach,Contorno,"Kendor Music, Inc.",2,"(2 Bb, bass) (play two mvts)"
236-3-35745,Mixed Clarinet Trio,Three Bach Pieces,Bach,Contorno,"Kendor Music, Inc.",3,"(2 Bb, bass) (play 1st OR 3rd mvt)"
236-3-35746,Mixed Clarinet Trio,"Baryton Trio No. 7 ""Menuet""",Haydn,Gibson,JPM Music Publications,3,"(2 Bb, bass)"
236-2-35747,Mixed Clarinet Trio,Three Dances,Beethoven,Pappas,JPM Music Publications,2,"(2 Bb, bass)"
236-1-37240,Mixed Clarinet Trio,Little Fugue in G Minor,Bach,Drapkin,"Drapkin Music Publications [Trios for Two Clarinets and Bass Clarinet, Volume 1]",1,
236-1-37241,Mixed Clarinet Trio,March to the Gallows,Berlioz,Drapkin,"Drapkin Music Publications [Trios for Two Clarinets and Bass Clarinet, Volume 1]",1,
