Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
503-1-31286,Multiple Percussion Solo,Multi Man,Astrand,,Musicon Publications [Multitudes],1,
503-1-31287,Multiple Percussion Solo,Disc Skip,Bliss,,Musicon Publications [Multitudes],1,
503-1-14951,Multiple Percussion Solo,Spanish Dance,Davis,,Creative Music,1,
503-2-14950,Multiple Percussion Solo,Multi-Percussion Suite No. 1,Davis,,C.L. Barnhouse Company,2,(play all)
503-1-14956,Multiple Percussion Solo,Motion,Glassock,,"Kendor Music, Inc.",1,
503-1-14957,Multiple Percussion Solo,Arithmetic,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14958,Multiple Percussion Solo,Concert Etude,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14959,Multiple Percussion Solo,Corrente II,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14960,Multiple Percussion Solo,Discourse,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14961,Multiple Percussion Solo,Encounter,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14962,Multiple Percussion Solo,Kinesis,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14963,Multiple Percussion Solo,M.G. to M.G.,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14964,Multiple Percussion Solo,Night Piece,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14965,Multiple Percussion Solo,Rhythm Serenade,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],1,
503-1-14966,Multiple Percussion Solo,Suite,Horvit,,"Kendor Music, Inc.",1,(play one mvt)
503-1-14971,Multiple Percussion Solo,Morris Dance,Kraft,,"Western International Music, Inc.",1,(play all) NMR:(play all)
503-1-14974,Multiple Percussion Solo,Concerto for Percussion,Milhaud,,Universal Editions,1,(piano accomp) (play all) NMR:(play all)
503-2-14975,Multiple Percussion Solo,Slavic Danse,Payson,,Creative Music,2,
503-2-14977,Multiple Percussion Solo,Energy Suite,Spears,,C.L. Barnhouse Company,2,(play all)
503-1-14978,Multiple Percussion Solo,Prologue and Jubilo,Spears,,Southern Music Company,1,
503-1-14980,Multiple Percussion Solo,Inspirations Diabolique,Tagawa,,"Western International Music, Inc.",1,(play any two mvts ) NMR:(play any two mvts)
503-1-14981,Multiple Percussion Solo,The Contemporary Percussionist,Udow/Watts,,"Meredith Music, Inc",1,(play two) NMR:(play two)
503-1-14984,Multiple Percussion Solo,Conversation,Witten,,Southern Music Company,1,
503-2-14986,Multiple Percussion Solo,Pulsation,Burns/Feldstein,,"Henry Adler, Inc. [Advanced Percussion Solos, Book I]",2,
503-2-14987,Multiple Percussion Solo,Three Moods,Burns/Feldstein,,"Henry Adler, Inc. [Advanced Percussion Solos, Book I]",2,
503-2-14985,Multiple Percussion Solo,20 Down,Burns/Feldstein,,"Henry Adler, Inc. [Advanced Percussion Solos, Book I]",2,
503-2-14989,Multiple Percussion Solo,Sounds of the Kabuki,Davis,,Creative Music,2,
503-2-14990,Multiple Percussion Solo,Multiple Episode No. 1,Gaetano,,Stu4,2,
503-2-14991,Multiple Percussion Solo,Articulations,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],2,
503-2-14992,Multiple Percussion Solo,Echo March,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],2,
503-2-14993,Multiple Percussion Solo,Five Timbres,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],2,
503-2-14994,Multiple Percussion Solo,Pow Wow,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],2,
503-2-14995,Multiple Percussion Solo,Resonances,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],2,
503-2-14996,Multiple Percussion Solo,Solo Piece,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],2,
503-2-14997,Multiple Percussion Solo,Contemporary Courante,Payson,,Creative Music,2,
503-2-14998,Multiple Percussion Solo,Scherzo for Skinflint,Schinstine,,Southern Music Company,2,
503-2-15000,Multiple Percussion Solo,Introduction and Furioso,Spears,,C.L. Barnhouse Company,2,"(4 toms, 2 suspended cymbals)"
503-2-15001,Multiple Percussion Solo,Trilogy for Solo Percussionist,Spears,,C.L. Barnhouse Company,2,
503-2-15002,Multiple Percussion Solo,Accent Fever,Ukena,,Southern Music Company,2,
503-3-15003,Multiple Percussion Solo,Pentad,Burns/Feldstein,,"Henry Adler, Inc. [Advanced Percussion Solos, Book I]",3,
503-3-15004,Multiple Percussion Solo,Snare Drum Suite,Burns/Feldstein,,"Henry Adler, Inc. [Advanced Percussion Solos, Book I]",3,
503-3-15005,Multiple Percussion Solo,Statement for Solo Percussion,Glassock,,"Kendor Music, Inc.",3,
503-3-15006,Multiple Percussion Solo,Four Sonic Plateaus,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],3,
503-3-15007,Multiple Percussion Solo,Multiples,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],3,
503-3-15008,Multiple Percussion Solo,Paganry,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],3,
503-3-15009,Multiple Percussion Solo,Stave Off Staves,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],3,
503-3-15010,Multiple Percussion Solo,Study in Dynamic Contrasts,Goldenberg,,Chappell Music Company [Studies in Solo Percussion],3,
503-3-15011,Multiple Percussion Solo,"""2-4-1""",Kraft,,"Western International Music, Inc.",3,
503-3-15012,Multiple Percussion Solo,Etude for Membranophones,Schinstine,,Creative Music,3,
503-3-15013,Multiple Percussion Solo,A Graphic Portrait,Spears,,C.L. Barnhouse Company,3,
503-1-14982,Multiple Percussion Solo,Bamboo Dragon,Varner,,Michael Varner,1,
503-1-14952,Multiple Percussion Solo,The Love of L'Histoire,Delancey,,Mitchell Peters,1,(play all) NMR:(play all)
503-1-14970,Multiple Percussion Solo,French Suite,Kraft,,Theodore Presser Company,1,(play two mvts) NMR:(play two mvts)
503-1-14969,Multiple Percussion Solo,English Suite,Kraft,,Theodore Presser Company,1,(play any two mvts) NMR:(play any two mvts)
503-1-14947,Multiple Percussion Solo,Partita,Cahn,,Honey Rock,1,(play 1 & 3) NMR:(play 1 & 3)
503-1-14967,Multiple Percussion Solo,Dance No. 1,Kastuck,,"Kastuck Percussion Studio, Inc.",1,
503-1-14973,Multiple Percussion Solo,The Storm,Mikula,,Honey Rock,1,(play mvt 2) NMR:(play mvt 2)
503-1-26229,Multiple Percussion Solo,"Faded Dreams, Fragile Pledge",Barber,,Pioneer Percussion,1,
503-1-26230,Multiple Percussion Solo,Engine Room,Campbell,,Row-Loff Publications,1,
503-2-26231,Multiple Percussion Solo,Solus,Leonard,,Drop6,2,
503-2-26232,Multiple Percussion Solo,Istra,Beck,,"Kendor Music, Inc.",2,
503-2-26233,Multiple Percussion Solo,Tork,Campbell,,Row-Loff Publications;RBC Publications,2,(play one)
503-2-26234,Multiple Percussion Solo,Tricastourine,Eyler,,Pioneer Percussion,2,
503-2-26235,Multiple Percussion Solo,Nomad,Gauger,,Southern Music Publishing Company,2,
503-2-26236,Multiple Percussion Solo,Phone Tag,Houllif,,"Kendor Music, Inc.",2,
503-2-26237,Multiple Percussion Solo,Oh Well!,Pollard,,Any unabridged edition,2,(play one)
503-3-26238,Multiple Percussion Solo,Rockin' Rowls,Pollard,,Any unabridged edition,3,(play one)
503-1-28009,Multiple Percussion Solo,Sleight of Hand,Ward,,CAI,1,
503-1-28975,Multiple Percussion Solo,The Third Half of the Circle,Fambrough,,Musicon Publications,1,(play all) NMR:(play all)
503-1-28976,Multiple Percussion Solo,Collinear Dancer,Riley,,C. Alan Publications,1,
503-1-28977,Multiple Percussion Solo,Sticks of Eloquence,Burritt,,Ludwig Music Publishing Company,1,(play all) NMR:(play all)
503-1-28978,Multiple Percussion Solo,Machine,Allemeier,,C. Alan Publications,1,
503-1-28979,Multiple Percussion Solo,Cold Pressed,Hollinden,,CAI,1,(play all) NMR:(play all)
503-1-28980,Multiple Percussion Solo,Points of Consistency,Nozny,,Drop6,1,"(play two from 1, 2, 3, or 4) NMR:(play two from 1, 2, 3, or 4)"
503-1-28983,Multiple Percussion Solo,Garage Drummer,Campbell,,Honey Rock,1,(soundscape cd accomp) (play all) NMR:(play all)
503-1-28984,Multiple Percussion Solo,Concerto,Jager,,"Meredith Music, Inc",1,"(piano accomp) (play all) NMR:(play all, piano accomp)"
503-2-28985,Multiple Percussion Solo,Nelker March,McClaren,,Ludwig Music Publishing Company,2,
503-2-28986,Multiple Percussion Solo,Mountain Man,Houllif,,"Kendor Music, Inc.",2,
