Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
203-1-10372,Oboe Solo,Concerto Op. 9 No. 2,Albinoni,Giazotto,International Music Company,1,(play two mvts)
203-1-10373,Oboe Solo,Autumn Soliloquy,Barnes,,Southern Music Company,1,
203-1-10374,Oboe Solo,Concerto in Eb,Bellini,Peters,Southern Music Company,1,
203-1-10375,Oboe Solo,Sonatina,Bialosky,,"Western International Music, Inc.",1,(play mvts 1 or 3)
203-1-10376,Oboe Solo,Sonata in G,Boni,Rothwell,"J&W Chester, Ltd.",1,(play two contrasting mvts)
203-1-32198,Oboe Solo,Conte Pastorale,Bozz,,Leduc,1,
203-1-10378,Oboe Solo,Concerto for Oboe,Cimarosa,Benjamin,"Boosey & Hawkes, Inc.",1,(play two contrasting mvts)
203-1-10379,Oboe Solo,Third Solo de Concert Op. 40,Colin,Andraud,Southern Music Company,1,
203-1-10380,Oboe Solo,Album of Five Pieces,Debussy,,International Music Company,1,(play one)
203-1-10382,Oboe Solo,Concerto for Oboe and Strings,Eichner,,Oxford University Press,1,(play one mvt) NMR:(play all)
203-1-10383,Oboe Solo,Concerto in G Major,Fasch,Manning,Southern Music Company,1,(play mvts 1 & 2 or 3 & 4)
203-1-32197,Oboe Solo,"Concerto Op. 7, No. 6",Albinoni,,"Boosey & Hawkes, Inc.",1,(play mvts. 1 & 2 or mvts. 2 & 3)
203-1-10386,Oboe Solo,Legende Pastorale Op. 138,Godard,,Southern Music Company,1,
203-1-10387,Oboe Solo,Sarabande et Allegro,Grovlez,,Alphonse Leduc,1,
203-1-10388,Oboe Solo,First Concertino,Guilhaud,Andraud,Southern Music Company,1,
203-1-10394,Oboe Solo,Sonata No. 2 in g minor,Handel,Arnold,Amsco Publications [Oboe Solos],1,(play mvts 1 & 2)
203-1-10395,Oboe Solo,Sonata No. 3 in F,Handel,Arnold,Amsco Publications [Oboe Solos],1,(play mvts 1 & 2)
203-1-10389,Oboe Solo,Concerto Grosso No. 8 in Bb,Handel,,Southern Music Company,1,(play mvts 1(Adagio) & 2 (Allegro))
203-1-10390,Oboe Solo,Concerto in g minor,Handel,Voxman,"Rubank, Inc.",1,(play mvts 1 & 2 or 1 & 4)
203-1-10392,Oboe Solo,Sonata No. 1 in c minor,Handel,Voxman,"Rubank, Inc. [Concert and Contest Collection];Jack Spratt Music Publishers",1,(play mvts 1 & 2)
203-2-10396,Oboe Solo,Elegaic Dance,Head,,"Boosey & Hawkes, Inc.",2,
203-2-10397,Oboe Solo,Presto,Head,,"Boosey & Hawkes, Inc.",2,
203-1-10398,Oboe Solo,Sonata for Oboe,Hindemith,,Schott Company,1,(play mvt 1) NMR:(play all)
203-1-10399,Oboe Solo,Concerto in c minor,Marcello,,Southern Music Company,1,(play 1 & 2 OR 2 & 3)
203-1-10400,Oboe Solo,Concerto in d minor,Marcello,,Musica Rara,1,(play one mvt)
203-2-10401,Oboe Solo,Largo e Allegretto,Marcello,Rothwell,"J&W Chester, Ltd.",2,
203-1-10404,Oboe Solo,Sonata k.v.370,Mozart,Arnold,Amsco Publications [Oboe Solos],1,(play mvt 1 or mvt 3)
203-1-10402,Oboe Solo,Concertino,Mozart,Andraud,Southern Music Company,1,(play one mvt)
203-1-10403,Oboe Solo,Concerto in Eb,Mozart,Andraud,Southern Music Company,1,(play mvt 1)
203-1-10406,Oboe Solo,Two Fantasy Pieces Op. 2,Nielsen,,Wilhelm Hansen,1,
203-1-10408,Oboe Solo,Concertante,Paladilhe,Voxman,"Rubank, Inc.",1,
203-1-10410,Oboe Solo,Sonata,Prowo,Ruf,Schott Company,1,"(play 1 & 2 or 1 & 3 or mvts 4, 5, & 6)"
203-1-10411,Oboe Solo,Piece en Forme de Habanera,Ravel,,Alphonse Leduc,1,
203-1-10414,Oboe Solo,Concerto in F,Rosetti,Nagele,Universal Editions,1,(play mvt 1 or 2)
203-1-10412,Oboe Solo,Concerto in C,Rosetti,Richards,Southern Music Company,1,(play mvt 1)
203-1-10413,Oboe Solo,Concerto in D,Rosetti,Richards,Southern Music Company,1,(play mvt 1)
203-1-10415,Oboe Solo,Sonate Op. 166,Saint-Saens,,Durand,1,(play one mvt) NMR:(play all)
203-1-10417,Oboe Solo,Concerto in f minor,Telemann,,Southern Music Company,1,(play mvts 1 & 2 or 2 & 3)
203-1-10420,Oboe Solo,Sonata in a minor,Telemann,Andraud,Southern Music Company,1,(play two contrasting mvts)
203-1-10422,Oboe Solo,Sonata in g minor,Telemann,Andraud/Bergmann,Southern Music Company;Schott Company,1,(play mvts 1 & 2)
203-1-10424,Oboe Solo,Concerto,Vaughan Williams,,Oxford University Press,1,(play mvt 1) NMR:(play two mvts.)
203-1-10425,Oboe Solo,Sonata in C Major Op. 1 No. 6,Vincent,Pratt,Oxford University Press,1,(play mvts 1 & 2)
203-1-10426,Oboe Solo,Concerto in C Major PV 44,Vivaldi,,Edition Kunzelman USA,1,(play mvts 1 & 2 or 2 & 3)
203-1-10427,Oboe Solo,Concerto in D Major,Vivaldi,,Eulenberg,1,(play one mvt)
203-1-10428,Oboe Solo,"Concerto in d minor FVII, No. 1",Vivaldi,,"Ricordi & Company, Inc.",1,(play mvts 1 & 2 or 2 & 3)
203-1-10429,Oboe Solo,"Concerto in F Major, F. VII, No. 2",Vivaldi,,International Music Company,1,(play one mvt)
