Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
571-1-25289,Percussion Ensemble,Czardas,Monti,Primatic,"Tapspace Publications, LLC",1,"(8 - 9 perf: glockenspiel, vibraphone, xylophone, 2 marimbas (low A), 1 marimba (low C), 3 timpani, crash cymbals, tambourine, triangle)"
571-1-38698,Percussion Ensemble,Adelant,Mendoza,,C. Alan Publications,1,"(6 perf: vibraphone, sus cymb; vibraphone, sus cymb; 5-octave marimba, 1 crotale; 5-octave marimba, sizzle cymb; piano; china cymb, 4 toms, kick drum, roto-tom, bongos, snare drum, finger cymbs, wind chimes)"
571-1-36210,Percussion Ensemble,Dissolve,Di Bartolo,,ADpercussion,1,"(4 perf: 2 5.0-octave marimbas, 2 4.3-octave marimbas)"
571-1-38697,Percussion Ensemble,Bulldog,Venet,,DrGlockenAV Publications,1,"(4 perf: bongos, low drum, wood slat, china cymb; 4 toms, earth plate, wood slat; snare drum, tom, wood slat; bongos, medium drum, wood slat, kick drum)"
571-1-38699,Percussion Ensemble,Arcanical Plains,Deane,,C. Alan Publications,1,"(12 perf: glockenspiel, crotales; vibraphone; vibraphone; chimes, 2 cymbs, tam-tam; 4 marimbas; 4-5 timpani, wind gong; 2 snare drums, timbales, bongos, cowbell; 3 cymbs, conga, 4 concert toms, anvil; concert bass drum, smaller bass drum, kick drum)"
571-1-32483,Percussion Ensemble,Seven Come Eleven,Brooks,,Row-Loff Publications,1,"(7 perf: bells, xylo; mari; vibes; timp; bass gtr; drumset; gong, sus cym, congas, ribbon crasher, jam block, large metal shaker)"
571-1-32480,Percussion Ensemble,Scenes from the Woods,Blume,,"Tapspace Publications, LLC",1,(4 perf: 2 4.3-oct mari; 2 5.0-oct mari; (3 4.3-oct and 1 5.0-oct optional); 4 wdblcks)
571-1-32485,Percussion Ensemble,Compound Autonomy,Casella,,"Tapspace Publications, LLC",1,"(15-17 perf: glock, guiro; xylo, crotales; chime, 2 cowbell, guiro, cricket; vibe, sus cym; vibe; mari 1; mari 2; mari 3; mari 4; timp, 2 brake drums; bongo, vibraslap, wind gong; sandpaper, 2 wood blck; triangle, mark tree; sus cym, 2 china cym, splash cym, mark tree, log drum; drumset; piano; bass guitar)"
571-1-32479,Percussion Ensemble,The Storm,Beethoven,Slawson,"Tapspace Publications, LLC",1,(3 perf: vibe; mari 1 (4.0-oct); mari 2 (5.0-oct)
571-1-32487,Percussion Ensemble,Joaquin on Sunshine,Casella,,"Tapspace Publications, LLC",1,"(15-17 perf: glock, sus cym, finger cym; xylo, crotales; chimes, marktree, tri; vibes 1, sizzle cym; vibes 2; mari 1 (4.3-oct), sus cym, sizzle cym; mari 2 (4.5-oct shared); piano; bass guitar; drumset; bongos, guiro; 2 congas, cabasa, djembe; timbales, bass drum; shekere; tri, sus cym; tam-tam, bell tree)"
571-1-32481,Percussion Ensemble,Rain,Boyar,,Boyar Music Studios,1,(6 perf: sharing 4 marimbas (3 4.3-oct & 1 5.0-oct mari))
571-1-32482,Percussion Ensemble,Continuum,Briskey,,"Tapspace Publications, LLC",1,(4 perf: snare drum; field drum; 6 toms; bass drum)
571-1-32486,Percussion Ensemble,Cop Drama,Casella,,"Tapspace Publications, LLC",1,"(16 perf: glock, bell tree; xylo, crotale, sizzle cym, wdblck; vibes 1; vibes 2, sus cym; mari 1 (4.3-oct); mari 2 (4.3-oct), sus cym; mari 3 (4.5-oct); mari 4 (4.5-oct), sus cym; chimes, vibraslp, temple blcks, opera gong, sizzle cym; tri, ribbon crash, zil-bell, water bowl, 2 toms, sus cym, egg shaker; guiro, bongos, congas, tam tam, djembe, snare drum; guiro, cabasa, 3 cowbells, 2 splash cym, sus cym, flexatone, claves, vibratone; keyboard; electric guitar; bass guitar; drumset)"
