Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
603-1-39824,Piano Solo,"Capriccio on the Departure of a Beloved Brother, BWV 992",Bach,,Any unabridged edition,1,
603-1-39825,Piano Solo,Sonata (1926),Bartok,,"Boosey & Hawkes, Inc.;Universal Music Company",1,(play 1st OR 3rd mvt)
603-1-39826,Piano Solo,"Four Sketches, Op. 15",Beach,,Dover [Amy Beach: Piano Music],1,(play one)
603-1-39822,Piano Solo,"Suite Española, Op. 47",Albeniz,,International Music Company;Union Musical Ediciones,1,(play one mvt)
603-1-39823,Piano Solo,"Chants d’Espagne, Op. 232",Albeniz,,Henle Publishing;Union Musical Ediciones,1,(play one mvt)
603-1-18026,Piano Solo,Capriccio in Bb Major,Bach,,Edwin F. Kalmus;C.F. Peters Corporation,1,
603-1-18027,Piano Solo,"Fantasy in c minor, BWV 906",Bach,,"C.F. Peters Corporation;G. Henle Verlag/USA, Inc.;Edwin F. Kalmus;Any unabridged edition",1,
603-1-18028,Piano Solo,Sinfonias (Three-Part Inventions) BWV 787-801,Bach,,"Alfred Music Company, Inc.;Barenreiter/Verlag;Foreign Music Distributors;Any unabridged edition",1,(play two 3 part inventions)
603-1-18029,Piano Solo,"Italian Concerto, BWV 971",Bach,,"Alfred Music Company, Inc.;Barenreiter/Verlag;Foreign Music Distributors;Any unabridged edition",1,(play first or last mvt) NMR:(play first and last mvts)
603-1-18030,Piano Solo,"Six French Suites, BWV 812-817",Bach,,C.F. Peters Corporation;Edwin F. Kalmus;Barenreiter/Verlag;Foreign Music Distributors;Any unabridged edition,1,(play two contrasting mvts from one suite)
603-1-18031,Piano Solo,"Six Partitas, BWV 825-830",Bach,,C.F. Peters Corporation;Edwin F. Kalmus;Barenreiter/Verlag;Foreign Music Distributors;Any unabridged edition,1,(play two contrasting mvts from one partita)
603-1-18032,Piano Solo,"The Well-Tempered Clavier, Vol. I & II, BWV 846-869, 870-893",Bach,,"Belwin, Inc;Edwin F. Kalmus;Any unabridged edition",1,(play one Prelude & Fugue) (a cappella)
603-1-18033,Piano Solo,Excursions,Barber,,"G. Schirmer, Inc.",1,(play one)
603-1-18034,Piano Solo,Nocturne,Barber,,"G. Schirmer, Inc.",1,
603-1-18035,Piano Solo,Allegro Barbaro,Bartok,,"Boosey & Hawkes, Inc.;Any unabridged edition",1,
603-1-18036,Piano Solo,"Mikrokosmos, Vols. V and VI",Bartok,,"Boosey & Hawkes, Inc.;Any unabridged edition",1,(play two from one vol.)
603-1-18037,Piano Solo,Suite Op. 14,Bartok,,"Boosey & Hawkes, Inc.;Any unabridged edition",1,(play two mvts)
603-1-36059,Piano Solo,Variations on Rule Britannia,Beethoven,,Any unabridged edition,1,
603-1-18039,Piano Solo,"Ballades, Op. 10",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18040,Piano Solo,"Fantasies, Op. 116",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18041,Piano Solo,"Piano Pieces, Op. 117",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18042,Piano Solo,"Piano Pieces, Op. 118",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18043,Piano Solo,"Piano Pieces, Op. 119",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18044,Piano Solo,"Piano Pieces, Op. 76",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18045,Piano Solo,"Rhapsodies, Op. 79",Brahms,,Edwin F. Kalmus [Piano Works in Two Volumes];Any unabridged edition,1,(play one)
603-1-18046,Piano Solo,"Mazurkas, Op. 6, 7, 17, 24, 33, 50, 59, 63",Chopin,,"C.F. Peters Corporation;Chopin Institute Edition;Salabert, Inc.;Any unabridged edition",1,"(Play one EXCEPT Op. 7, No. 1 & 5)"
603-1-18051,Piano Solo,Nocturnes,Chopin,,"C.F. Peters Corporation;Chopin Institute Edition;Salabert, Inc.",1,(play one)
603-1-18052,Piano Solo,"Polonaises, Op. 26, 40, 44, 61",Chopin,,"C.F. Peters Corporation;Chopin Institute Edition;Salabert, Inc.;Any Publisher",1,(play one)
603-1-18054,Piano Solo,Waltz,Chopin,,Public Domain,1,"(Play one EXCEPT Waltz in A minor, Op. post. BI 150)"
603-1-18056,Piano Solo,Four Piano Blues,Copland,,"Boosey & Hawkes, Inc.",1,(play one)
603-1-18057,Piano Solo,"Scherzo Humoristique, The Cat and the Mouse",Copland,,"Boosey & Hawkes, Inc.;Alfred Music Company, Inc.",1,
603-1-18058,Piano Solo,Children’s Corner Suite,Debussy,,C.F. Peters Corporation;Durand;Any unabridged edition,1,"(Play first, third, fourth or last movement—NOT Jimbo’s Lullaby OR The Little Shepherd)"
603-1-36056,Piano Solo,Suite Bergamasque,Debussy,,Dover;Any unabridged edition,1,(play one mvt)
603-1-18061,Piano Solo,"Preludes, Book I and Book II",Debussy,,Durand;Any unabridged edition,1,"(play one Prelude EXCEPT ""Bruyeres"")"
603-1-18062,Piano Solo,Four Rhapsodies Op. 11,Dohnanyi,,"Edwin F. Kalmus;Alfred Music Company, Inc.",1,(play one) NMR:(play two)
603-1-18063,Piano Solo,Three Preludes,Gershwin,,"Harms, Inc.;New World Music Corporation;Any unabridged edition",1,(play two)
603-1-18064,Piano Solo,Rondo on Argentine Children's Folk Tunes,Ginastera,,"Boosey & Hawkes, Inc.",1,
603-1-18065,Piano Solo,"Twelve Spanish Dances, Volume 2",Granados,,"Edwin F. Kalmus;G. Schirmer, Inc.;Any unabridged edition",1,(play one)
603-1-18066,Piano Solo,"Piano Sonatas, Hob. 20-52",Haydn,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Henle Verlag/USA, Inc.;Vienna Urtext Edition;Any unabridged edition",1,(play first or last mvt only from one sonata)
603-1-18067,Piano Solo,Sonata II,Hindemith,,Schott Company,1,(play two mvts) NMR:(play all)
603-1-18068,Piano Solo,Twenty-four Preludes Op. 38,Kabalevsky,,Music Corporation of America;Any unabridged edition,1,(play two)
603-1-18069,Piano Solo,12 Etudes Op. 39,MacDowell,,Boston Music Company;Edwin F. Kalmus,1,(play two)
603-1-18071,Piano Solo,Sonatas,Mozart,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Henle Verlag/USA, Inc.;Barenreiter/Verlag;Foreign Music Distributors;Any unabridged edition",1,"(play first or last mvt of one Sonata, except k.545: play all)"
603-1-18072,Piano Solo,Variations on Salve tu Domine K. 398,Mozart,,C.F. Peters Corporation,1,
