Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
430-1-16975,Piano Trio,Sonata in C,Bach,Smith,Ludwig Doblinger,1,(play mvt 1)
430-1-16976,Piano Trio,Trio in Bb,Bach,,"Carl Fischer, Inc.",1,(play one mvt)
430-1-16977,Piano Trio,Eleven Trios,Beethoven,,"Associated Music Publishers Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;International Music Company;Edwin F. Kalmus",1,(play one mvt from one trio)
430-1-16978,Piano Trio,New Trio Album,Anon. or Trad.,Borch,"Carl Fischer, Inc.",1,(play one trio)
430-1-16979,Piano Trio,"Trio No. 1, 2, 3, or Op. 114",Brahms,,Luck's Music Library,1,(play one mvt from one trio)
430-1-16980,Piano Trio,"Miniatures, Set 2",Bridge,,Galaxy Music Corporation,1,(play one)
430-1-16981,Piano Trio,Dumky Op. 90,Dvorak,,Luck's Music Library;Edwin F. Kalmus,1,(play one mvt)
430-1-16982,Piano Trio,Chamber Trio No. 23,Handel,,McGinnis & Marx,1,(play two contrasting mvts)
430-1-16983,Piano Trio,Trio No. 34 in B,Haydn,Landon,Ludwig Doblinger,1,(play one mvt)
430-1-16984,Piano Trio,Trio No. 35 in C,Haydn,Landon,Ludwig Doblinger,1,(play one mvt)
430-1-16985,Piano Trio,Twenty One Trios,Haydn,,C.F. Peters Corporation;International Music Company;Edwin F. Kalmus,1,(play one trio)
430-1-16986,Piano Trio,"Trio Op. 65 in G for Violin, Cello and Piano",Hummel,,Musica Rara,1,(play one mvt)
430-1-16987,Piano Trio,"Trio Op. 93 in Eb for Violin, Cello and Piano",Hummel,,Musica Rara,1,(play one mvt)
430-1-16988,Piano Trio,Trio in d minor Op. 49,Mendelssohn,,"C.F. Peters Corporation;G. Schirmer, Inc.",1,(play one mvt)
430-1-16989,Piano Trio,Piano Trios,Mozart,,Baerenreiter Kassel;Barenreiter/Verlag;Foreign Music Distributors,1,(play one mvt)
430-1-16990,Piano Trio,Seven Trios,Mozart,,"Associated Music Publishers Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;International Music Company",1,(play one mvt)
430-1-16991,Piano Trio,"Six Sonatas for Keyboard, Violin, and Cello",Mozart,,Barenreiter/Verlag,1,(play one mvt)
430-1-16992,Piano Trio,Piano Trios Op. 99 and 100,Schubert,,Luck's Music Library;Edwin F. Kalmus;Barenreiter/Verlag;Foreign Music Distributors,1,(play one mvt)
430-1-16993,Piano Trio,Piano Trio Op. in Bb Major,Spohr,,Barenreiter/Verlag,1,(play one mvt)
430-1-16994,Piano Trio,Trio in a minor Op. 50,Tchaikovsky,,Luck's Music Library;Edwin F. Kalmus,1,(play one mvt)
430-2-24281,Piano Trio,Cantique de Noel (O Holy Night),Adam,Whistler/Hummel,"Rubank, Inc. [Program Album for String Trio]",2,
430-2-16996,Piano Trio,Modern Trio Album,Anon. or Trad.,Ambrosio,"Carl Fischer, Inc.",2,(play one)
430-2-16995,Piano Trio,Heart Throbs,Arnold,Ambrosio,"Carl Fischer, Inc. [Encore Trio Album]",2,
