Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
201-1-10016,Piccolo Solo,The Pied Piper,Jacob,,Oxford University Press,1,(unaccomp)(play March to the River Weser)
201-1-10026,Piccolo Solo,Parable for Solo Piccolo,Persichetti,,Theodore Presser Company,1,
201-1-10032,Piccolo Solo,Fantasy on When Johnny Comes Marching Home,Starer,,Manhattan Beach Music,1,
201-2-10048,Piccolo Solo,Little Hornpipe,Lombardo,,"Alry Publications, Etc. Inc.",2,
201-2-10049,Piccolo Solo,Four Dances,Michal,,"Alry Publications, Etc. Inc.",2,
201-2-10054,Piccolo Solo,Nocturne,Rokeach,,"Alry Publications, Etc. Inc.",2,
201-2-10056,Piccolo Solo,Toby's Jug Jig (from Sketches),Shur,,"Alry Publications, Etc. Inc.",2,
201-2-10058,Piccolo Solo,Marche Miniature,Tschaikowsky,Kennedy,"Alry Publications, Etc. Inc.",2,
201-2-10060,Piccolo Solo,Concerto in a minor,Vivaldi,,International Music Company,2,(play mvt 2)
201-3-10062,Piccolo Solo,Les Regrets (from Sonata No. 5),Blavet,Wye,"J&W Chester, Ltd. [Flute Solos Vol. 3]",3,
201-3-10068,Piccolo Solo,November Song,Isaacson,,"Alry Publications, Etc. Inc.",3,
201-1-32181,Piccolo Solo,Singvogelchen Polka Op.55,Weiss,,Billaudot,1,
201-1-32180,Piccolo Solo,"Concerto in a minor, RV 445, P. 83, F.VI No. 9",Vivaldi,,"Theodore Presser Company [Three Concertos for Piccolo];Billaudot;International Music Company;Ricordi & Company, Inc.;Musica Rara;Editio Musica",1,(play mvt. 1 or mvt. 3)
201-1-32179,Piccolo Solo,"Concerto in C Major, RV 444, P. 78, F. VI No. 5",Vivaldi,,Theodore Presser Company [Three Concertos for Piccolo];Billaudot;International Music Company;Musica Rara,1,(play mvt. 1 or mvt. 3)
201-1-32178,Piccolo Solo,"Concerto in C Major, RV 443, P. 79, F. VI No. 4",Vivaldi,,"Theodore Presser Company [Three Concertos for Piccolo];Billaudot;Belwin, Inc;International Music Company;Ricordi & Company, Inc.",1,(play mvt. 1 or mvt. 3)
201-1-32176,Piccolo Solo,Concerto in Olden Style,Singer,,Little Piper,1,(play any one mvt.) NMR:(play any one mvt.)
