Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
246-1-11960,Saxophone Quartet,Trois Pieces,Albeniz,,Alphonse Leduc,1,(play two mvts)
246-1-11962,Saxophone Quartet,Chaconne,Bach,Charlton,Shawnee Press,1,
246-1-11964,Saxophone Quartet,Prelude (from Partita No. 3),Bach,Charlton,Shawnee Press,1,
246-1-11963,Saxophone Quartet,Prelude and Fugue,Bach,Eymann,"Carl Fischer, Inc.",1,
246-1-11969,Saxophone Quartet,Scherzo for Saxophone Quartet,Barker,,"Kendor Music, Inc.",1,
246-1-11970,Saxophone Quartet,Voici le Quatour,Barker,,"Kendor Music, Inc.",1,
246-1-11972,Saxophone Quartet,Saxophone Symphonette,Bennett,,"Carl Fischer, Inc.",1,
246-1-11973,Saxophone Quartet,Andante et Scherzo,Bozza,,Alphonse Leduc,1,
246-1-11976,Saxophone Quartet,Suite for Saxophone Quartet,Creston,,Shawnee Press,1,(play mvts 1 & 2 or 1 & 3 or 2 & 4 or 3 & 4)
246-1-11977,Saxophone Quartet,Quatour,Dubois,,Alphonse Leduc,1,(play two mvts)
246-1-11978,Saxophone Quartet,Prelude and Polka,Dvorak,Ronkin,Roncorp Inc.,1,
246-1-11979,Saxophone Quartet,"Fanfare, Air, and Finale",Frackenpohl,,Shawnee Press,1,
246-1-11980,Saxophone Quartet,Sax Lix,Frackenpohl,,"Kendor Music, Inc.",1,
246-1-11981,Saxophone Quartet,Petit Quatuor,Francais,,Schott Company,1,(play two mvts)
246-1-11982,Saxophone Quartet,Adagio and Allegro,Handel,Hervig,"Rubank, Inc.",1,
246-1-34017,Saxophone Quartet,Arabesque 1,Debussy,Bricault,BRS Music,1,(SATB)
246-1-11984,Saxophone Quartet,Procession of the Sardar,Ippolitov-Ivanov,Bonnell,"Schmitt, Hall & McCreary Company",1,
246-1-34015,Saxophone Quartet,Concert en Quatuor,Rueff,,Alphonse Leduc,1,(SATB) (play three mvts)
246-1-11992,Saxophone Quartet,Just for Show,Niehaus,,"Kendor Music, Inc.",1,
246-1-11994,Saxophone Quartet,Quartet No. 5,Ramsoe,Voxman,"Rubank, Inc.",1,
246-1-11995,Saxophone Quartet,Variations on a Theme by Sweelinck,Ricker,,"Kendor Music, Inc.",1,
246-1-11998,Saxophone Quartet,Allegro de Concert,Singelee,,"Carl Fischer, Inc.",1,
246-1-34007,Saxophone Quartet,Sailor's Hornpipe,Cowell,,Peermusic Classical,1,
246-1-12003,Saxophone Quartet,Overture Baroque (from Suite in a minor),Telemann,Johnson,"Rubank, Inc.",1,
246-1-12004,Saxophone Quartet,Pollywog's Lake Talk,Ulman,,Medici Music Press,1,
246-1-11966,Saxophone Quartet,Sinfonia No. 3,Bach,Voxman,"Rubank, Inc. [Quartet Repertoire]",1,
246-1-11990,Saxophone Quartet,Menuetto and Presto,Mozart,Hervig,"Rubank, Inc. [Quartet Repertoire]",1,
246-2-12007,Saxophone Quartet,Prelude and Fugue No. 2,Bach,Carlsten,C.L. Barnhouse Company,2,
246-3-35022,Saxophone Quartet,When a Knight Won His Spurs,Street,,Saxtet,3,(S(a)ATB)
246-2-12006,Saxophone Quartet,Fugue No. 7,Bach,Gordon,"Kendor Music, Inc.",2,
246-2-12008,Saxophone Quartet,Sarabande and Badinerie,Bach,Johnson,"Rubank, Inc.",2,
246-2-12005,Saxophone Quartet,Fugue No. 5,Bach,Stanton,Harold Gore Publishing Co.,2,
246-2-12012,Saxophone Quartet,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,2,
246-2-12013,Saxophone Quartet,The Earle of Oxford's Marche,Byrd,Dishinger,Medici Music Press,2,
246-2-12014,Saxophone Quartet,The British Grenadiers,Anon. or Trad.,Christensen,"Kendor Music, Inc.",2,
