Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
371-1-25397,Six or More Brass,Morning Sunrise,Doemland,Blahnik,"Alliance Publications, Inc.",1,
371-1-25398,Six or More Brass,Carmen Suite #1; Argonnaise,Bizet,Haislip,Trigram Music Inc.,1,
371-1-25399,Six or More Brass,Carmen Suite #2,Bizet,Haislip,Trigram Music Inc.,1,(play either Les Toreadors or Les Dragons Alcala)
371-1-25401,Six or More Brass,Pater Noster,Handl,Blahnik,"Alliance Publications, Inc.",1,
371-1-25403,Six or More Brass,Voluntary,Stolzer,Ordunio,"Wimbledon Music, Inc.",1,
371-1-25404,Six or More Brass,Divertimento for Fifteen Brass,Nelhybel,,Great Works Publishing,1,
371-1-14283,Six or More Brass,Concerto da Camera,Tull,,Southern Music Company,1,(alto sax solo w/ brass quintet accomp) (play 2 mvts)
371-1-14390,Six or More Brass,Andante and Allegro,Mozart,Hurrell,"Rubank, Inc. [Brass Recital for Brass Sextet]",1,
371-1-14432,Six or More Brass,Sing Ye To The Lord,Bach,Frackenpohl,Brassworks Music,1,"(4 tpt, 2 hn, 2 tbn, 2 tba)"
371-1-14431,Six or More Brass,Ricercar (from Musical Offering),Bach,King,Robert King,1,"(3 tpt, hn or tbn, 2 tbn, eup or tbn, opt tba)"
371-1-14433,Six or More Brass,Among the Lilies,Berkeley,,"J&W Chester, Ltd.",1,"(4 tpt, 3 tbn, bass tbn)"
371-1-14435,Six or More Brass,Three Folk Songs,Bowder,,Accura Music,1,"(2 tpt, 2 hn, tbn, eup, tba)"
371-1-14436,Six or More Brass,Festive and Commemorative Music,Brahms,Teuber,Shawnee Press,1,"(play two mvts) (3 tpt, 2 hn, 2 tbn, bass tbn, opt tba)"
371-1-14438,Six or More Brass,Consortium,Cheetham,,Shawnee Press,1,"LOW BRASS ENSEMBLE (4 eup, 4 tba)"
371-1-14439,Six or More Brass,Diversion,Clinard,,Shawnee Press,1,"LOW BRASS ENSEMBLE (4 eup, 3 tba)"
371-1-14440,Six or More Brass,Rondo,Cowell,,C.F. Peters Corporation,1,"(3 tpt, 2 hn, 2 tbn)"
371-1-14441,Six or More Brass,Fanfare on A and C,Dahl,,European American,1,"(3 tpt, hn, eup, tbn)"
