Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
500-1-14498,Snare Drum Solo,Hi Ho Simpson,Abel,,"Carl Fischer, Inc.",1,(marching or concert snare)
500-1-14497,Snare Drum Solo,2040's Sortie,Abel,,Ludwig Music Publishing Company,1,(marching or concert snare)
500-1-14499,Snare Drum Solo,Three Dances,Benson,,Chappell Music Company,1,(concert snare)(play two)
500-1-14500,Snare Drum Solo,His Lordship/Billy/ The Streaker,Cappio,,Marimba Productions Inc.,1,(marching or concert snare)(play one)
500-1-14506,Snare Drum Solo,And the Kitchen Sink,Freytag,,Row-Loff Publications [The Rudimental Cookbook],1,(marching snare)
500-2-14507,Snare Drum Solo,Five Against Two,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14508,Snare Drum Solo,Funky Fat,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14509,Snare Drum Solo,Legend of a Two-Eyed Soldier,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-1-14510,Snare Drum Solo,Prattfalls,Freytag,,Row-Loff Publications [The Rudimental Cookbook],1,(marching or concert snare)
500-1-14516,Snare Drum Solo,Phantom of the Phield,Hurley,,Rudimental Percussion Publications;Row-Loff Publications,1,(marching snare)
500-1-14523,Snare Drum Solo,Stamina,Markovich,,Creative Music,1,(marching snare)
500-1-14525,Snare Drum Solo,Tornado,Markovich,,Creative Music,1,(marching snare)
500-1-14524,Snare Drum Solo,The Winner,Markovich,,Creative Music,1,(marching snare)
500-1-14530,Snare Drum Solo,Gingersnap,Pratt,,"Belwin, Inc [14 Modern Contest Solos]",1,(marching or concert snare)
500-1-14532,Snare Drum Solo,My Friend Norman,Pratt,,"Belwin, Inc [14 Modern Contest Solos]",1,(marching or concert snare)
500-1-14534,Snare Drum Solo,Stomping Thru The Barlines,Pratt,,"Belwin, Inc [14 Modern Contest Solos]",1,(marching or concert snare)
500-1-14531,Snare Drum Solo,Hellcat Halftime,Pratt,,"Permus Publications, Inc. [The New Pratt book]",1,(marching or concert snare)
500-1-14529,Snare Drum Solo,Cider Jug,Pratt,,"Permus Publications, Inc. [The New Pratt book]",1,(marching or concert snare)
500-1-14533,Snare Drum Solo,Sound Off,Pratt,,"Permus Publications, Inc. [The New Pratt book]",1,(marching or concert snare)
500-1-14535,Snare Drum Solo,The Conquering Legions of Rome,Pratt,,"Permus Publications, Inc. [The New Pratt book]",1,(marching or concert snare)
500-1-14537,Snare Drum Solo,Festival Drummer,Schinstine,,Southern Music Company,1,(concert snare)
500-1-14540,Snare Drum Solo,Flam City,Ukena,,Southern Music Company,1,(marching or concert snare)
500-1-14545,Snare Drum Solo,Frenzy,Varner,,Southern Music Company,1,(marching snare)
500-1-14547,Snare Drum Solo,Warp 7,Varner,,Southern Music Company,1,(accomp)
500-1-14548,Snare Drum Solo,Championship Corps Style Contest Solos,Wanamaker,,"Alfred Music Company, Inc.",1,(marching snare)(play two)
500-1-14549,Snare Drum Solo,Etude in 32nd's,Whaley,,"Meredith Music, Inc",1,(marching snare)
500-1-14552,Snare Drum Solo,Africa Hot,Wooton,,Rudimental Percussion Publications;Row-Loff Publications,1,(marching snare)
500-2-14553,Snare Drum Solo,The Peach Grove Drummer,Abel,,Ludwig Music Publishing Company,2,(marching or concert snare)
500-2-14554,Snare Drum Solo,Colonial Capers,Beck,,"Kendor Music, Inc.",2,(concert snare)
500-2-14555,Snare Drum Solo,Colonial Episode,Beck,,"Almitra Music Company, Inc.",2,(concert snare)
500-2-14560,Snare Drum Solo,Panhandle Paradiddle,Brazauskas,,Neil A. Kjos Music Company,2,(concert snare)
500-2-14561,Snare Drum Solo,Valley Volley,Brazauskas,,Neil A. Kjos Music Company,2,(concert snare)
500-2-14573,Snare Drum Solo,7/8 Stomp,Eyler,,"Permus Publications, Inc.",2,(concert snare)
500-2-14574,Snare Drum Solo,Watching The Time Go By,Eyler,,"Permus Publications, Inc.",2,(concert snare)
500-2-14575,Snare Drum Solo,Diddle City,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14576,Snare Drum Solo,Diddles-R-Us,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14577,Snare Drum Solo,Draggin' The Seven,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14579,Snare Drum Solo,Seven and Six,Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14580,Snare Drum Solo,Single Strokin',Freytag,,Row-Loff Publications [The Rudimental Cookbook],2,(marching or concert snare)
500-2-14582,Snare Drum Solo,Soldiers March,Goldenberg,,Chappell Music Company [12 Progressive Solos],2,(concert snare)
500-2-14586,Snare Drum Solo,Crash Landing,Hurley,,Row-Loff Publications [Festival Snare Solos],2,(marching or concert snare)
500-2-14596,Snare Drum Solo,Flamacue Quickstep,Pratt,,"Belwin, Inc",2,(marching or concert snare)
500-2-14591,Snare Drum Solo,Dexterity,Pratt,,"Belwin, Inc [14 Modern Contest Solos]",2,(marching or concert snare)
500-2-14595,Snare Drum Solo,Drum Corps on Parade,Pratt,,"Belwin, Inc [14 Modern Contest Solos]",2,(marching or concert snare)
