Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
211-1-11081,Soprano Saxophone Solo,Allegro (from Sonata No. 4),Bach,Davis,"Western International Music, Inc.",1,
211-1-11082,Soprano Saxophone Solo,Sonata for Soprano,Caravan,,Ethos,1,(play two mvts)
211-1-11083,Soprano Saxophone Solo,Sonata Op. 4 No. 11 in f minor,Loeillet,Pittel,Southern Music Company,1,(play two contrasting mvts)
211-1-11084,Soprano Saxophone Solo,Concertro in c minor,Marcello,Pittel,Southern Music Company,1,(play two contrasting mvts)
211-2-11085,Soprano Saxophone Solo,Vocalise Op. 34 No. 14,Rachmaninoff,Pittel,Southern Music Company,2,
211-1-11086,Soprano Saxophone Solo,Variations,Rossini,Schmidt/Davis,"Western International Music, Inc.",1,(play all)
211-1-11088,Soprano Saxophone Solo,Sonata,Telemann,Londiex,Alphonse Leduc,1,(play two mvts)
211-1-11089,Soprano Saxophone Solo,Fantasia,Villa-Lobos,,Southern Music Publishing Company,1,(play mvt 1 OR 2 & 3)
211-1-11090,Soprano Saxophone Solo,Intermezzo for Soprano Saxophone and Piano,Yoshioka,,Southern Music Company,1,(play all) NMR:(play all)
211-2-11091,Soprano Saxophone Solo,The King's Hunting Jigg,Bull,Davis,"Western International Music, Inc.",2,
211-2-11093,Soprano Saxophone Solo,Two Poetic Scenes,Granados,Davis,"Western International Music, Inc.",2,(play both mvts)
211-3-11094,Soprano Saxophone Solo,Pavana and Galiardo,Byrde,Davis,"Western International Music, Inc.",3,
211-2-30524,Soprano Saxophone Solo,Sultana,Mackey,,Osti Music,2,
211-1-32336,Soprano Saxophone Solo,Fantaisie,Bedard,,Gerard Billaudot Edition,1,
211-1-30544,Soprano Saxophone Solo,"Fantasie, Op. 50",Singelee,,Edition Lemoine,1,
211-2-32338,Soprano Saxophone Solo,Sonata,Cohen,,Steve Cohen Music,2,(play one mvt) (skip piano intro)
211-2-32339,Soprano Saxophone Solo,Adagio and Allegro,Handel,Gee,Southern Music Company,2,
211-1-32340,Soprano Saxophone Solo,Concerto,Higdon,,Lawdon Press,1,(play beginning to m. 228)
211-1-32341,Soprano Saxophone Solo,Concerto,Mackey,Ames,Osti Music,1,(play two contrasting mvts) NMR:(play two contrasting mvts)
211-1-32342,Soprano Saxophone Solo,Sonata for Soprano Saxophone (Alpine Op. 37),Lunde,,To The Fore Publishers,1,(play two contrasting mvts)
211-1-32343,Soprano Saxophone Solo,Sonata in G Major,Platti,Rousseau,Etoile Music Inc.,1,(play three contrasting mvts)
211-2-32344,Soprano Saxophone Solo,Piece en Forme de Habanera,Ravel,Viard,Masters Music Publications,2,
211-1-32345,Soprano Saxophone Solo,Lessons of the Sky,Rogers,,Emerson Editions,1,
211-1-32346,Soprano Saxophone Solo,Sonatina,Schmidt,,"Western International Music, Inc.",1,
211-1-32347,Soprano Saxophone Solo,Twelve Fantasies,Telemann,Formeau,Gerard Billaudot Edition,1,(play two Fantasies)
211-1-37176,Soprano Saxophone Solo,Suite Hellenique,Iturralde,,Editions Henry Lemoine,1,
211-1-37177,Soprano Saxophone Solo,Historie du Tango,Piazzolla,,Henry Lemoine,1,(play one mvt)
211-1-37178,Soprano Saxophone Solo,The Manitou Incline,Love,,Murphy Music Press,1,(play one mvt)
211-1-37179,Soprano Saxophone Solo,Deconstruct,Watson,,jenniwatson.com,1,(MUST use backing track)
211-1-37180,Soprano Saxophone Solo,Introduction and Rondo Capriccioso,Saint-Saens,Nakariakov,Editions Marc Reift,1,
211-1-37181,Soprano Saxophone Solo,"Caprice, Op. 80",Singelee,,Editions Henry Lemoine,1,
211-2-37182,Soprano Saxophone Solo,The Solitude of Stars,Garrop,,Theodore Presser Company,2,
211-1-38452,Soprano Saxophone Solo,Crazy Rag,Matitia,,Edition Lemoine,1,
211-1-38453,Soprano Saxophone Solo,Fantasy Pieces,Nielsen,Lenard,Lenard Publications,1,
211-2-38454,Soprano Saxophone Solo,Fantasy Pieces,Nielsen,Lenard,Lenard Publications,2,(play one mvt)
