Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
573-1-29011,Steel Band,Nightwatch,Ford,,Drop6,1,(Steel Drum Band: performers; 6 & rhythm)
573-1-32672,Steel Band,Tico Tico No Fuba,Abreu,May,Lost Key Music,1,(Steel Drum Band: lead; dbl sec; cello; guitar; bass; drumset; congas; shakers)
573-1-32673,Steel Band,PanSon,Gerhart,,Bachovich Music Publications,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-32674,Steel Band,Samba de los Changitos,Gerhart,,Boxfish Music Publishing,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-32675,Steel Band,Cascade,Lemmerman,,Boxfish Music Publishing,1,(Steel Drum Band: lead; dbl ten; cello/guitar; bass; drumset; engine room)
573-1-32676,Steel Band,Hush,Lemmerman,,Boxfish Music Publishing,1,(Steel Drum Band: lead; dbl sec 1; dbl sec 2; cello/guitar; bass; drumset; engine room)
573-1-32677,Steel Band,Patraj,Menge,,Boxfish Music Publishing,1,(Steel Drum Band: lead; dbl ten; dbl sec; cello/guitar; bass; drumset; engine room)
573-1-32678,Steel Band,Skye,Menge,,Boxfish Music Publishing,1,(Steel Drum Band: lead; dbl ten; dbl sec; guitar; cello/guitar; bass; drumset; engine room)
573-1-32679,Steel Band,Soca Sauce,Smales,,Honey Rock,1,(Steel Drum Band: lead; dbl sec; cello; bass; drumset; engine room)
573-1-32680,Steel Band,Callin' Out,Smith,,Ox and Lamb Music,1,(Steel Drum Band: lead; dbl ten; dbl sec; guitar; cello; bass; drumset; engine room)
573-1-32681,Steel Band,Clara's Smile,Willmarth,,Self-Published Music,1,(Steel Drum Band: lead; dbl ten; dbl sec; cello/guitar; bass; drumset; engine room)
573-1-32682,Steel Band,Coconut Shrimp,Willmarth,,Self-Published Music,1,(Steel Drum Band: lead; opt-dbl ten; dbl sec; cello/guitar; bass; drumset; engine room)
573-1-32683,Steel Band,Feijoada,Willmarth,,Self-Published Music,1,"(Steel Drum Band: lead; opt-dbl ten; dbl sec; cello/guitar; bass; drumset; engine room opt-pandeiro, tamborin, agogo bells, surdo)"
573-1-32684,Steel Band,Sunburst,Willmarth,,Self-Published Music,1,(Steel Drum Band: lead; dbl ten; dbl sec; cello/guitar; bass; drumset; engine room)
573-2-32685,Steel Band,Amber Eyes,Backus,,Honey Rock,2,(Steel Drum Band: lead; dbl sec; cello; bass; drumset; engine room)
573-2-32686,Steel Band,The Owl Tree,Ehlers,,Boxfish Music Publishing,2,(Steel Drum Band: lead; dbl sec; cello/guitar; bass; drumset; engine room)
573-2-32687,Steel Band,Black Olives,Menge,,Boxfish Music Publishing,2,(Steel Drum Band: lead; dbl ten; dbl sec; cello/guitar; bass; drumset; engine room)
573-2-32688,Steel Band,Pyxis,Menge,,Boxfish Music Publishing,2,(Steel Drum Band: lead; dbl sec; cello/guitar; bass; drumset; engine room)
573-2-32689,Steel Band,Juice Blenders,Smales,,Honey Rock,2,(Steel Drum Band: lead; dbl sec; cello; bass; drumset; engine room)
573-2-32690,Steel Band,Mild Salsa,Smales,,Honey Rock,2,(Steel Drum Band: lead; dbl sec; cello; bass; drumset; engine room)
573-1-33797,Steel Band,Mary-Ann,de Leon,McCutchen,Row-Loff Publications,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-33798,Steel Band,Cornbread Funk,Ehlers,,Row-Loff Publications,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-33799,Steel Band,Down With It,Ehlers,,Row-Loff Publications,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-33800,Steel Band,Fiesta de Suenos,Garrett,,"Tapspace Publications, LLC",1,"(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room) (Engine room includes drumset, gankogui (or agogo bells), mambo bell, windchimes, caxixi shakers, rock tambourine, timbales, congas, and bass guitar (optional))"
573-1-33801,Steel Band,Let The Air In,Garrett,,"Tapspace Publications, LLC",1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-33802,Steel Band,Very Much (A Lot),Garrett,,"Tapspace Publications, LLC",1,"(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room includes: shaker, congas, claves, reco reco)"
573-1-33803,Steel Band,Finding Time,Hartman,,Row-Loff Publications,1,"(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room includes shekere, tambourine, small shakers, congas, timbales w/cowbells, suspended cymbal, wind chimes, triangle)"
573-1-33804,Steel Band,Gratitude,Hartman,,Row-Loff Publications,1,"(tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room includes congas, timbales (w/(2) cowbells, woodblock, suspended cymbal and wind chimes, shaker)"
573-1-33805,Steel Band,Calypsoca,Meister,,Honey Rock,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-33806,Steel Band,From Time to Time,Menge,,Boxfish Music Publishing,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
573-1-33807,Steel Band,PANic Attack,Montoya,,Row-Loff Publications,1,(Steel Drum Band: tenor; dbl ten; dbl sec; guitar; bass; drumset; engine room)
