Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
505-1-33995,Steel Pan Solo,Rip Current (Double Second Solo),Menge,,Boxfish Music Publishing,1,(double second pans)
505-1-33996,Steel Pan Solo,Beth Ann (Double Second Solo),Menge,,Boxfish Music Publishing,1,(double second pans)
505-1-33997,Steel Pan Solo,The Deer Fly Gang (Double Second Solo),Menge,,Boxfish Music Publishing,1,(double second pans)
505-1-33998,Steel Pan Solo,Wildflower (Double Second Solo),Menge,,Boxfish Music Publishing,1,(double second pans)
505-1-33999,Steel Pan Solo,Juniper Ridge (Lead/Tenor Pan Solo),Menge,,Boxfish Music Publishing,1,(lead/tenor pan)
505-1-34000,Steel Pan Solo,The Maze (Lead/Tenor Pan Solo),Menge,,Boxfish Music Publishing,1,(lead/tenor pan)
505-1-34001,Steel Pan Solo,Mind the Gap (Solo steel pan),Hopper,,Hopper Percussion,1,(solo steel pan)
505-1-36508,Steel Pan Solo,Flint Hills Sunrise,Menge,,"Boxfish Music Publishing [Solos for Tenor Steel Pan, Vol. I]",1,(solo steel pan)
505-1-36509,Steel Pan Solo,The Lighthouse Trail,Menge,,"Boxfish Music Publishing [Solos for Tenor Steel Pan, Vol. I]",1,(solo steel pan)
505-1-36510,Steel Pan Solo,Burning Pine,Menge,,Boxfish Music Publishing,1,(solo steel pan)
505-1-36518,Steel Pan Solo,Under a Hazy Moon,Raymond-Kolker,,C. Alan Publications,1,(solo double seconds)
505-1-38954,Steel Pan Solo,Living Memory (collection),Menge,,Boxfish Music Publishing [Living Memory - 11 Solos for Double Second Steel Pan],1,(double second pan) (play one)
505-1-38955,Steel Pan Solo,K. Ridley,Menge,,Boxfish Music Publishing,1,(double second pan)
505-1-38956,Steel Pan Solo,Persistence,Menge,,Boxfish Music Publishing,1,(lead pan)
505-1-38957,Steel Pan Solo,Five Solos for Tenor Steel Pan - Vol. I,Menge,,Boxfish Music Publishing [Five Solos for Tenor Steel Pan - Vol. I],1,(lead pan) (play one)
505-1-38958,Steel Pan Solo,Life's Essence,Riddick,,C. Alan Publications,1,(steel pan)
505-1-38959,Steel Pan Solo,Emerging: Solo for Double Second Steel Drums,Morrison,,Mau Mau Music;jordanmorrisonmusic.com,1,(steel drums)
505-1-38960,Steel Pan Solo,Music Box: Solo for Tenor Steel Drum,Morrison,,Mau Mau Music;jordanmorrisonmusic.com,1,(steel drums)
505-2-38961,Steel Pan Solo,Castle Hill for Cello Steel Pan,Menge,,Boxfish Music Publishing,2,(cello/guitar pan)
505-2-38962,Steel Pan Solo,Castle Hill for Lead/Tenor Steel Pan,,,Boxfish Music Publishing,2,(lead pan)
505-2-38963,Steel Pan Solo,El Choclo,Villoldo,May,Lost Key Music,2,(lead pan)
505-3-38964,Steel Pan Solo,Daybreak: Solo for Tenor Steel Drum,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38965,Steel Pan Solo,Komorebi: Solo for Tenor Steel Drum,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38966,Steel Pan Solo,Gently Falling: Solo for Double Second Steel Drums,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38967,Steel Pan Solo,Free The Robots: Solo for Double Second Steel Drums,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38968,Steel Pan Solo,Let's Take a Walk: Solo w/ Track for Triple Guitar/Cello Steel Drums,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38969,Steel Pan Solo,Tears for U: Solo for Triple Guitar/Cello Steel Drums,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38970,Steel Pan Solo,Resolutions: Solo for Six Bass Steel Drums,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
505-3-38971,Steel Pan Solo,steel: Solo for Six Bass Steel Drums,Morrison,,Mau Mau Music [40 Short Solos for Steel Drum];jordanmorrisonmusic.com,3,(steel drums)
