Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
926-2-34284,String Orchestra,The Hunt (String Quartet No. 17),Mozart,Clinesmith,Wingert/Jones,2,
926-2-34285,String Orchestra,William Byrd Suite,Byrd,Wagner,"Belwin, Inc",2,(Play mvts. 1 & 2 or 2 & 3)
926-1-34282,String Orchestra,Where the River Shannon Flows,Russell,Balmages,FJH Music Company,1,
926-1-34283,String Orchestra,Verdant Meadows,Tippette,,"Carl Fischer, Inc.",1,
926-5-34279,String Orchestra,Supermaximum,Bunch,,Bill Holab Music,5,
926-1-34281,String Orchestra,Gavotte,Grieg,Farrar-Royce,"Belwin, Inc",1,
926-5-18585,String Orchestra,Reflexions,Nunez,,Neil A. Kjos Music Company,5,
926-0-18617,String Orchestra,Concerto or Concerto Grosso,Albinoni,,,0,(two contrasting mvts)
926-0-18618,String Orchestra,Concerto or Concerto Grosso,"Bach, C.P.E.",,Barenreiter/Verlag;Foreign Music Distributors,0,(two contrasting mvts)
926-0-18619,String Orchestra,Concerto or Concerto Grosso,"Bach, J.C.",,Barenreiter/Verlag;Foreign Music Distributors,0,(two contrasting mvts)
926-0-18620,String Orchestra,Concerto or Concerto Grosso,"Bach, J.S.",,,0,(two contrasting mvts)
926-0-18621,String Orchestra,Concerto or Concerto Grosso,"Bach, W.F.",,,0,(two contrasting mvts)
926-0-18622,String Orchestra,Concerto or Concerto Grosso,Boyce,,,0,(two contrasting mvts)
926-0-18623,String Orchestra,Concerto or Concerto Grosso,Corelli,,,0,(two contrasting mvts)
926-0-18624,String Orchestra,Concerto or Concerto Grosso,Geminiani,,Barenreiter/Verlag;Foreign Music Distributors,0,(two contrasting mvts)
926-0-18625,String Orchestra,Concerto or Concerto Grosso,Handel,,Barenreiter/Verlag;Foreign Music Distributors,0,(two contrasting mvts)
926-0-18626,String Orchestra,Concerto or Concerto Grosso,Locatelli,,,0,(two contrasting mvts)
926-0-18627,String Orchestra,Concerto or Concerto Grosso,Mendelssohn,,,0,(two contrasting mvts)
926-0-18628,String Orchestra,Concerto or Concerto Grosso,Dall' Abaco,,Edwin F. Kalmus;Luck's,0,(two contrasting mvts)
926-0-18629,String Orchestra,Concerto or Concerto Grosso,Telemann,,Barenreiter/Verlag;Foreign Music Distributors,0,(two contrasting mvts)
926-0-18630,String Orchestra,Concerto or Concerto Grosso,Torelli,,,0,(two contrasting mvts)
926-0-18631,String Orchestra,Concerto or Concerto Grosso,Vitali,,,0,(two contrasting mvts)
926-0-18632,String Orchestra,Concerto or Concerto Grosso,Vivaldi,,,0,(two contrasting mvts)
926-1-18633,String Orchestra,Little Classic Suite,Akers,,"Carl Fischer, Inc.",1,(play mvt 1 or 3)
926-1-18634,String Orchestra,"Folk-Songs for Strings, Set 2",Anon. or Trad.,Auton,Oxford University Press,1,(play two mvts)
926-2-18635,String Orchestra,Bach Suite for String Orchestra,Bach,Leidig,Highland/Etling,2,(play March or Gavotte)
926-1-24971,String Orchestra,Ballet,Bach,Brown,Stainer & Bell [The Edric Album],1,
926-1-32076,String Orchestra,Ode To Joy,Beethoven,Chase,"Kendor Music, Inc.;Lake State Publications",1,
926-2-24992,String Orchestra,Galopede,Anon. or Trad.,Benoy,Oxford University Press [Traditional Tunes],2,
926-1-24991,String Orchestra,The Greenwood Tree,Anon. or Trad.,Benoy,Oxford University Press [Traditional Tunes],1,
