Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
450-1-17449,String Quintet,Pastoral,Ahrendt,,Ludwig Music Publishing Company,1,
450-1-17460,String Quintet,Arioso,Bach,Track,Neil A. Kjos Music Company,1,
450-1-17489,String Quintet,Quintet in Eb Major Op. 97,Dvorak,,Luck's Music Library;Edwin F. Kalmus;Barenreiter/Verlag;Foreign Music Distributors,1,"(2 vln, 2 vla, vlc)"
450-1-17490,String Quintet,Quintet in G Major Op. 77,Dvorak,,Eulenberg;International Music Company;Barenreiter/Verlag;Foreign Music Distributors,1,"(2 vln, vla, vlc, double bass) (play 1 mvt)"
450-1-17527,String Quintet,Carnival,Matesky,,"Carl Fischer, Inc.",1,
450-1-17528,String Quintet,Scherzo,Matesky,,"Carl Fischer, Inc.",1,
450-2-17575,String Quintet,Rendezvous,Aletter,Isaac,Bet [Strings in Recital],2,(piano opt)
450-2-17576,String Quintet,Concerto in e minor,Avison,Glass,Associated Music Publishers Inc.,2,(play two contrasting mvts)
450-2-24919,String Quintet,Andante (from Quartet No. 3 Op. 1),Bach,Pochon,"Carl Fischer, Inc. [Pochon Academic Album]",2,
450-2-24692,String Quintet,Andante Op. No. 2,Bach,Barnes,Pro-Art Publications [Classics for Strings],2,
450-2-17577,String Quintet,Bourree,Bach,Isaac,Bet [Strings in Recital],2,(piano opt)
450-2-17578,String Quintet,Brandenburg Concerto No. 3,Bach,Isaac,Etling,2,(play mvt 1 or 2)
450-2-17579,String Quintet,My Heart Ever Faithful,Bach,Isaac,Bet [Strings in Recital],2,(piano opt)
450-2-24897,String Quintet,Prelude and Fugue,Bach,Barnes,Jack Spratt Music Publishers [The Gotham Collection of Classics for Strings],2,
450-2-24918,String Quintet,Sarabande,Bach,Pochon,"Carl Fischer, Inc. [Pochon Academic Album]",2,
450-2-17580,String Quintet,Two Gavottes,Bach,,"Carl Fischer, Inc.",2,
450-2-17581,String Quintet,Sinfonia in D Major,Bach,Dackow,Tempo Press,2,
450-2-24905,String Quintet,Pizzicato Caprice,Barnes,,Jack Spratt Music Publishers [The Gotham Collection of Classics for Strings],2,
450-2-17464,String Quintet,Rumanian Folk Dances,Bartok,Willner,"Boosey & Hawkes, Inc.",2,(play three)
450-2-17584,String Quintet,Boulderollicks,Berger,,Summy/Birchard,2,(play two mvts)
450-2-17585,String Quintet,Diversion for Strings,Berger,,European American,2,
450-2-17586,String Quintet,Petite Suite,Berger,,Summy/Birchard,2,(play one)
450-2-17587,String Quintet,Farandole (from L'Arlesienne Suite No. 2),Bizet,Isaac,Highland/Etling,2,
450-2-17588,String Quintet,Jakiana Suite,Bosmans,,Henri Elkan,2,(play two mvts)
