Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
432-1-17062,String Trio,Serenade in D Major,Beethoven,,International Music Company,1,(play two mvts)
432-1-17063,String Trio,Sonatina in G Major Op. 49 No. 2,Beethoven,James,Shawnee Press,1,(play one mvt)
432-1-17064,String Trio,Sonatina in g minor Op. 49 No. 1,Beethoven,James,Shawnee Press,1,(play one mvt)
432-1-17065,String Trio,"Trios Op. 3, 8, 9",Beethoven,,C.F. Peters Corporation,1,(play one mvt)
432-1-17066,String Trio,Terrezetto,Carse,,Galaxy Music Corporation,1,
432-1-17067,String Trio,Seven Paragraphs,Cowell,,C.F. Peters Corporation,1,(play two contrasting mvts)
432-1-17068,String Trio,Serenade,DeLamarter,,"Mills Music, Inc.",1,(play one mvt)
432-1-17069,String Trio,Canzonetta,Dussek,Elkan,Henri Elkan,1,
432-1-17070,String Trio,Three Trios Op. 32,Haydn,,C.F. Peters Corporation,1,(play one mvt)
432-1-17071,String Trio,Trio in Eb Major,Hummel,,C.F. Peters Corporation,1,(play one mvt)
432-1-17072,String Trio,Trio in G,Hummel,,C.F. Peters Corporation,1,(play one mvt)
432-1-17073,String Trio,Divertimento in Eb K. 563,Mozart,,C.F. Peters Corporation,1,(play one mvt)
432-1-17074,String Trio,Four Preludes and Fugues K. 404a,Mozart,,"G. Schirmer, Inc.",1,(play one Prelude & Fugue)
432-1-17075,String Trio,Three Trios Op. 44,Pleyel,,Augener (London),1,(play one mvt)
432-1-17076,String Trio,Trios 1 and 2,Schubert,,International Music Company;Barenreiter/Verlag;Foreign Music Distributors,1,(play one mvt)
432-2-17077,String Trio,Musette (from Anna Magdalena Bach Notebook),Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-2-17078,String Trio,Gavotte (from Symphony No. 4),Boyce,Dishinger,Medici Music Press,2,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-2-24390,String Trio,Religioso,Bruni,Hoeckner,Simrock [The String-Trio],2,
432-2-17079,String Trio,Sonatina Op. 36 No. 3,Clementi,Elkan,Henri Elkan,2,
432-2-17080,String Trio,Apple Tree,DeLamarter,,"Mills Music, Inc.",2,(play one mvt)
432-2-17081,String Trio,Four Fantasies,Gibbons,,Weaner/Levant Publications,2,(play one)
432-2-17082,String Trio,Rigaudon Op. 40 No. 5,Grieg,Elkan,Henri Elkan,2,
432-2-17083,String Trio,Fire Work Music Suite,Handel,Elkan,Henri Elkan,2,(play one)
432-2-17084,String Trio,Fugue (from Sonata No. 2),Handel,Elkan,Henri Elkan,2,
432-2-17085,String Trio,Six Divertimenti,Haydn,,Editio Musica,2,(play one mvt)
432-2-24395,String Trio,Streichtrio,Haydn,Hoeckner,Simrock [The String-Trio],2,
432-2-17087,String Trio,Gavotte in Rondeau,Lully,Post,Medici Music Press,2,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-2-17088,String Trio,Adagio (from Sonatina No. 5),Mozart,Elkan,Henri Elkan,2,
432-2-17089,String Trio,"Alleluja (from Exsultate, Jubilate)",Mozart,Elkan,Henri Elkan,2,
432-2-17090,String Trio,Larghetto and Allegro,Mozart,Voxman/Block,Southern Music Company,2,
432-2-24392,String Trio,Gavotte,Pichl,Hoeckner,Simrock [The String-Trio],2,
432-2-17091,String Trio,Gavotte and Hornpipe,Purcell,Dishinger,Medici Music Press,2,"(play all) (vln, vla, vlc) (3 vla) (2 vln, vla)"
432-2-17092,String Trio,Three Fantasias,Purcell,,Weaner/Levant Publications,2,(play one)
432-2-17093,String Trio,Six Minuets (from Sept fois sept et an),Telemann,Polnauer,"Carl Fischer, Inc.",2,(play two)
432-2-24393,String Trio,Menuetto,Weber,Hoeckner,Simrock [The String-Trio],2,
432-2-24394,String Trio,Menuetto,Wessely,Hoeckner,Simrock [The String-Trio],2,
432-2-17086,String Trio,Menuett,Wranitzky,Hoeckner,Simrock [The String-Trio],2,(play 9 or 11)
432-3-17094,String Trio,Minuet in G,Bach,Dishinger,Medici Music Press [Anna Magdalena Bach Notebook],3,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-3-17095,String Trio,Bagatelle Op. 33 No. 2,Beethoven,Elkan,Henri Elkan,3,
432-3-17096,String Trio,Minuetto (from Trio in Eb Op. 3),Beethoven,,C.F. Peters Corporation,3,
432-3-17097,String Trio,Les Bacchanales,Couperin,Elkan,Henri Elkan,3,
432-3-17098,String Trio,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,3,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-3-17099,String Trio,Gavotte (from Harpsichord Suite No. 5),Purcell,Dishinger,Medici Music Press,3,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-3-17100,String Trio,"Rigaudon (from Pieces de Clavecin, 1724)",Rameau,Dishinger,Medici Music Press,3,"(vln, vla, vlc) (3 vla) (2 vln, vla)"
432-3-17101,String Trio,Nine Ricercari A 3 voci,Willaert,Zenck,Schott Company,3,(play two)
432-1-25539,String Trio,"String Trios, Op. 77b and 141b",Reger,,"G. Henle Verlag/USA, Inc.",1,(play one mvt)
432-3-28423,String Trio,"Adagio (from Toccata in G, BWV 916)",Bach,Dishinger,Medici Music Press,3,"(vln, vla, vlc)"
432-2-28424,String Trio,"Aria (from Cantata No. 20, BWV 20, 1724, Eternity Thou Thundrous Word)",Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc)"
432-2-28425,String Trio,"Fugue No. 6 in D (from Well Tempered Clavier, Book I, BWV 851)",Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc)"
432-2-28426,String Trio,Fughetta (from Prelude and Fughetta BWV 900),Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc)"
432-2-28428,String Trio,"Aria (from Cantata No. 66, BWV 66, 1724, Rejoice, all ye spirits)",Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc)"
432-2-28429,String Trio,"Fugue (from Prelude and Fugue, from Organ Works, BWV 536)",Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc)"
432-1-28430,String Trio,"Fugue No. 3 in C (from Well Tempered Clavier, Book I, BWV 848)",Bach,Dishinger,Medici Music Press,1,"(vln, vla, vlc)"
432-1-28431,String Trio,"Fugue No. 2 in c minor (from Well Tempered Clavier, BWV 847)",Bach,Dishinger,Medici Music Press,1,"(vln, vla, vlc)"
432-1-28432,String Trio,"Fugue in C (based on music of Albinoni from Organ Works, BWV 946)",Bach,Dishinger,Medici Music Press,1,"(vln, vla, vlc)"
432-1-28433,String Trio,"Aria (from Cantata No. 43, BWV 43, 1726, God Goeth Up with Shouting)",Bach,Dishinger,Medici Music Press,1,"(vln, vla, vlc)"
432-1-28434,String Trio,"Fugue in a minor (from Organ Works, BWV 947)",Bach,Dishinger,Medici Music Press,1,"(vln, vla, vlc)"
432-1-28435,String Trio,"Aria (from Cantata No. 31, BWV 31, 1715, The Heavens Laugh, the Earth Rings)",Bach,Dishinger,Medici Music Press,1,"(vln, vla, vlc)"
432-1-28686,String Trio,Fast 3 for 3,Kunes,,"Alliance Publications, Inc.",1,(play one)
432-1-28687,String Trio,Dumka,Dvorak,Blahnik,"Alliance Publications, Inc.",1,
432-1-28690,String Trio,"Trio Sonata No. 5, Mvt. III (from Six Trio Sonatas, BWV 529)",Bach,Dishinger,Medici Music Press,1,
432-2-28691,String Trio,Contrapunctus I (from the Art of the Fugue BWV 1080),Bach,Dishinger,Medici Music Press,2,"(vln, vla, vlc)"
432-2-28692,String Trio,Three for Three,Bach,Edlund,RBC Publications,2,(play one)
432-1-37583,String Trio,String Trio for George Crumb,Bartholomew,,Burke & Bagley;JW Pepper,1,(play 1st OR 3rd mvt)
432-2-37584,String Trio,Italian Trilogy for Violin Trio,Haspiel,,JPM Music Publications,2,
432-2-37585,String Trio,Allegro Moderato for Violin Trio,Pappas,,JPM Music Publications,2,
432-2-37586,String Trio,Spanish Nights for Cello Trio and Piano,Haspiel,,JPM Music Publications,2,
432-2-37587,String Trio,Spanish Nights for Viola Trio and Piano,,,JPM Music Publications,2,
432-2-37588,String Trio,Sea Chantey for Low String Trio,Pappas,,JPM Music Publications,2,
432-2-37589,String Trio,Sea Chanteys II for Low String Trio,Pappas,,JPM Music Publications,2,
432-2-37590,String Trio,Classical Flex Trios,various,Balent,"Kendor Music, Inc. [Classical Flex Trios]",2,(play two trios)
432-2-37591,String Trio,Flex Trios: Beyond the Methods,Varga,,"Kendor Music, Inc. [Flex Trios: Beyond the Methods]",2,"(play ONE from: The Crescent Moon Rises; Funiculi, Funicula; Give My Regards to Broadway: The Minstrel Boy OR Rondeau)"
432-2-37592,String Trio,Flex Trios: Beyond the Methods,Varga,,"Kendor Music, Inc. [Flex Trios: Beyond the Methods]",2,(play TWO from: Arirrang; Botany Bay; Largo: My Country Tis of Thee; My Wild Irish Rose; Skip to My Lou; Slavonic Dance No. 1; Toreador Song; Trumpet Voluntary; When Johnny Comes Marching Home)
432-3-37593,String Trio,Cello Trio No. 1,Haspiel,,JPM Music Publications,3,
432-3-37594,String Trio,Cello Trio No. 2,Haspiel,,JPM Music Publications,3,
432-3-37595,String Trio,Classical Flex Trios,various,Balent,"Kendor Music, Inc. [Classical Flex Trios]",3,(play one trio)
